,Comp_0,Comp_1,Comp_3,Comp_2,Comp_4,Comp_7,Comp_8,Comp_12,Comp_22,Comp_6,Comp_13,Comp_5,Comp_17,Comp_14,Comp_18,Comp_19,Comp_11,Comp_20,Comp_16,Comp_21,Comp_23,Comp_15,Comp_10,Comp_9
TCGA-A2-A0T4-01A,0.44038038937166235,8.439251454800315e-18,0.17101178444681672,2.4454896010213763e-20,7.335211748595676e-18,8.677253708532832e-12,1.709826557250181e-23,4.58991706434054e-15,1.1591913509864888e-16,0.008854684456589311,0.3797531409243908,1.5672434047423687e-16,5.5644591463754126e-14,2.753664448617395e-12,6.208741617781544e-20,1.8517210579077037e-16,1.2524495169127222e-19,7.158231645890425e-11,1.6610325070380086e-18,2.098923702653718e-15,3.405597187325311e-11,7.407898209546318e-19,5.71057204761605e-16,6.2311035066544374e-21
TCGA-W7-A93N-01A,0.4100687346742663,7.517145742846848e-09,4.358530098559634e-20,1.6385015018764976e-11,1.9527711693984262e-14,1.0207965196404631e-14,5.9742504601879105e-18,7.826656523055295e-07,1.8947589171108455e-14,0.09326597280375024,1.6861010747256902e-10,6.618996686694697e-17,0.40339871320648146,0.09326421398434,1.7204284110354134e-14,4.5627496053883454e-07,9.269049114596242e-07,1.8982175222036056e-07,4.6344455765319176e-14,1.2329609594724248e-09,5.301237653269851e-11,2.0985796728960638e-17,3.8104744019467214e-17,3.875131020353191e-14
TCGA-BH-A0DP-01A,0.41376862098422873,1.9569015705350107e-20,0.24747428460264587,1.2430853833303697e-24,1.7423290323236587e-20,1.843775761608002e-10,9.864006096903471e-26,2.3918808038791912e-20,5.764993026889014e-22,1.6637002801741452e-21,0.33875709353220035,1.0155054721067039e-19,4.22819180685258e-22,1.7356786688128227e-12,1.856874031175166e-24,2.9861436683880566e-25,1.8530312269684438e-23,3.6246916694316996e-16,4.22222430154038e-22,1.1776668546900024e-18,2.265545741462901e-23,1.3733035457805581e-24,6.656346364682676e-20,1.4203001516105447e-21
TCGA-LN-A49W-01A,0.40546813721941494,3.626693689434328e-12,9.535172658240019e-08,3.0052539734841594e-06,2.4497663284303075e-20,0.035502972379029676,7.782011211574313e-15,3.221287750989975e-05,0.08695341166201834,0.21365630368439645,0.17881895437244874,7.183019826348424e-13,0.036797162086133914,2.834191996894885e-10,0.023230125023520967,2.4581060940073956e-12,0.019537545874630666,1.8885914623624424e-14,4.3206519542917575e-18,7.324370541709484e-08,7.597050218670546e-19,1.5347300265097618e-21,1.6844072197628686e-16,8.805211924869192e-20
TCGA-A2-A0YG-01A,0.4142662986594977,1.8433776811409406e-16,0.26712615374516374,5.395042666783519e-23,1.8202713416317267e-17,1.9092583651897758e-06,2.298511938046478e-20,3.153075426613596e-18,1.1178559732437549e-22,1.1543710943827656e-08,0.31860560347782785,3.610760557615087e-15,4.621848504783406e-18,4.359844772113188e-21,2.544770480322866e-20,1.1464920705121906e-20,2.384567971486932e-21,1.116987395022599e-10,1.033885178268473e-19,5.082289636928497e-16,2.2506422152697282e-08,4.940289631395359e-21,4.717273286164701e-19,1.580457827170349e-22
TCGA-93-A4JO-01A,0.39740884403806015,3.3251471328291733e-21,1.3799489573955924e-18,7.768442608450337e-20,9.957556828239599e-24,2.2933724099098237e-13,2.644987960861023e-25,0.23369702962123706,1.2039071530862419e-20,0.36879522719915225,1.2489915577905278e-14,5.114700661447066e-16,5.898988653815585e-16,5.624951487120338e-09,3.952101797225174e-20,8.2414386755744875e-22,9.889284648332526e-05,6.236592583521378e-21,3.7593000458531684e-22,4.439381170064641e-15,1.4774520299886602e-22,3.75176208930406e-24,6.670380999788969e-23,4.562762794001632e-19
TCGA-A2-A0EW-01A,0.4261372244403279,6.929743064759427e-14,0.41690820185411237,5.586274804416897e-22,7.13092920882327e-14,0.07002220353793556,8.862490639324918e-17,4.0270947163376223e-16,2.6830854207638447e-21,1.2520020532210496e-08,0.08693051332953591,5.3245956053074236e-14,5.014812574209474e-16,3.448093556010208e-20,6.854524897785793e-17,4.703749646593244e-18,2.2549701149542008e-17,1.7564142402273852e-06,2.4111719676579313e-15,7.549528830676141e-16,8.717942264390496e-08,2.8364155562807683e-16,4.3395753250980466e-20,1.9716595558512096e-20
TCGA-AO-A03N-01B,0.4111561242033938,5.488908587529425e-22,0.3743856112718664,2.284714932227931e-22,3.395006371485036e-20,0.045730383050776514,6.796959568486095e-22,2.0197335391189847e-19,4.377545074879856e-23,0.15557081479476792,0.005702665357258967,9.203406590298865e-20,3.338771480712789e-23,1.3747112741265935e-08,2.863110362437754e-21,3.801378023602959e-23,0.007454386853663335,4.092196772449654e-15,1.4135839453402366e-20,8.945160716013476e-19,6.514075448876054e-18,9.702076259315081e-23,5.81175913605526e-20,1.5092658635446818e-16
TCGA-C8-A8HR-01A,0.39089747699099325,4.710014690565941e-22,0.16250112509711342,1.836548802007468e-21,3.6976532915957387e-20,3.9796533546768294e-11,2.558565246012805e-26,5.097860612216765e-17,5.200914090567362e-10,0.17699332358517075,0.2480005676290233,1.299884166968399e-18,5.189942591688514e-20,0.0206147297682019,5.314851399098905e-21,1.3443418454744624e-13,0.0009927756740431613,1.569759114690133e-12,2.4076286120771558e-21,3.121716030539727e-12,9.00616879038464e-15,7.381282232929327e-21,1.985403704819066e-16,2.075110328026042e-17
TCGA-AA-A01P-01A,0.37740283905721667,1.1551328945018066e-10,3.591122197489707e-20,0.0882161555555253,4.680452887993614e-15,2.656200462338762e-13,2.6502878493976343e-14,2.24616678958378e-07,1.3756730194109384e-12,0.10809943694200928,2.4439776069739138e-14,7.308796205135677e-20,0.3729398323395426,1.0123292040214604e-08,7.847943399896449e-10,6.479008546593853e-05,0.053276709698402834,2.4438533588724924e-15,2.3893717348052792e-15,5.916842626117632e-14,3.4346310470328245e-14,4.2919251036263484e-16,3.430017812606323e-15,2.2102974426418607e-14
TCGA-L9-A8F4-01A,0.3676252818441294,1.104307021210287e-19,3.2304582803162534e-11,5.252808990062432e-15,2.6640887364658292e-24,2.476238600757385e-13,1.5947538051865996e-20,0.3611839777480936,1.1708106014051286e-15,0.2689335911972312,2.67075472387e-11,8.220949161078844e-15,1.2189421117455839e-12,3.47069186023989e-07,5.433246096594324e-20,6.307472187918925e-20,0.0022280590773366455,7.997886388052491e-18,3.419501757900363e-19,2.874233801775161e-05,7.913440102908587e-20,1.0857612672180027e-23,1.9950461370791247e-23,2.456685248855181e-20
TCGA-BR-A4J7-01A,0.36684269310851475,9.528135652004863e-13,6.620112499760442e-12,3.7048886723749247e-07,5.103236721547109e-12,0.01135403162245029,5.03017893073858e-16,1.7510562764250065e-12,9.887956808088745e-23,0.09115484610791356,1.7693823620443813e-06,1.1532319505126775e-13,0.27415263938890827,0.25647779094449524,1.5857115282180538e-05,1.092651392977644e-16,7.220119114761183e-10,1.520361406339998e-11,1.502015005858288e-17,3.3751279073342236e-18,4.14204970991164e-10,1.1922487802536586e-15,1.3190317990704828e-18,1.2381060016220013e-16
TCGA-NH-A6GC-01A,0.3564217161654094,4.79306456789778e-16,4.8663207841854155e-18,0.2739420307997736,2.2698159850290133e-11,7.715869210577536e-11,7.948180197313493e-21,1.999066059885271e-12,6.180877789526079e-18,0.184122213139414,1.2669375012590026e-05,2.3178288743765567e-20,4.395675725325407e-09,0.07709805333398342,4.2623217835582535e-17,0.017418512769996817,0.09095889146721016,2.129452605248039e-05,4.1829681624285546e-15,1.2577840909109301e-17,4.613091123220588e-06,3.6960203663475814e-16,1.2199286130230036e-13,1.5429919611888584e-10
TCGA-BR-A4J4-01A,0.34711855052563073,0.05983078838998302,5.616837918440709e-21,0.044195166785112046,1.3233222498097894e-22,1.2170633216729687e-13,7.051602604362436e-09,8.019356594191861e-15,3.340630144175999e-23,0.16658470204675413,3.469036186897329e-23,6.634816994514106e-22,0.25978087935446004,1.0470382346807992e-05,3.916341922926555e-24,5.195432873098362e-17,0.12247943438454631,4.0352769580682863e-10,4.68185420510072e-17,1.4362990476110062e-15,1.0377710243253237e-23,4.268422260937654e-22,2.8761437193764593e-21,2.9848890099664218e-15
TCGA-VQ-A91W-01A,0.3480042371780284,2.9480916523762007e-12,6.452612249923593e-13,0.13584404207008785,2.0055523536353886e-15,3.763775689187134e-06,1.7449375408977967e-08,6.663403058220393e-07,1.058260698637981e-16,0.06328460986350525,3.802640461483974e-09,6.341806021991412e-16,0.2294023469758906,0.22345421324463055,4.760856264001904e-06,3.9232137947814384e-10,1.3123128742665687e-16,2.1796588623741363e-14,4.159810459397702e-12,1.3372962110714153e-06,8.644063881150138e-20,6.990754680826751e-20,4.498006601499993e-13,6.51510763614199e-11
TCGA-33-A4WN-01A,0.3458728690483714,8.497597450347323e-18,3.1813528238536145e-22,3.842469066890867e-14,4.089169525063326e-20,1.7896261734044643e-15,0.0062823464679013456,1.3394826475864724e-10,0.3150046028729355,0.12814533496714486,8.768154332023017e-13,8.633693513042071e-18,1.3724759288554888e-09,2.771008848861961e-11,1.218478129139161e-13,1.714280912300011e-10,0.2022476285750402,8.919471421548824e-19,1.831903656300699e-18,0.002447215563252494,1.1189171072482083e-10,2.3166396674173935e-21,3.958595057565624e-18,3.1744240577649847e-16
TCGA-AO-A12D-01A,0.3481677498158736,1.1419029015279405e-19,0.20837762767295284,3.380920213706784e-15,9.149425640925674e-22,1.2043613792256042e-10,8.569832124663025e-21,2.355827990269642e-09,0.0014487791113557775,0.2566571556261595,0.08110252700435627,1.603305328832558e-19,9.18422186951323e-14,7.383625384451888e-10,1.840694310679658e-14,7.62320375206376e-14,0.10424615684260506,1.2446211432752782e-17,7.08124793434952e-20,1.7116678320811955e-11,8.476575858159473e-20,3.302427794672353e-21,1.1768833128611484e-16,6.441007833728216e-16
