component_label,original_component_index,total_activity,color
Comp_0,0,124.14151584143133,#332288
Comp_1,1,38.947553924598,#88CCEE
Comp_3,3,37.810652942807685,#DDCC77
Comp_2,2,37.005513852604864,#117733
Comp_4,4,26.587451342062586,#CC6677
Comp_7,7,25.62873813128701,#44AA99
Comp_8,8,22.822319309001543,#999933
Comp_12,12,21.022752727582663,#009E73
Comp_22,22,20.455254391475165,#bd9e39
Comp_6,6,19.768708769170846,#AA4499
Comp_13,13,19.76242837092697,#393b79
Comp_5,5,18.85388080962189,#882255
Comp_17,17,18.55794059178599,#637939
Comp_14,14,17.226588531258297,#5254a3
Comp_18,18,16.50954211517229,#8ca252
Comp_19,19,16.11330672770898,#b5cf6b
Comp_11,11,15.492020779217896,#56B4E9
Comp_20,20,15.401728282669284,#cedb9c
Comp_16,16,14.393016407372512,#9c9ede
Comp_21,21,14.349699289798806,#8c6d31
Comp_23,23,13.206604209255387,#e7ba52
Comp_15,15,12.924523125840164,#6b6ecf
Comp_10,10,12.82388050005801,#E69F00
Comp_9,9,10.189404811107675,#DDDDDD
