,Mean_Activity,Median_Activity,Std_Dev,Max_Activity,Min_Activity,Active_Samples
Comp_0,0.21326729554909277,0.23155273832782858,0.11605415328380189,0.44038038937166235,6.904562434269188e-11,351
Comp_3,0.06902360005123957,7.501569548286749e-22,0.18451595879923244,0.7960368284578395,5.7339225811272324e-49,59
Comp_1,0.06878640619095344,4.194593340308513e-18,0.21421702800515174,0.9245883013693327,2.1986027833557842e-38,45
Comp_2,0.06529161968449013,1.0189967647812727e-18,0.19704640973048015,0.823331999730641,1.6537804438212947e-46,47
Comp_7,0.04906515559547025,7.443250040617512e-18,0.18913458298942135,0.9225013694508184,7.153115824241165e-40,30
Comp_4,0.048905756517665495,4.883154501134489e-21,0.20549150546153114,0.9999999991766955,7.900146795526728e-36,23
Comp_8,0.039064744062682004,6.926501006854341e-22,0.16781985174095593,0.9981720921941801,1.0713221223438766e-41,29
Comp_22,0.03576059447766571,5.085056444309961e-22,0.1212315697093821,0.7088655097886298,2.1556621392599675e-55,40
Comp_12,0.03440055233014186,1.214421415490891e-17,0.14221104994737246,0.8267767882354358,6.229924923157355e-48,29
Comp_6,0.033408505598046395,1.5196581304445962e-18,0.08305227285700774,0.6851758036228125,1.246890997973707e-48,80
Comp_13,0.03327462397330232,4.1620993449105897e-20,0.12591743764777596,0.7528403827881995,2.1286908055526717e-41,38
Comp_5,0.03321614562964851,8.268584797326033e-19,0.1738783031854021,0.9999981185286022,6.209027615877742e-35,16
Comp_17,0.03133001253064229,1.3108255072733055e-18,0.1121004829952704,0.6495734385116059,1.4351027153271378e-54,36
Comp_14,0.029268112705033458,1.2805280110309882e-15,0.0838647680323753,0.7323022636602137,1.8542422249440824e-48,62
Comp_20,0.02694432155497348,5.711764508168683e-17,0.12546345930954658,0.8159213446001389,2.6898491694907376e-37,23
Comp_18,0.026339510884666146,1.2757379391516995e-22,0.1251818968833227,0.9930916287512451,2.3541110339396856e-48,23
Comp_19,0.02489646897361803,1.3632231367331904e-21,0.11906542650834595,0.8917638784600911,3.998183679922229e-41,25
Comp_11,0.024147644915725363,6.638975648688079e-19,0.13567800574838523,0.9999777761227396,1.006253353386663e-36,19
Comp_16,0.02172690654438667,1.5503413139740627e-19,0.13955157821607625,0.9996570005486157,1.2140496382807938e-32,10
Comp_21,0.021340197535003314,1.4612867890789505e-18,0.12413446325178397,0.9707334503091605,1.0415544889325601e-44,16
Comp_15,0.020563067723058742,1.145303926128469e-21,0.1367984171591948,0.999999913133198,7.438162660408954e-34,10
Comp_23,0.019309060626803397,3.6238588848724275e-21,0.11427481603877583,0.9973914118082318,6.3968235733290155e-40,17
Comp_10,0.018652653219643375,1.2844592318160376e-21,0.12832031490992887,0.9999990482973337,4.6034351809442625e-33,12
Comp_9,0.012017042436239165,1.1203753175559265e-20,0.0970679904444633,0.9999984457968685,5.081925461426067e-35,8
