group,Comp_0,Comp_1,Comp_3,Comp_2,Comp_4,Comp_7,Comp_8,Comp_12,Comp_22,Comp_6,Comp_13,Comp_5,Comp_17,Comp_14,Comp_18,Comp_19,Comp_11,Comp_20,Comp_16,Comp_21,Comp_23,Comp_15,Comp_10,Comp_9
Adrenal Gland,0.04186597132023876,9.20359351856981e-13,0.0002544533835101037,0.0013112561880976384,8.770580534098475e-05,0.00399802976903576,2.7927461052482667e-12,4.3686659420685645e-06,2.0856613437765507e-15,0.008907579388519379,3.558331856451889e-15,6.1861311606300995e-15,1.1614498393580943e-05,0.011179476321832672,0.003515038567920206,2.5068175559376034e-15,0.0017306195905438255,0.0023064691503981824,0.4680409215476605,1.3075406797075427e-14,2.0698990035619735e-06,0.4567844185685062,3.5763930692589204e-16,6.70612088893873e-09
Bile Duct,0.308643217912017,0.08564439825947107,1.1920014294904687e-06,5.3168304725765766e-09,2.3143835540597412e-11,2.9876357240062907e-09,0.09648728088153523,0.00015998733743001443,2.155241234736548e-07,0.047491405236033166,0.028371999209679578,5.456598735754449e-13,0.2412857917272178,0.15285534824160577,3.4770739391737995e-05,0.01886256867957104,1.8572048617482576e-07,0.020156884204945314,4.673755076966176e-06,5.101958225769009e-10,4.8572737221951415e-09,1.0539233694637619e-10,6.608271821991091e-08,6.123443840291321e-12
Bladder,0.17264750173097862,5.871961602855889e-14,3.567293262104712e-14,0.006936170812658056,2.424851633180699e-07,1.844576139447351e-09,5.6288975018278976e-11,2.0028345166071885e-10,0.003981856949972298,2.2824344816849493e-14,1.205214616594005e-09,9.801384758315466e-15,0.00023812147353993604,3.7086257336963765e-07,0.010984361264757702,6.023552310316084e-17,0.0007271017463505912,3.802896800614736e-16,1.5168403446338998e-13,0.7448595214638465,7.78005979048922e-20,2.2838125091066274e-07,2.5930879138089078e-20,0.05962451893947124
Brain,0.07605079949227812,1.2457476609779215e-08,5.5622132752129076e-24,1.508591482094887e-22,0.8957163322804266,1.0138888348383661e-20,1.84142369201993e-21,1.61279133322182e-17,8.624760929854631e-18,0.01651992343114772,2.3333831853380583e-06,1.292741524535877e-15,3.1906691325851308e-22,0.0054978235475539265,1.591207488746364e-06,0.001386157143376184,3.6875048986784816e-09,3.152950677163724e-05,4.813158619623673e-10,3.766517315283261e-21,6.254207427996467e-09,1.4519971287343863e-08,0.004793447114462298,2.475092753690681e-08
Breast,0.30740738136363993,3.163014255454674e-11,0.3741961050369522,0.00014692715755975443,1.4350752199776519e-07,0.0046284192169989665,4.921868608274252e-09,0.0014009708328198887,0.012603470325182286,0.0315982341832415,0.16885375057660595,1.765311181777039e-11,0.00017807497619042536,0.03145982147396509,0.006750858580612859,1.4012815974890123e-05,0.002045200866174931,0.0006914495930801201,0.0045399364935470934,0.003804348902137974,0.039080746710552124,1.6891424374401673e-05,0.002747248119951179,0.007836002159808514
Cervix,0.3078481867128634,1.1443778775812173e-17,2.217589089514496e-21,2.761607708946954e-13,1.0667795889294294e-24,2.4445035164102125e-18,3.3175212705728184e-22,3.088099851619994e-09,0.4472616220505531,0.11234811806514977,9.025805095638721e-07,7.662086509956258e-19,3.520587014047919e-07,0.1198309586788932,3.746680704305303e-11,0.009517478039839563,4.860993528788129e-16,1.3616099735953709e-12,5.743351373869645e-19,0.0031923779674686687,4.238605099775248e-12,3.3523979064821337e-22,2.523355480696755e-19,2.6002601012475626e-25
Colon,0.2712385347956604,2.4224234754234746e-10,0.0006767548766123494,0.6455795740888813,7.343277103886882e-13,7.466352857895591e-06,7.564026320136677e-08,1.708232124650307e-05,2.413694643018447e-07,0.016323527689270426,0.0008311898376025819,1.8494672731566008e-12,0.027142701224074608,0.029886861112973836,3.880370070719846e-09,0.004430907177635387,0.0037960067448159582,5.7274909594837656e-05,1.957980706823616e-15,1.2458528155172454e-06,1.055116396960802e-05,2.2792716772289453e-16,4.2280068754545643e-13,4.458645687562251e-12
Esophagus,0.28417052601313214,1.1734310413550633e-11,5.297318656649008e-09,0.04378862641327492,6.688304416204473e-12,0.001972387588704649,0.01569109381864766,1.8165254678273192e-06,0.2739979390766763,0.08281709057292543,0.01000182691226838,4.457332560603865e-14,0.1165523781854276,0.03808165658680014,0.0021116151269933814,0.07306888224387081,0.01716346735581778,7.991199432170316e-09,2.3664162871892525e-14,0.0002992337876853435,0.040281445784690666,8.67033472923566e-12,2.5101507606775572e-14,8.165775198339727e-14
Head And Neck,0.2150305687675589,4.928560790021653e-07,2.772784505989088e-12,0.0010576079771085411,1.5639759221601876e-07,2.2100246509681646e-08,0.014210136541119649,2.734076215838508e-05,0.22454915950971607,0.08917281867181974,0.021300273244383314,3.301385168423024e-08,1.758335972938251e-05,0.08749573330302392,0.06846828435332725,0.1855080667985829,0.04791845971058599,0.04398575884628733,0.0001465449418681772,6.144054150504292e-07,0.0010883810960621242,1.9043496122770044e-05,2.875058757140299e-06,4.410959686610063e-08
Kidney,0.20720072686744245,0.5437109872350108,1.6233001858286943e-07,3.1851985077999263e-06,2.1188889305626057e-07,4.845925895754082e-07,0.0009756275764369923,0.0035342100892590215,0.0001548824807622974,0.01719059637701543,0.0048892220616913815,0.0018117389709080443,0.0006537646667814135,0.0022416154243191672,0.002367822629616025,0.014165150609966039,6.409948133555667e-09,0.19676683377481258,8.55204178192411e-05,0.0013649898821917845,8.129370195802171e-09,2.693312633398348e-10,5.060597404857765e-10,0.0028822508997205813
Liver,0.10963074014051843,1.4678803093815505e-05,5.444021765724371e-16,1.4515816779210175e-08,7.227235065037466e-16,4.364399726050215e-12,0.8160615090594547,7.234968366754182e-10,5.989386376094466e-18,0.06352794092596038,2.7691695148918875e-17,1.3885263784299382e-20,0.00016742756399503792,0.006791733105163787,1.045809369575123e-14,5.710945117367959e-14,0.0038059487865881314,5.677184133276469e-09,1.0851138382914242e-12,2.5179108687189486e-13,3.73227520155239e-12,4.472306904622666e-16,4.628901136788417e-16,3.468745761153832e-13
Lung,0.27498343172175893,2.894864155488394e-10,0.0034256737401623374,0.000373788541579509,3.1427070037180255e-10,0.00017427745880809498,0.0253319212625872,0.35196614960203937,0.14349600620873376,0.09684999002644613,2.3684622714078088e-07,2.942104486997461e-05,0.018571691194455963,0.021479573149945478,4.569344608785559e-08,0.01853318225546873,0.01618791945887638,8.19905644027362e-05,8.002589294095862e-06,0.007991381842115943,0.020515125240593023,6.82683253308704e-13,1.8674951675045625e-07,3.5294633768700843e-09
Pleura,0.1875891038871764,1.852918303232989e-10,9.577011920243572e-20,7.175905298789264e-18,4.59476395159237e-15,2.9115060385675724e-14,1.1164156862307944e-20,0.030692085620216615,1.9866433618630449e-22,0.0727204571850902,5.86644288981341e-14,5.80448827958387e-09,3.893348474203571e-15,1.1454829650595393e-12,1.4810816134132674e-16,0.708208519295997,6.06261337969626e-14,1.4676336046213966e-09,1.4281019087011313e-14,6.003071641649046e-17,0.0007898259473352965,4.184090466013406e-18,6.822369568278324e-19,2.1819025080855916e-17
Prostate,0.16807972435792023,0.0001329451019643444,0.0013079672545583836,2.3491796575215764e-08,5.4691870332350036e-08,0.7439158264836713,3.8974057422465736e-13,6.024915066440744e-08,0.0063526557561578234,0.013528528941399446,0.004850712913253779,0.0027162349935550842,0.001514472704314762,0.0349859863713509,1.612423167673812e-05,8.01666052823361e-15,1.4540773787128661e-12,0.0025965915667923094,0.0004252215306858906,0.01952086599660768,9.44163055704707e-10,5.6001648779228435e-05,3.579383339753094e-16,2.5976806623922856e-13
Skin,0.021151582922041376,5.6128332448111105e-18,1.8202325467560088e-20,1.4745779977460338e-22,7.201840655948359e-16,4.467628115010704e-20,1.0331036230776616e-26,1.6748323486031573e-18,1.817123905966307e-19,2.078890045928697e-09,0.0012713118355798189,1.7035857084659213e-17,2.1109911581538032e-18,5.882487156236319e-09,0.0005264995717135058,3.901089683565349e-09,8.102795218713058e-18,1.1571224411927496e-16,4.84756783991646e-20,3.45513929061585e-21,0.1492616196524929,1.7757575880980796e-21,0.5559143022137374,0.2718746713994474
Stomach,0.3158201373175329,0.0028491280205564734,2.2474372432784982e-05,0.044279673332255076,2.3776924056056616e-12,0.0011211310515792845,0.0002355237773848232,0.0006282957035985126,3.077523948675853e-08,0.027818967859026673,2.6292416437436386e-05,1.0534653488108242e-14,0.3569945653550878,0.15257151210015002,0.022532136544857976,0.01561167714808899,0.008046795925887331,6.112428397897451e-06,9.01759906601231e-12,1.4541594490748408e-06,0.04750647549970482,0.0039275976087935465,1.791355438880112e-08,7.359985692282112e-12
Testis,0.052826742720700905,2.880550063408923e-14,5.389552672389307e-19,4.276418211559747e-20,0.0056179029770038955,2.3267659454034324e-09,1.059575458778744e-22,1.161845401286162e-16,4.731310241327021e-19,0.00012984746184990838,0.0006814301998575543,1.27130190757901e-14,4.6699951627286036e-17,7.481589794209164e-12,1.2965100910242973e-15,0.006920026166261275,0.8702879049141821,0.03923284333341622,2.1374785038700335e-08,5.36771120917842e-16,0.024270896428491843,4.159796863584669e-09,7.84828481532268e-09,3.236945932595351e-05
Thyroid,0.041659519004784054,8.187937281310497e-12,1.2071666947931311e-15,9.748061793370583e-23,1.3368291130016148e-17,1.1353854888739932e-14,1.883071584693927e-24,0.0006485893762810487,6.4334826490838024e-18,9.632325173075685e-06,8.371520355661333e-17,0.9469125453860162,9.143071013466997e-20,0.010717642557181948,2.1785026849470386e-23,1.2890303074897577e-17,1.2872354478422685e-19,5.207063091716301e-05,1.2133649653992123e-15,4.87233579118055e-16,2.1425704429586083e-18,6.094775242953387e-19,1.3151574321113857e-23,4.871730924185904e-19
Uterus,0.2630881857494299,0.008645708723548935,4.378253917478372e-06,2.0093298196393466e-07,8.463191327137304e-10,5.10289536342045e-06,1.9794122798911187e-13,0.00029230752826640003,0.000123377444198679,0.014860819582076822,0.0006720101547508408,1.6907827237121847e-05,0.0021602262696889213,0.019545004487582666,0.6704015735833284,2.0833853584630426e-07,5.729166196642495e-07,0.002336457374995085,3.5156484288485464e-12,2.9804999476300884e-07,0.017846641359360833,1.7038098715413095e-08,2.5932564350918533e-16,1.5496220927022167e-13
