UMAP_1,UMAP_2,Sample_ID,Dominant_Component
9.336814,5.3677616,TCGA-A2-A0T4-01A,Comp_0
3.171214,7.622199,TCGA-W7-A93N-01A,Comp_0
9.465739,5.314066,TCGA-BH-A0DP-01A,Comp_0
10.254948,5.5757737,TCGA-LN-A49W-01A,Comp_0
9.43956,5.262558,TCGA-A2-A0YG-01A,Comp_0
11.541728,5.236477,TCGA-93-A4JO-01A,Comp_0
9.649773,3.706046,TCGA-A2-A0EW-01A,Comp_0
9.775797,3.796927,TCGA-AO-A03N-01B,Comp_0
9.844318,5.2942357,TCGA-C8-A8HR-01A,Comp_0
3.1073697,7.6827283,TCGA-AA-A01P-01A,Comp_0
12.035508,5.1456947,TCGA-L9-A8F4-01A,Comp_0
3.8141656,7.3857036,TCGA-BR-A4J7-01A,Comp_0
16.985672,2.4680352,TCGA-NH-A6GC-01A,Comp_0
3.224151,7.7795825,TCGA-BR-A4J4-01A,Comp_0
3.730446,7.4705806,TCGA-VQ-A91W-01A,Comp_0
8.561304,8.684099,TCGA-33-A4WN-01A,Comp_0
10.456594,5.251086,TCGA-AO-A12D-01A,Comp_0
9.1451845,5.45422,TCGA-C8-A12K-01A,Comp_0
17.013046,2.5515726,TCGA-A6-A565-01A,Comp_0
9.375969,9.376661,TCGA-LN-A4A5-01A,Comp_0
10.213456,5.3726296,TCGA-BH-A0C1-01A,Comp_0
3.2579327,7.8237915,TCGA-W6-AA0T-01A,Comp_0
8.663804,8.629052,TCGA-BH-A0DL-01A,Comp_0
9.700117,4.998487,TCGA-BH-A0BA-01A,Comp_0
3.1252184,7.7872534,TCGA-3X-AAVA-01A,Comp_0
8.655991,8.5172415,TCGA-XC-AA0X-01A,Comp_0
0.78750473,-10.478495,TCGA-UZ-A9PV-01A,Comp_1
0.8823979,-10.55597,TCGA-P4-A5E6-01A,Comp_1
0.8827924,-10.564451,TCGA-HE-A5NI-01A,Comp_1
0.87969893,-10.569818,TCGA-F9-A7VF-01A,Comp_1
0.91356105,-10.5938425,TCGA-P4-A5EB-01A,Comp_1
0.7606773,-10.477638,TCGA-UZ-A9PL-01A,Comp_1
0.7432889,-10.459436,TCGA-B9-A5W9-01A,Comp_1
0.6449187,-10.384773,TCGA-B9-A8YI-01A,Comp_1
0.64146966,-10.383591,TCGA-HE-A5NJ-01A,Comp_1
0.5685124,-10.333833,TCGA-KV-A74V-01A,Comp_1
0.93478745,-10.608753,TCGA-4A-A93X-01A,Comp_1
0.45421913,-10.339073,TCGA-HE-A5NK-01A,Comp_1
0.57083213,-10.33255,TCGA-B9-A5W8-01A,Comp_1
0.41988307,-10.322799,TCGA-UZ-A9PK-01A,Comp_1
0.3981231,-10.311874,TCGA-GL-A9DC-01A,Comp_1
0.12660903,-10.3022,TCGA-UZ-A9PQ-01A,Comp_1
0.06004546,-10.283058,TCGA-IA-A40X-01A,Comp_1
-0.26459503,-10.335564,TCGA-HE-A5NH-01A,Comp_1
-0.29845172,-10.21763,TCGA-IA-A40U-01A,Comp_1
-0.31323323,-10.172953,TCGA-B1-A47N-01A,Comp_1
-0.34524927,-10.2053385,TCGA-UZ-A9PJ-01A,Comp_1
-0.4348791,-10.157754,TCGA-P4-AAVL-01A,Comp_1
-0.5125839,-10.0977745,TCGA-PJ-A8JU-01A,Comp_1
-0.54022294,-10.151802,TCGA-B1-A654-01A,Comp_1
-0.040731773,-10.111724,TCGA-F9-A7Q0-01A,Comp_1
-0.6065205,-10.117718,TCGA-4A-A93Y-01A,Comp_1
-0.71214813,-10.09213,TCGA-Q2-A5QZ-01A,Comp_1
-0.69770354,-10.102541,TCGA-UZ-A9PP-01A,Comp_1
-0.673882,-10.150622,TCGA-UZ-A9PM-01A,Comp_1
-0.77248055,-10.101877,TCGA-B8-A54E-01A,Comp_1
-0.8281902,-10.1075945,TCGA-DV-A4VX-01A,Comp_1
-0.9145496,-10.028251,TCGA-F9-A8NY-01A,Comp_1
-0.82890415,-10.038382,TCGA-2K-A9WE-01A,Comp_1
-0.95125353,-10.11401,TCGA-B9-A44B-01A,Comp_1
-0.9591162,-10.02614,TCGA-P4-A5EA-01A,Comp_1
-0.9902623,-10.054457,TCGA-P4-A5ED-01B,Comp_1
8.992636,2.0695946,TCGA-A2-A0EY-01A,Comp_3
9.010413,2.0834625,TCGA-A7-A13F-01A,Comp_3
9.069223,2.1503742,TCGA-BH-A1EV-01A,Comp_3
9.039483,2.1320736,TCGA-C8-A130-01A,Comp_3
9.001602,2.0821443,TCGA-A2-A0CX-01A,Comp_3
9.210911,2.2600958,TCGA-A2-A0T7-01A,Comp_3
9.26366,2.4569783,TCGA-AO-A0JM-01A,Comp_3
9.07544,2.1928458,TCGA-C8-A12Q-01A,Comp_3
9.486877,2.4385014,TCGA-A2-A0YC-01A,Comp_3
9.35953,2.4599595,TCGA-A2-A0SW-01A,Comp_3
9.541694,2.4707656,TCGA-C8-A12T-01A,Comp_3
9.475079,2.5325603,TCGA-A7-A0CH-01A,Comp_3
9.585339,2.568981,TCGA-A2-A0EX-01A,Comp_3
9.706255,2.6399841,TCGA-A7-A0D9-01A,Comp_3
9.299453,2.586255,TCGA-C8-A12O-01A,Comp_3
9.653185,2.5904713,TCGA-AR-A0TV-01A,Comp_3
9.745098,2.676432,TCGA-4H-AAAK-01A,Comp_3
9.760161,2.6899676,TCGA-AO-A0J8-01A,Comp_3
9.795432,2.8515778,TCGA-A8-A08J-01A,Comp_3
9.749119,2.7976177,TCGA-A2-A0T5-01A,Comp_3
9.679086,2.9617403,TCGA-A2-A0SV-01A,Comp_3
9.696357,2.9375002,TCGA-C8-A12Y-01A,Comp_3
9.593553,3.0043056,TCGA-C8-A137-01A,Comp_3
9.684244,3.0676138,TCGA-A2-A0YD-01A,Comp_3
9.626378,3.072536,TCGA-C8-A133-01A,Comp_3
9.669867,3.0196478,TCGA-BH-A0DV-01A,Comp_3
9.371132,3.197915,TCGA-C8-A12U-01A,Comp_3
8.982576,3.317204,TCGA-C8-A12M-01A,Comp_3
9.712771,3.4091148,TCGA-A2-A0YH-01A,Comp_3
9.500896,3.4845989,TCGA-AO-A0JB-01A,Comp_3
9.773831,3.4902132,TCGA-A2-A0YF-01A,Comp_3
9.833575,3.5274415,TCGA-BH-A0B5-01A,Comp_3
9.631046,3.5377278,TCGA-AQ-A04L-01A,Comp_3
9.286388,3.5277112,TCGA-BH-A0BZ-01A,Comp_3
9.6068325,3.5824223,TCGA-3C-AALJ-01A,Comp_3
9.62648,3.4551098,TCGA-BH-A0B1-01A,Comp_3
9.190221,3.5482075,TCGA-A8-A06N-01A,Comp_3
9.344566,3.651487,TCGA-AO-A03L-01A,Comp_3
9.7562475,3.7895007,TCGA-A8-A094-01A,Comp_3
9.204851,3.658717,TCGA-AO-A0JG-01A,Comp_3
9.604145,4.3806987,TCGA-BH-A0EE-01A,Comp_3
9.630627,4.498398,TCGA-D8-A13Z-01A,Comp_3
9.674581,4.595372,TCGA-A2-A0ES-01A,Comp_3
16.908371,0.63461924,TCGA-QL-A97D-01A,Comp_2
17.03125,0.7766196,TCGA-AY-A69D-01A,Comp_2
16.985003,0.7096968,TCGA-AA-A01S-01A,Comp_2
16.950386,0.651621,TCGA-NH-A50V-01B,Comp_2
16.980482,0.70160735,TCGA-DM-A28G-01A,Comp_2
17.017921,0.75312847,TCGA-NH-A50U-01A,Comp_2
16.948269,0.67280364,TCGA-NH-A8F7-01A,Comp_2
17.06838,0.82720554,TCGA-AD-6889-01A,Comp_2
16.997759,0.6264606,TCGA-AA-A01X-01A,Comp_2
