,Comp_0,Comp_2,Comp_1,Comp_3,Comp_4,Comp_7,Comp_12,Comp_6,Comp_8,Comp_5,Comp_13,Comp_22,Comp_15,Comp_23,Comp_19,Comp_14,Comp_9,Comp_11,Comp_21,Comp_10,Comp_16,Comp_18,Comp_20,Comp_17
TCGA-BH-A0DP-01A,0.4064693862267942,7.950950421250147e-26,3.9055154602247345e-20,0.2663991337473469,5.97356153532879e-20,1.7971930480416968e-11,1.2917250318214164e-21,8.15881452771752e-18,2.661047793898944e-23,3.422532096857019e-20,0.32713147929997444,8.821407858301234e-21,1.3100089531510846e-16,1.2054127159930787e-21,1.645956347441967e-11,8.179187702558581e-32,8.028685988105105e-23,3.266447055570074e-23,1.189654855642509e-18,6.907963022326557e-24,1.2169825598569996e-22,2.3657067091985777e-29,9.839091127991416e-17,2.3988012616282557e-20
TCGA-A2-A0T4-01A,0.3925763041443279,1.0937945748274154e-19,8.089270693979661e-16,0.19595435588633395,2.1011601071906772e-16,1.3726871547664406e-13,3.1458018170437426e-15,0.07938171505674356,6.702063331598665e-21,7.30217533542775e-16,0.33183559158874554,3.665082405143447e-10,2.2740214868136632e-14,7.040112114841466e-19,0.0002520322509850118,3.5851942230602186e-21,3.538535162965532e-19,1.0738363731954194e-18,5.3021545322122973e-14,5.278905113611521e-18,6.324951555251397e-16,4.9696350962601045e-17,2.32685119624096e-11,1.5833732892204288e-16
TCGA-MP-A4T7-01A,0.3681629971802346,3.2821137118491655e-06,7.380701366356363e-12,6.3240812164942254e-15,1.4861873784008622e-20,2.555340845431961e-18,0.30435271603699215,0.09581256863240999,2.822795292057176e-17,4.883448440971573e-21,3.937022854320542e-17,0.20136396525606695,2.9545132347481894e-11,1.9293385346355685e-16,0.03030375453454509,2.5662238816202454e-21,8.462389749940092e-18,9.511736692258726e-11,4.666819402213518e-11,7.634732070406684e-18,2.3805764429178322e-08,1.2423446663703785e-23,6.88570815443576e-07,3.0205927146817716e-09
TCGA-NH-A6GC-01A,0.36919164153246,0.22681980676090438,4.295618754070879e-17,6.048961121182335e-16,9.787945660038406e-11,3.4557688366116945e-12,4.3474742685495576e-11,0.3371993626450919,1.979491580050789e-21,3.855243194615892e-18,3.968384608352503e-06,4.3738806167398476e-05,9.426905267133996e-11,2.2627236309826976e-17,0.0032861945824255437,1.5200324529407276e-17,9.451091623034573e-13,0.025692799163212217,2.4774304590611054e-16,6.814999211709101e-15,1.6434825166219301e-15,2.7844739371950208e-14,0.0001437622142675374,0.037618724986502136
TCGA-A2-A0YG-01A,0.37566567778970483,1.1274697375113089e-21,7.752035471188286e-15,0.306912952326927,1.4254901862539524e-13,2.3735937777477272e-07,1.669762904619714e-16,0.02591935975812507,8.866159169638551e-16,4.0455365673843906e-14,0.28846459194915774,8.412249048003644e-16,2.1352848661704927e-15,2.214742898662981e-19,0.003037179902351923,3.987543342018635e-17,6.658995818190522e-20,2.8292607441843176e-17,1.3379410929201327e-13,2.4388433253891184e-17,6.533997592266414e-15,2.1559235322393204e-10,8.216931948178539e-13,3.3968383937128594e-17
TCGA-93-A4JO-01A,0.35113927213240764,3.403597548799834e-21,4.619899818598417e-22,5.129034435445217e-21,3.272099917877027e-26,3.0890633686110925e-18,0.30815119018754605,0.3407095369489564,1.7110326302820804e-26,1.5266029702981663e-14,3.408859059934644e-18,1.4754925868462864e-18,6.944999653918923e-14,8.210551140960262e-19,1.4488788602282239e-21,2.838740613297523e-27,2.6349309105432508e-25,7.034283370598061e-11,1.4879372744875484e-17,4.44739949223974e-26,8.102261250131577e-26,5.57393157712569e-31,1.5246726902453526e-17,9.233209955128058e-17
TCGA-C8-A8HR-01A,0.3602339762259453,5.563718204511632e-22,1.7415237060208586e-19,0.1617577919743555,2.3284540491322113e-19,1.4547242677711468e-12,1.5848958583139283e-15,0.21301273987472627,5.016142138161853e-25,1.9798284010089894e-17,0.245109478537479,0.019885971876132627,7.91400312985582e-17,1.168358652986142e-10,6.717268670905986e-09,1.105158825925916e-10,2.299056382651341e-17,3.3881457181220185e-08,1.0797532911226193e-12,1.7529081218707777e-18,5.387661590404826e-19,1.7547228226412622e-13,2.904395122790207e-12,1.7996301329676463e-13
TCGA-BR-A4J7-01A,0.3557075853839103,0.2195675379512912,9.139046000958775e-14,1.3179690315571216e-09,5.634144735597552e-11,0.03924628260363651,1.6024369468394423e-08,0.20368683831721052,2.423683730209545e-11,3.459804057837474e-15,2.658650615221131e-12,7.275142640012049e-14,0.18151312897242763,3.0716912900187617e-15,2.7713359612761215e-07,0.00026628956505453085,8.553793925013805e-18,1.2041494689746676e-05,1.7594217273241133e-12,3.873827559989671e-13,6.671083059803081e-13,4.5346500642964434e-10,9.143917111350428e-13,7.102449643379856e-15
TCGA-LN-A49W-01A,0.33537731187575975,6.235176255693483e-07,3.86823807167837e-15,8.923909594113674e-05,3.2937136263818077e-21,0.024204268506312975,3.130839575351996e-05,0.22922218523065252,5.00697741705769e-16,3.4198492774598386e-15,0.1183899398823044,0.12903510367918034,0.16103322020877364,1.742473412354062e-06,1.0681961493627737e-16,8.093205166112807e-25,1.715421833026282e-20,0.002602829264304551,5.085537202262501e-08,9.806087462383204e-22,6.033383442407703e-19,1.403962637130524e-24,5.558997340435132e-13,1.2176352075600733e-05
TCGA-A6-A565-01A,0.36168998318005074,0.3310626014551515,6.197607378875132e-15,1.0950117617899653e-15,7.288814243655212e-13,2.447671036345718e-18,8.804315528955486e-07,0.015275293135387176,2.1042177957850857e-18,3.609443111141219e-19,2.682927309379291e-13,0.2429657790685582,3.609182863054061e-16,7.169677040341862e-20,0.048389151265083453,1.0457950420181765e-17,1.2277704175282513e-14,8.265299251804144e-13,3.2388594109949655e-15,2.2398987942991457e-16,4.506701696394791e-16,6.681505792442498e-12,0.0006162890793176634,2.1647679529786405e-08
TCGA-VQ-A91W-01A,0.34931434235404385,0.31575990773972107,7.416762287110175e-16,8.972681425958009e-16,8.47621451414118e-17,2.2965993456380658e-10,1.1186146542477586e-08,0.1471354616648257,1.760352824591983e-07,4.7850990390603326e-20,1.247290894409549e-16,2.305289525130376e-15,0.1877856125871254,5.631118962932978e-15,4.958554680094274e-15,2.8700321522286824e-29,3.9630250299037653e-13,9.64131363027434e-16,2.9717391475418784e-08,1.904893288628994e-18,9.119389108556932e-13,3.312418095211398e-25,3.985081971900792e-06,4.72690205420128e-07
TCGA-D7-A6EZ-01A,0.28781307438643594,0.2102044835342104,2.75490608206732e-16,1.0714401052831135e-20,1.0507394009223555e-13,9.451419611797323e-17,4.6825459857459844e-14,0.17168665394195173,0.00011868629607350318,3.6836609255556e-21,1.1991632148889722e-19,1.4261364635042234e-11,0.17356509369973638,3.237799733619423e-17,2.919289217868136e-12,0.10314446636978997,5.095331759979186e-10,0.0042917818747790675,2.6526284130401346e-18,3.037276708925431e-13,1.7156638130138704e-11,0.04917573837776625,1.3046191677410612e-13,2.0292550288924914e-08
TCGA-D8-A13Z-01A,0.2908517725335901,0.00432123034766509,6.357429071665112e-16,0.25373943621116785,6.917043917394384e-17,0.026099329559809852,0.08606214383177146,4.904846751749085e-28,1.0725398981274432e-16,3.672760222833476e-14,0.06323012695495409,0.04831913747852008,0.21972081056163942,0.007344405149177017,7.457198569654288e-19,2.1096556884539084e-15,9.631403670227767e-13,1.089203386205791e-12,0.000311604452715287,4.1028460967440796e-16,1.44977322941977e-14,5.7586648992978345e-21,8.54237932440787e-16,2.2223255108879376e-09
TCGA-BR-A4CR-01A,0.21468076426871965,0.17358777195755168,9.699918720755189e-09,0.010874943762143548,3.532177729979857e-10,0.03582082884845441,0.016874892520439295,9.196123479210184e-06,0.025205892184362897,1.6133396637857746e-12,7.364417640148223e-22,1.3742225325498733e-16,0.05805193273660083,3.528802195716102e-13,1.795605210622087e-10,0.1964490347991694,7.382723324282643e-20,0.0005460329178616493,3.381241647480154e-12,0.11501258501206715,1.4422659843267219e-18,4.7900463260295724e-17,8.898098151291213e-20,0.15288611399324298
TCGA-AA-A00J-01A,0.27640726514362046,0.7235927338736737,1.1025303085896267e-27,1.6288505267821867e-12,9.724484634648731e-26,1.890783945476685e-10,5.359345860655567e-17,3.539148665281724e-36,3.7282894137872216e-15,3.490372319750178e-27,7.892503254637975e-24,4.385891728779782e-21,7.443041107580423e-14,1.1726285733095008e-17,3.951437010043661e-30,7.563979760456291e-32,3.1868734439960994e-22,1.1935198972799349e-28,1.2558319185765173e-19,6.799563749897096e-23,1.6846439195408623e-30,1.3307674569200225e-34,1.6002281508971445e-27,5.2151572086926486e-20
TCGA-QL-A97D-01A,0.2765239471433142,0.7234760520647915,4.143159188308881e-28,3.279900827656203e-29,3.5937494199288944e-31,5.603235417692465e-28,1.4871923084430547e-22,1.474752518329591e-31,7.241515246251096e-24,6.525517246024005e-26,7.993319737399841e-25,2.0360193336416422e-20,5.86387285302447e-18,9.696112596568277e-27,1.3420074720235508e-26,2.6390137534820036e-32,1.271519029622038e-30,1.1230834104449243e-30,1.7871429255631535e-22,7.514899890563802e-33,1.9223414463032292e-27,1.6014315757004565e-36,1.348016345200865e-27,2.029282956295637e-19
TCGA-AA-A01S-01A,0.2960110158382229,0.7039889833742455,1.4084339747418945e-26,1.37750990232914e-31,1.1820259887221448e-32,1.1090722635173723e-28,4.363562267943717e-30,8.081979065485499e-45,9.068839975533129e-23,1.894654266738941e-27,2.578963999627853e-29,5.986551161491202e-36,2.857522998218225e-24,4.206139389043155e-31,1.738866157226274e-33,5.894799199132192e-38,1.7777066083018885e-37,2.689068865971891e-29,1.454480551668255e-23,2.608711861200406e-35,5.094736296194172e-35,3.141634053534022e-41,5.771722952489002e-33,5.393345370222651e-26
TCGA-AY-A69D-01A,0.29676470874867555,0.7032352904639618,4.490923883236165e-28,1.2298576526241436e-29,1.052103782391366e-30,5.105594729904704e-28,1.93802578618074e-23,1.1893067176140322e-30,2.155526372396851e-24,6.131375753889955e-29,1.1326003639116228e-33,6.641452267312171e-27,2.1047311750109642e-24,7.181459971892212e-29,2.119771273395796e-26,2.0944437483554424e-29,1.2423921936308314e-33,5.790358766819101e-24,2.4170309264988696e-23,3.006661488442282e-31,1.0290497620105566e-28,8.847928939117971e-35,1.0425897942757703e-28,2.5996049953076706e-22
TCGA-AD-6889-01A,0.3048913390437413,0.695108660170704,2.1690464389354613e-26,5.685047673788071e-23,3.5628097713015953e-28,9.082925635627121e-15,2.957906617487643e-22,9.21141067479191e-44,5.938111565909717e-21,1.1487909428362806e-26,5.379943691452781e-28,7.546114653681732e-29,2.2556829022623015e-15,3.2338490423837576e-19,3.269241216088335e-32,4.924026706482312e-40,1.666287031768148e-30,2.9581476616997567e-28,1.1359256430355123e-21,1.1892152389533214e-28,9.60354912099517e-32,1.967457930296463e-40,2.560503689461762e-26,9.069766599380432e-20
TCGA-AA-A01X-01A,0.3054839783307142,0.6940167552426365,2.4954669849670255e-10,1.7864794804189132e-11,5.3290795577141495e-20,2.947107132922059e-13,1.3606001480009491e-08,3.371114939045555e-26,3.0225276065503082e-12,4.259738427707033e-12,0.0004991688241107112,9.549760245943442e-17,8.109952942953616e-08,1.8493612978295205e-19,2.4535668456981586e-13,2.4271552718797796e-25,4.4110685181302224e-20,1.986292701943891e-25,1.830414592828111e-09,7.359833578591741e-25,1.839957524451547e-19,6.4005244449278925e-28,5.14654115155354e-18,6.035179959993002e-12
TCGA-DM-A28G-01A,0.3148564766995296,0.685143329793364,1.3591775547284745e-18,5.666153574913037e-23,2.7107165809378492e-27,1.0806514017803168e-22,3.3911242187400383e-15,2.473443257808268e-31,1.690366144558092e-20,2.5812149712705362e-20,2.9889892338689228e-22,1.7444465730707448e-15,4.391260568174035e-20,1.1650005207770048e-17,6.288386811923841e-20,1.51060628880416e-26,1.2354853705210754e-26,1.4426694730335545e-19,1.9272355526170592e-07,2.179219382239906e-27,8.153277145941832e-24,1.0590926514761365e-33,3.1268585932807154e-24,2.339224331291453e-13
TCGA-QG-A5YV-01A,0.3211862570708354,0.6788137421472694,1.533227614416998e-27,8.835342771922972e-33,3.8374617259245883e-32,1.0969769537011684e-24,2.2986200849717416e-29,1.2435583195335886e-41,1.1080664492896182e-25,1.791624849258063e-29,9.754445788688394e-33,2.9539648251698374e-38,3.293408068126471e-23,4.985363697254314e-32,1.095431119550354e-35,1.1693520394750046e-41,5.396322136946494e-36,2.2176094350628046e-30,1.6977673460755926e-26,2.5673369445774013e-33,6.90043558544562e-35,3.488011278635479e-43,4.948276661019833e-32,1.8759870050180628e-24
TCGA-HF-A5NB-01A,0.31471147818935535,0.6786227547583336,1.8072536422072983e-22,2.0819663395542028e-14,1.7910947867831373e-31,9.599748227694415e-24,1.6623763242344977e-07,8.507252222846962e-23,1.9820951880308564e-18,7.412038409236242e-27,1.892303211727239e-29,0.006665599611000908,2.4641138397992664e-14,1.1029699056420889e-13,3.916113423604648e-19,2.9586937210348806e-24,9.553736023747187e-28,1.417209573597295e-17,4.211202787266587e-10,3.2539784387882188e-25,1.13822474118835e-18,2.1843891093025065e-27,2.866279353981632e-18,2.0743325421417576e-23
TCGA-NH-A50V-01B,0.3240432666734882,0.6758534927297115,2.6775937375075512e-20,6.67314892494858e-18,6.298785067674786e-19,1.0707959525843028e-12,5.952719515683279e-19,1.155221123048619e-30,7.908253231171905e-19,7.285713134778406e-20,1.533067083875389e-06,1.060709393609313e-27,0.00010170674740900977,4.50919959175987e-21,1.8141742102855909e-23,2.517261580677564e-34,1.524094152042112e-17,1.0521272764349093e-23,3.3576372229335846e-18,2.5707062914170937e-26,2.6438882754462933e-26,7.32299634208856e-34,1.2529017369490013e-25,9.408617242266816e-16
TCGA-NH-A8F7-01A,0.33046954474074003,0.6695304544794417,3.410143485373616e-20,5.179379215493489e-34,9.719358963613653e-27,5.6392280558461875e-30,8.386857667056973e-30,1.4887477435789718e-36,1.6838144903841599e-15,1.1263493567065068e-26,7.578622883328787e-29,2.6242949380187497e-34,1.4255339276962175e-25,8.826932302279068e-34,4.642924833895834e-26,8.234526433129027e-35,2.4772156219945764e-33,2.9403714166122704e-27,1.3586302449076714e-29,3.942228812860572e-29,1.1828325342932124e-27,1.8589007844572137e-38,2.0163372182525392e-29,2.3533132589803396e-21
TCGA-NH-A50U-01A,0.3322168645938512,0.6677831346267205,5.044889282947029e-25,1.1850017018558893e-24,3.9152013642008096e-32,1.443858065452017e-23,3.1227177620437303e-21,1.7633711347764794e-39,2.648382799114661e-25,2.521197658489464e-25,2.416098117857241e-27,2.9700846861607626e-27,1.4272866336132786e-18,6.203388840010584e-23,5.418478818475039e-30,5.791704146708143e-37,1.3201176507170993e-32,8.234694547168466e-23,3.000060877564535e-15,1.3245771905169683e-31,9.464716790556579e-29,4.994905615332129e-41,4.06878833865436e-30,3.725784829144341e-21
