component_label,original_component_index,total_activity,color
Comp_0,0,120.79939668982105,#332288
Comp_2,2,38.537500262679586,#117733
Comp_1,1,37.453126855058144,#88CCEE
Comp_3,3,35.663193085918564,#DDCC77
Comp_4,4,25.868277254758738,#CC6677
Comp_7,7,25.237617080967432,#44AA99
Comp_12,12,20.164593355418255,#009E73
Comp_6,6,20.050033887008194,#AA4499
Comp_8,8,19.307697735588018,#999933
Comp_5,5,18.132918946293188,#882255
Comp_13,13,18.10791440404138,#393b79
Comp_22,22,16.853207162492332,#bd9e39
Comp_15,15,16.187726863084336,#6b6ecf
Comp_23,23,15.912819099069553,#e7ba52
Comp_19,19,15.396675710599762,#b5cf6b
Comp_14,14,14.358639393774993,#5254a3
Comp_9,9,14.23183136989886,#DDDDDD
Comp_11,11,13.905897037363445,#56B4E9
Comp_21,21,13.876426134251371,#8c6d31
Comp_10,10,13.754533801683063,#E69F00
Comp_16,16,13.196702340072033,#9c9ede
Comp_18,18,12.773482891352517,#8ca252
Comp_20,20,12.524991725314926,#cedb9c
Comp_17,17,8.925012619658942,#637939
