,Mean_Activity,Median_Activity,Std_Dev,Max_Activity,Min_Activity,Active_Samples
Comp_0,0.21937098887534462,0.23567660656439343,0.12137291272342522,0.4393936547791442,9.810894499009001e-12,335
Comp_2,0.07643910292139347,9.67288727729289e-22,0.19379105076590755,0.7235927338736737,1.2575523852321333e-54,57
Comp_1,0.07029980627246783,2.905683796376764e-20,0.21679904784396128,0.9306745573483681,3.908327073559303e-43,46
Comp_3,0.06725057155695598,3.571278144014128e-23,0.17633795989046228,0.7274815365475318,6.29488132524902e-54,57
Comp_4,0.05117942664883558,2.1938014578476607e-23,0.20940987562129446,0.9999999990410117,7.675738893049937e-40,22
Comp_7,0.04457665147815573,5.711394756774924e-23,0.169275330694621,0.7983117767307454,1.224287585216221e-51,27
Comp_8,0.036678573877989354,6.351890694806603e-22,0.1668113474572942,0.9987990062047395,1.4723443115400074e-41,25
Comp_12,0.035498933727078796,1.0518669724089336e-20,0.14147940448074162,0.8053319068974939,1.0953332010085504e-52,27
Comp_6,0.03549600666172739,1.0605409174633917e-19,0.0904329938206405,0.7156063208893946,1.2893318618318441e-46,67
Comp_5,0.03476887156604429,3.8215810910739194e-21,0.17743272686714906,0.9999976427366569,2.3519289677797874e-39,15
Comp_13,0.03169053101695043,1.190034448909702e-22,0.1258034696143052,0.715519522323,1.857725516349655e-48,31
Comp_22,0.029827287820825808,3.037705860664157e-20,0.11339754559760268,0.8136208078546849,2.5119192178395265e-56,38
Comp_15,0.028116012916767852,4.8459538870821903e-20,0.12452280799193888,0.813901748958756,8.861653389368333e-45,28
Comp_19,0.02774726563894546,3.76048439152535e-18,0.12300061245053212,0.7956510389620026,1.5814411913743152e-42,22
Comp_9,0.027154199850649294,5.420990583189253e-25,0.15681287164184513,0.9996085230236902,2.0559478008013976e-39,12
Comp_23,0.026047618837913,1.0153265849417926e-22,0.12456326371843228,0.9127278209680245,2.9711042584025054e-52,20
Comp_14,0.023899050047315927,2.7500387149698475e-27,0.1173761560960878,0.9999999993411318,2.290188164486219e-46,22
Comp_10,0.022129463825970214,2.831402968202348e-23,0.13840468272100068,0.9999996847464782,4.7772521909200165e-37,12
Comp_11,0.021797921931778413,3.655520106608293e-20,0.13377109683306296,0.9999355999958868,1.2868555129146951e-39,13
Comp_21,0.021382346942856362,4.773516256424688e-20,0.12122198964945019,0.8940046889742875,1.4546228876687086e-47,19
Comp_16,0.019689586556337915,3.2105055271293414e-22,0.1304727600667096,0.9982337668411784,1.4908447953947091e-36,10
Comp_18,0.018901648377137877,1.3865234838185899e-28,0.11651138382617272,0.9999958709710352,2.2297186047491186e-46,11
Comp_20,0.018761043643283296,6.011046935553143e-19,0.12130266555314756,0.996528230484048,1.6809705887802767e-36,15
Comp_17,0.011297088320116411,1.7355936134821486e-19,0.08364879447471743,0.8967070923870729,5.5697287206448867e-36,9
