UMAP_1,UMAP_2,Sample_ID,Dominant_Component
17.60712,5.306034,TCGA-BH-A0DP-01A,Comp_0
17.529922,5.1140614,TCGA-A2-A0T4-01A,Comp_0
8.852155,20.940216,TCGA-MP-A4T7-01A,Comp_0
15.46131,4.796121,TCGA-NH-A6GC-01A,Comp_0
17.51647,5.3462744,TCGA-A2-A0YG-01A,Comp_0
8.940503,20.904238,TCGA-93-A4JO-01A,Comp_0
16.895086,5.1092777,TCGA-C8-A8HR-01A,Comp_0
15.190001,4.6083517,TCGA-BR-A4J7-01A,Comp_0
16.37046,5.0816026,TCGA-LN-A49W-01A,Comp_0
14.553717,4.073285,TCGA-A6-A565-01A,Comp_0
14.98459,4.521391,TCGA-VQ-A91W-01A,Comp_0
15.078324,4.6582837,TCGA-D7-A6EZ-01A,Comp_0
17.374207,6.086488,TCGA-D8-A13Z-01A,Comp_0
14.921595,4.4821153,TCGA-BR-A4CR-01A,Comp_0
14.606376,1.5801066,TCGA-AA-A00J-01A,Comp_2
14.568667,1.6073387,TCGA-QL-A97D-01A,Comp_2
14.594655,1.5375134,TCGA-AA-A01S-01A,Comp_2
14.568071,1.5609161,TCGA-AY-A69D-01A,Comp_2
14.54984,1.5724636,TCGA-AD-6889-01A,Comp_2
14.536023,1.5779548,TCGA-AA-A01X-01A,Comp_2
14.544872,1.6364849,TCGA-DM-A28G-01A,Comp_2
14.468623,1.8347048,TCGA-QG-A5YV-01A,Comp_2
14.529338,1.727411,TCGA-HF-A5NB-01A,Comp_2
14.469398,1.8633097,TCGA-NH-A50V-01B,Comp_2
14.545251,2.1039364,TCGA-NH-A8F7-01A,Comp_2
14.570833,2.1606975,TCGA-NH-A50U-01A,Comp_2
14.504344,2.2401457,TCGA-QG-A5YX-01A,Comp_2
14.430657,2.288461,TCGA-IC-A6RE-01A,Comp_2
14.429032,2.2299707,TCGA-A6-A56B-01A,Comp_2
14.460231,2.4675417,TCGA-AY-A71X-01A,Comp_2
14.436803,2.5537548,TCGA-NH-A8F8-01A,Comp_2
14.421704,2.5909765,TCGA-AY-A8YK-01A,Comp_2
14.441863,2.6214726,TCGA-AA-A024-01A,Comp_2
14.555599,1.9591292,TCGA-BR-A452-01A,Comp_2
14.502122,2.693358,TCGA-SS-A7HO-01A,Comp_2
14.481985,2.5019925,TCGA-VQ-A8PJ-01A,Comp_2
14.465246,2.8585017,TCGA-AA-A022-01A,Comp_2
14.420565,2.9685025,TCGA-AY-A54L-01A,Comp_2
14.443432,3.0543134,TCGA-A6-A567-01A,Comp_2
14.492992,3.216752,TCGA-L7-A6VZ-01A,Comp_2
14.476677,3.4819534,TCGA-NH-A6GA-01A,Comp_2
14.490226,3.4195354,TCGA-AA-A01R-01A,Comp_2
14.664761,3.6941035,TCGA-4N-A93T-01A,Comp_2
14.633379,3.8683338,TCGA-NH-A5IV-01A,Comp_2
14.583617,3.6690798,TCGA-BR-A4J5-01A,Comp_2
14.493393,3.5564132,TCGA-BR-A4CS-01A,Comp_2
14.512937,3.4663823,TCGA-CD-A48C-01A,Comp_2
14.719818,3.937082,TCGA-3L-AA1B-01A,Comp_2
14.581377,3.8206153,TCGA-A6-A566-01A,Comp_2
14.674769,4.03544,TCGA-BR-A4J9-01A,Comp_2
14.470232,3.6584723,TCGA-M9-A5M8-01A,Comp_2
14.448983,3.839035,TCGA-BR-A4J2-01A,Comp_2
14.813039,4.1551976,TCGA-VQ-A94O-01A,Comp_2
14.787361,3.7379012,TCGA-BR-A4J1-01A,Comp_2
14.879592,4.227901,TCGA-VQ-A91E-01A,Comp_2
14.934322,4.2829704,TCGA-D7-A4YX-01A,Comp_2
14.81958,4.2537622,TCGA-AA-A01P-01A,Comp_2
14.872994,3.7820356,TCGA-L5-A4OE-01A,Comp_2
14.826606,4.3596215,TCGA-BR-A4IY-01A,Comp_2
14.573386,4.024203,TCGA-44-6146-01A,Comp_2
14.729243,4.1887727,TCGA-CD-A486-01A,Comp_2
9.318582,12.4776535,TCGA-UZ-A9PV-01A,Comp_1
9.178972,12.594682,TCGA-P4-A5E6-01A,Comp_1
9.27702,12.523665,TCGA-F9-A7VF-01A,Comp_1
9.294358,12.508943,TCGA-UZ-A9PL-01A,Comp_1
9.353645,12.452467,TCGA-P4-A5EB-01A,Comp_1
9.253617,12.614089,TCGA-HE-A5NI-01A,Comp_1
9.242563,12.574264,TCGA-HE-A5NJ-01A,Comp_1
9.48977,12.3382225,TCGA-B9-A5W9-01A,Comp_1
9.489814,12.349436,TCGA-B9-A8YI-01A,Comp_1
9.519247,12.326018,TCGA-KV-A74V-01A,Comp_1
9.492958,12.35741,TCGA-GL-A9DC-01A,Comp_1
9.601399,12.375488,TCGA-UZ-A9PK-01A,Comp_1
9.5456,12.268904,TCGA-B9-A5W8-01A,Comp_1
9.70212,12.25352,TCGA-HE-A5NK-01A,Comp_1
9.905118,12.098349,TCGA-IA-A40X-01A,Comp_1
9.919298,12.055994,TCGA-UZ-A9PQ-01A,Comp_1
9.514349,12.32571,TCGA-4A-A93X-01A,Comp_1
9.9873085,12.066623,TCGA-HE-A5NH-01A,Comp_1
10.133524,11.989191,TCGA-B1-A47N-01A,Comp_1
10.295964,11.921186,TCGA-IA-A40U-01A,Comp_1
10.269831,11.9297695,TCGA-P4-AAVL-01A,Comp_1
9.984848,12.024728,TCGA-F9-A7Q0-01A,Comp_1
10.335966,11.902453,TCGA-B1-A654-01A,Comp_1
10.491208,11.769955,TCGA-UZ-A9PP-01A,Comp_1
10.502084,11.872895,TCGA-4A-A93Y-01A,Comp_1
10.491376,11.845645,TCGA-UZ-A9PM-01A,Comp_1
10.474458,11.78118,TCGA-Q2-A5QZ-01A,Comp_1
10.620907,11.727389,TCGA-B8-A54E-01A,Comp_1
10.650868,11.587422,TCGA-DV-A4VX-01A,Comp_1
10.632878,11.610045,TCGA-2K-A9WE-01A,Comp_1
10.782379,11.647474,TCGA-F9-A8NY-01A,Comp_1
10.783154,11.691177,TCGA-P4-A5EA-01A,Comp_1
10.694696,11.51433,TCGA-B9-A44B-01A,Comp_1
10.766359,11.65258,TCGA-P4-A5ED-01B,Comp_1
18.42647,8.443146,TCGA-A2-A0EY-01A,Comp_3
