,Comp_0,Comp_1,Comp_2,Comp_3,Comp_4,Comp_7,Comp_8,Comp_12,Comp_6,Comp_5,Comp_13,Comp_20,Comp_15,Comp_23,Comp_10,Comp_22,Comp_17,Comp_9,Comp_18,Comp_19,Comp_11,Comp_21,Comp_16,Comp_14
TCGA-A2-A0T4-01A,0.40736396547877357,1.534740926183103e-14,5.629905275986955e-17,0.24475372581861465,6.500708432478581e-14,4.3773369899608107e-10,3.818410294262256e-19,7.775154332097071e-13,0.07458889684692732,1.9865879889005304e-13,0.27329340555989845,8.869112274402833e-12,2.309521851002173e-10,4.488486569686812e-18,7.477920581177526e-13,1.3743883301227553e-10,1.5124155146525268e-11,8.664311816878593e-16,1.1554906907783367e-13,4.776629649474455e-09,9.41821999577764e-17,2.3236596085452213e-14,1.013426490953978e-14,7.803404912665277e-15
TCGA-LN-A49W-01A,0.3849330660751079,1.0599861166303129e-13,2.834579805612005e-06,0.0014629167723169073,1.6914573146802306e-17,0.038839468150120585,7.234529006806706e-14,0.0004326660930195694,0.20913284581019362,1.2686630792505898e-11,0.12895110321075084,7.017647419849432e-11,0.01102211948844075,5.216671256753182e-07,8.659401401516619e-18,0.12422327765228369,7.285252370221536e-05,3.197459299249331e-17,0.10084241889278216,1.3679324564639573e-14,8.390785953123428e-05,4.661953633567387e-10,3.5092684394120395e-16,4.3846383046646426e-18
TCGA-BH-A0DP-01A,0.3924785145097587,3.1992143114399977e-17,1.6251767806497947e-20,0.33187169550212064,6.605888871340797e-16,3.4140707759307037e-09,2.116832708123927e-20,1.7879964772648525e-17,1.0655033252231378e-13,2.916010946139889e-16,0.2756497733731064,6.957793546217722e-22,1.2511939638274132e-08,7.078992795251169e-20,1.9925303338453763e-16,1.3825369678251528e-18,4.076696165557811e-18,2.253496027460341e-18,3.083791180483917e-17,9.288129294470626e-15,3.864825137123655e-19,3.8488313864110215e-18,6.478546700589291e-18,1.2979490432600514e-19
TCGA-93-A4JO-01A,0.39027838728516684,3.3136483090935136e-21,5.971197522271582e-17,6.699881114436275e-16,2.01922804306169e-21,2.141549303011109e-12,3.2083987027367557e-22,0.29919690651734343,0.31051726520503237,6.397587035485236e-13,5.44875640581e-16,8.80926185114403e-17,7.440172287555583e-06,1.2677516492253836e-16,2.635135625948335e-21,3.3827862794728068e-18,2.081518643574799e-15,4.029883417573871e-21,7.135597596279102e-16,8.829726398912139e-20,1.3176502829997945e-10,2.08594881647184e-17,1.275477897209828e-20,1.4504586835140107e-20
TCGA-A2-A0YG-01A,0.39239147024454835,6.975797568820371e-13,1.022320123653615e-18,0.35042920902683466,9.703824033695066e-13,4.836805124840585e-06,8.418472368036796e-16,3.794853993666688e-15,0.0382155037659131,4.512583802481247e-12,0.21895882645101772,2.673038594108265e-14,1.2879652440946635e-14,9.042644029752908e-19,1.158707164197981e-15,2.9548006640847794e-17,1.2326069794991019e-14,1.973264902056673e-17,1.5178024053065847e-13,1.5300780592180285e-07,1.3572004534658821e-16,9.349964219598467e-14,3.744561865399394e-15,3.394585875842714e-16
TCGA-C8-A8HR-01A,0.3843693385629614,1.4124824735692462e-19,1.4545183499115243e-17,0.21201517785994148,1.0662641279705e-16,5.387220362857569e-09,1.16817614110454e-21,1.409905590786785e-13,0.19546214528734004,4.555645065049942e-15,0.20780496018224767,0.00031231971916510174,3.056780793136552e-05,6.620773650162244e-11,9.745331660220652e-08,5.3541810340061765e-06,2.7989181632137867e-16,2.3972061297614466e-15,4.308458605060799e-17,5.509313553484769e-11,3.2738844784038686e-08,6.998020735091761e-12,5.235996196181026e-18,2.665987888353e-17
TCGA-VQ-A94O-01A,0.3588232325859001,5.203992463560673e-21,0.0023161572003283803,4.441824000850611e-21,9.922124205195154e-23,5.624433242942722e-17,2.104130033745707e-17,1.6076939124367818e-11,0.06496635346415829,6.386741607229389e-22,1.0021260834074908e-23,1.6499257307881174e-17,0.2808244746613261,2.6634619327125423e-21,2.020886236285348e-24,1.1479617103106585e-19,0.29306977995447114,4.2373913647205195e-23,9.017830759638025e-18,5.716995535084077e-23,1.463191857912579e-09,2.1053154209305356e-20,1.090825173473905e-22,1.7383417295090112e-23
TCGA-MP-A4T7-01A,0.36319089229489776,2.9601142468680565e-07,3.0550063151869226e-09,2.5640631261610545e-15,1.9647801201843646e-15,6.4681049130098296e-15,1.3842380784743276e-13,0.2898201991319342,0.07770799041402471,1.0901336730679374e-15,9.704924777601645e-14,2.3396485672552674e-09,0.12761856503651509,1.9092294973969188e-14,1.5370117466643704e-14,0.13112134359285693,8.000156852324828e-05,4.5157261357060484e-14,1.5831791379532777e-15,0.010454249210255237,2.231556936694291e-11,8.115429853363254e-11,6.4565762027371685e-06,2.423624747386787e-14
TCGA-BH-A0HP-01A,0.36771326274009813,1.2332602401302368e-11,2.2414332117732684e-20,0.15724557420989838,9.051846230842324e-12,3.03916740890217e-08,4.369744603839269e-18,8.376353402101981e-13,0.007301063302101456,7.836691598181279e-13,0.36502430700796873,1.5043518837524383e-14,3.3022467514116945e-14,9.428275248827305e-18,1.1602346312210095e-18,3.5855463755047363e-10,1.1581922290199513e-15,9.396482047436087e-13,3.5033338262010736e-14,0.10271576128887765,2.6129507763214685e-19,8.947475293075785e-17,3.404531059042216e-13,1.0898987129391432e-16
TCGA-BR-A4J4-01A,0.36794069475115126,0.037464956467325845,0.04801154078319697,3.2607197901379415e-18,8.607102656957994e-19,2.7789477114028377e-12,4.739658608295689e-08,5.190657946403555e-13,0.2537326275377785,5.780299650200409e-19,3.6240328834702e-22,7.316484482772464e-16,0.006101148230583981,1.5175975877253374e-21,2.737798355215409e-19,9.131001152320888e-18,0.28661803158060034,1.0497897862277243e-16,5.376787341748079e-18,7.264162140318902e-19,0.00013095256993626912,9.752561505057102e-17,1.0119038870679622e-15,7.652992181482751e-19
