component_label,original_component_index,total_activity,color
Comp_0,0,125.87110037199433,#332288
Comp_1,1,38.656968282388135,#88CCEE
Comp_2,2,31.478065925913533,#117733
Comp_3,3,31.23155194800717,#DDCC77
Comp_4,4,26.005643794835503,#CC6677
Comp_7,7,23.46178933193849,#44AA99
Comp_8,8,19.74408799565129,#999933
Comp_12,12,19.54652657388105,#009E73
Comp_6,6,19.450069788364296,#AA4499
Comp_5,5,18.084393088824307,#882255
Comp_13,13,17.675366821356217,#393b79
Comp_20,20,16.139309389786888,#cedb9c
Comp_15,15,15.940578263110645,#6b6ecf
Comp_23,23,15.75772002304732,#e7ba52
Comp_10,10,15.70348254003221,#E69F00
Comp_22,22,15.161416783644547,#bd9e39
Comp_17,17,14.685559508319457,#637939
Comp_9,9,14.548729668517433,#DDDDDD
Comp_18,18,14.537328134046282,#8ca252
Comp_19,19,13.868503735284408,#b5cf6b
Comp_11,11,13.675156226882446,#56B4E9
Comp_21,21,13.033224469119105,#8c6d31
Comp_16,16,12.798959205769481,#9c9ede
Comp_14,14,12.164843565855797,#5254a3
