,Mean_Activity,Median_Activity,Std_Dev,Max_Activity,Min_Activity,Active_Samples
Comp_0,0.2255205137187888,0.2560564482908211,0.11005753028322277,0.40736396547877357,8.199767410878785e-06,339
Comp_1,0.07454102251255466,3.997106388822034e-18,0.19955879684283095,0.764445893786944,1.5654372755868516e-37,51
Comp_3,0.05724292222019753,9.602463852027767e-18,0.16504071848252,0.813422523503302,1.1664095495026566e-39,52
Comp_2,0.05661633326640264,6.251241210744264e-16,0.18717424389754037,0.8339693556782711,1.3491157699120246e-37,40
Comp_4,0.05156282676874509,3.529793228539068e-18,0.20944436273837697,0.9998536453918726,5.213513785246414e-30,24
Comp_7,0.04721157305356839,1.1665931524140231e-15,0.1825270988436396,0.862241987555376,1.0336472142135519e-32,26
Comp_8,0.03592677686532576,3.094184465395974e-18,0.16739964898207957,0.9947539672607761,1.843786063651983e-32,18
Comp_6,0.03487242454367795,7.286366984736479e-16,0.07605723916450526,0.5975451768513896,2.602569912286174e-37,82
Comp_5,0.03457842003336395,5.559411163789305e-17,0.17548450547504552,0.9997145808709484,5.234589757503648e-31,16
Comp_12,0.03437999518463752,2.6369271845083856e-16,0.13566276065893831,0.7742471112587324,8.517256562058905e-41,28
Comp_13,0.030980513125494543,8.648833243348503e-18,0.12774685370812025,0.7744840468526432,5.822631332747848e-36,29
Comp_9,0.027719948329195176,2.3364495457820783e-19,0.1595033522153603,0.9983917877572569,9.313700558960748e-29,12
Comp_15,0.02748779805705342,1.277015490154597e-12,0.10475386416945684,0.7304355747083445,3.0092478831626803e-37,37
Comp_10,0.026883535952378242,1.7517028514898297e-19,0.12253409801576497,0.921056623510761,2.772321004691988e-35,24
Comp_20,0.026717559278202446,2.2872259385140364e-18,0.11353237823548319,0.9917093919742376,1.2161386775058006e-36,27
Comp_23,0.026008852661322867,6.151449167206391e-20,0.12134678437764931,0.8093031666892159,2.9854245123387385e-41,20
Comp_22,0.02588254704401915,8.866838308982002e-19,0.10350136129076573,0.7194016592851056,2.0366556488801322e-50,34
Comp_17,0.025274910676602445,1.6604701943240879e-16,0.10454474257380204,0.6878435623373071,5.9103245079834e-44,27
Comp_18,0.024394985992096895,7.179725129065473e-18,0.11997591313524834,0.7684746859564198,2.09850960451745e-40,21
Comp_19,0.023992647437207415,7.101492487606427e-19,0.11549033984232672,0.8777617355466667,1.6873764368923617e-32,25
Comp_11,0.021351405816221976,2.763150937828154e-16,0.13335543674436176,0.9998708412552078,4.9607908187991435e-30,12
Comp_21,0.02101511110401049,2.3058981774275045e-18,0.11819213545249099,0.9156673366831337,1.3088757596753124e-36,15
Comp_14,0.020248705792988042,1.483218059145703e-18,0.1349954873430873,0.9999917995966041,6.16944803603631e-28,10
Comp_16,0.019588669879364265,2.8458490001707716e-17,0.13227915057920805,0.9952110371670887,9.398665568529481e-28,9
