group,Comp_0,Comp_1,Comp_2,Comp_3,Comp_4,Comp_7,Comp_8,Comp_12,Comp_6,Comp_5,Comp_13,Comp_20,Comp_15,Comp_23,Comp_10,Comp_22,Comp_17,Comp_9,Comp_18,Comp_19,Comp_11,Comp_21,Comp_16,Comp_14
ACC,0.06408676772298272,2.7663949612146863e-15,3.2019183081760137e-22,8.340301295295232e-25,2.6449319539873947e-12,3.1228201827836196e-17,1.0733216362139579e-14,8.219497348208673e-20,0.016126653750248146,3.2401408734572872e-19,1.260088925293455e-19,3.8552698342815204e-18,4.605194007648766e-13,3.136383810835884e-26,8.294071658028104e-18,1.1589696605557392e-17,6.546208031765857e-23,6.942329750361486e-18,1.0578475009713764e-22,1.319844331093103e-14,8.929751883018841e-17,1.5158379496179275e-22,0.9197865779396293,8.656031439242713e-15
BLCA,0.20397203048039697,2.7038677163430623e-12,0.010457058564323428,8.680910860619336e-11,0.003905800982540576,1.1570597683317488e-08,1.3952462156295307e-08,2.4519265420546727e-10,9.005734183760399e-14,2.3318357246367e-12,1.095330441919956e-08,8.608845516362432e-11,6.398464536060671e-05,0.015392471887456691,0.00014752204363812656,2.6610668502199717e-05,0.004003853650826131,5.354173980553804e-07,0.012410338107957893,2.9771555346077683e-12,0.04644799085177871,0.7009782612565164,1.353070657030567e-08,0.002193490401858043
BRCA,0.2933760438823541,2.345039647041603e-11,0.00012515519108002583,0.30170859750871987,1.0669776961353303e-07,0.002002623798916838,1.3957681921214947e-07,0.0009184210744493272,0.04358495846081992,6.564169266531203e-11,0.15768120199445554,0.020426078205009836,0.00788680008912747,9.31874103637811e-09,0.1312868827678667,0.012232203519302223,5.201594147742136e-05,3.57015593878718e-06,0.003671098341461643,0.01464396047936201,2.6294761532808004e-05,0.010264680403676228,3.9757226436916125e-05,6.939983362227817e-05
CESC,0.3162620268616235,2.226500967833035e-20,2.141800638818907e-13,1.5390945557061202e-17,5.828911453695913e-23,7.722975652897912e-14,9.435858877693822e-20,5.817629736176295e-13,0.0585849043445846,3.739931263674352e-17,9.191850019471466e-12,2.6467766206765236e-05,0.06984516693367833,3.491387678169593e-11,4.501011785124344e-15,0.5552814250711785,2.2105077387842652e-10,4.375174404791575e-22,2.434533846698373e-11,4.315421218101321e-12,1.0442896940568005e-16,8.076162254545207e-09,1.1545289474775086e-16,2.187404652717957e-18
CHOL,0.2927470822606354,0.13458930959379647,1.5837803570133128e-08,2.286688722506993e-06,2.5180105321890795e-09,1.1919288664390775e-08,0.20287849913572564,1.310646095026741e-07,0.019460578916919564,2.1511729104537553e-11,0.018004775128702938,3.1643893600730985e-15,3.8511270552164334e-08,5.932586897276814e-16,7.563031161421704e-11,1.291770743909855e-12,0.33230715433583513,5.043275335636494e-10,6.84139796679552e-08,4.996315249062776e-06,4.441558383251302e-10,3.759524047517375e-13,5.0476128831383815e-06,1.7512380693345106e-11
COAD,0.2472406870378449,9.36053494930346e-12,0.654190917056422,0.0003558303703998595,4.2323130474125745e-12,3.8531652937159994e-07,1.9386863632849774e-08,3.970483736948104e-06,0.023057015395626605,5.831713702406095e-12,5.336855822811148e-05,0.002807622688944804,0.03238787080779849,6.05057299003691e-13,1.7154687109242756e-11,0.00220741412044683,0.03438732565387758,7.97190063420712e-14,5.402816934105185e-07,0.0028564890801055826,0.00045054287077886537,1.6582661476575109e-10,2.0056238147253876e-13,1.386719861160723e-14
ESCA,0.2744093928127429,1.3313264090656956e-12,0.048963497723992465,8.127315403850316e-05,5.318651604169667e-15,0.0021577482308785187,2.9554168412443908e-05,2.405586213512655e-05,0.055061310339626336,7.117960882599298e-13,0.0071639987125273,0.10968321439417275,0.03127971502967114,0.11135438083860073,4.653274386887054e-13,0.24390646290811205,0.1067881034946419,7.491584757955927e-12,0.005603215262387662,0.0021918143241970362,0.0013022619974718908,8.938620627660557e-11,6.581129813968229e-14,6.62591070881468e-15
GBM,0.13663148056017616,1.080416976690136e-05,6.956088253448361e-19,3.941863189772272e-21,0.787269740692301,1.5378893437341515e-17,1.2039138841065809e-17,3.9850937160834965e-14,0.03233953021642087,3.923309040353193e-13,1.2797815529223166e-09,0.02973420143031958,0.006866157293352644,3.0411840919486287e-15,2.2982230854087674e-17,1.2667498819387182e-10,2.3717279650564765e-19,0.0007452033986977524,1.6713538781389003e-14,0.006402299958614997,9.402418249802845e-08,2.70774449106804e-19,6.873062210904232e-08,4.173724927847687e-07
HNSC,0.18600721851970084,4.560519343383409e-07,0.00925614188554325,8.395376765855319e-11,1.0679000945248306e-09,1.983065358769568e-07,1.220581129697714e-09,7.225204376095575e-06,0.021611885968956888,2.337133965991506e-08,0.007026352531024426,0.3175858100373984,0.006400334980644087,0.1258547386414937,9.241732806255266e-05,0.1821540822965374,2.856728359004877e-05,6.817418250725003e-07,0.017600206504649482,0.08217274116753145,0.03710846149385562,5.74864204916972e-10,0.007092148029529982,3.0507979191168005e-07
KIRC,0.3378761790505012,0.47766168306950385,0.00018973605840879668,8.280562791975143e-06,1.269190907718321e-05,3.9318797562519715e-05,0.004159655236081983,2.2843701486507896e-06,0.11443589345176161,0.005650538609540713,0.005833171314780852,0.003220191962948835,0.012477376820586368,3.620792306860178e-15,7.747166795342736e-12,0.0017241013019773923,6.921968563250551e-07,1.9299556747171632e-08,0.0031406707184950615,0.03293959803795225,2.5058843069038604e-08,6.512269350142691e-11,0.0001996565027537687,0.0004282348707981296
KIRP,0.30172064808050775,0.6380163300061418,5.521252055930926e-06,3.200273926638396e-07,1.8886699341286102e-05,2.3796823956975913e-12,0.0015466677507989573,0.005942562445827638,0.02011341778620751,0.00044478488449161335,0.0035480984172388415,0.003012436559722892,0.0014363619249924153,7.457103680779318e-11,1.49694930770707e-08,0.008498338188705797,0.0020776811337483857,0.001479599132657064,0.005956637830324195,0.004821704254877405,9.231280755272177e-09,1.4853905253809034e-05,0.0013446618402467064,4.6286269608074346e-07
LGG,0.035781226659524074,5.824273912127363e-06,2.7247597888760087e-26,9.648997900170952e-24,0.9580619089737894,4.2599628572079505e-19,1.556132270761106e-20,2.863344813165849e-17,0.002992902865496865,4.706950148625298e-14,4.19243408621311e-10,4.335925786626468e-08,5.3908060355721125e-12,0.003108977495471587,7.283218746956762e-17,1.2740545455714153e-10,2.5362988227331573e-24,4.905559750374986e-05,2.4705500569722332e-20,5.9407587941994336e-08,2.7121703468786434e-15,1.5672343023713937e-22,4.354335590100848e-11,7.693693949150923e-12
LIHC,0.1129009057548352,7.464358537623416e-07,2.3616919191043467e-08,3.4318117388697896e-15,2.641565540739119e-14,1.7566228265819854e-11,0.8173577109291673,1.3247438185622825e-08,0.0545968172278525,2.3256154994469306e-18,2.2027422363901833e-17,0.014956319906267793,0.00016776168869999338,4.978960816151148e-15,2.331613937961406e-12,1.7178847289082888e-13,6.0122869701226774e-06,1.114845590452545e-16,2.178714487031512e-12,1.169816069747871e-13,1.368818398629768e-05,3.6807317644415666e-12,9.591135370395582e-13,1.7055935483312943e-15
LUAD,0.2975630582506858,1.4197017290818214e-08,0.003855310795633928,0.004225048051370655,1.9623913099491546e-13,7.007792015238522e-05,0.004449607648466185,0.5541442704419167,0.052717428420395805,0.00034585927111056576,5.104529766283396e-10,0.0128039648676848,0.021135184721242456,0.0006534051256872193,0.007579340138737144,0.013801742400480196,0.025551759257787503,5.429924351941338e-13,0.0005520674339109082,0.000497831406909011,2.0128231002603774e-07,1.4712770884199188e-05,3.9114408868482615e-05,6.589622293427054e-12
LUSC,0.2715669493092469,6.545230949769075e-16,9.019951418965181e-13,7.935677941632957e-10,1.0896384099927046e-16,1.9702088897443005e-09,3.4198341702800116e-05,0.059628935216863396,0.10110892506343072,6.72306297560033e-08,4.5257189678145225e-13,0.09106436669880497,0.005147946114245369,0.4226702237268735,3.398119033987882e-12,0.04694506979644307,7.463601131018635e-11,3.348047702482132e-14,1.9275558836942454e-13,7.917979771343591e-08,0.0018332081123191531,2.7725353936038602e-08,1.649810019006017e-13,8.25941122230435e-15
MESO,0.19093393276273835,1.4752270292712696e-13,3.217148087101409e-14,1.1376689922013041e-15,3.3152282356054784e-17,3.8269757955320237e-11,6.078870531130488e-18,0.0426733702301481,0.02730260116043653,0.0026957387757878715,1.068900448555691e-14,0.04050765530601398,2.4804796412949064e-11,9.169394688986505e-15,3.4811140983886295e-18,4.901266415018168e-16,7.11841143886123e-12,9.581679886516284e-20,2.1763794044642006e-14,0.6958867010347448,7.034676041206261e-15,9.891833391772857e-16,3.3502790523859956e-15,6.469645377307806e-13
PCPG,0.036817490910694466,4.706141115772102e-06,4.830123017702183e-05,6.114106303038154e-20,0.006414095550957212,7.311275480914205e-06,4.653757410544358e-12,7.380470910323242e-11,3.2492142610473714e-11,1.888504449593511e-12,2.3116483153152248e-15,0.054724970345864515,1.48863053366518e-10,6.780262305376065e-11,0.05335574810995145,1.1902281773023445e-18,3.933960226190004e-08,4.834518401161941e-13,0.0009902025397605335,5.114043856193344e-09,3.806767140234756e-05,2.5784054069341903e-19,8.175689240947082e-13,0.8475990608045743
PRAD,0.21093977625154417,0.001159155510418887,1.8725583841411074e-07,0.0017104872913044108,5.687440498781188e-07,0.713978798368089,4.1736443628390524e-11,9.897871779494468e-06,0.010722744903546648,0.0022397983752438805,0.0017926417885557571,0.0008692878134509101,0.030242870599877607,0.0001169642533883564,3.814319596902148e-09,0.01160739377606606,0.003406366142468576,9.070872934443297e-14,0.0012435116364243595,6.9436716484536196e-12,1.2786109074631035e-14,0.009098767394113414,0.000433151836578169,0.00042762556078759046
SKCM,0.05511302512282895,2.7308604278935844e-09,4.09057250798315e-22,6.054272669572678e-19,0.0052545838828801225,2.1896275431233069e-13,3.3521016123559176e-11,3.562338654946847e-21,0.010387234804227196,4.964248584069969e-13,4.844596178749815e-09,0.0015346360308775488,6.778006141592591e-10,5.429531075569998e-19,6.374815572337762e-15,1.970005571799831e-21,4.683411958863982e-26,0.8778383516575313,1.617457376711267e-14,0.022734030289132044,2.638079333141665e-12,0.02713791155391831,2.171742395131083e-07,4.721104400948329e-10
STAD,0.28954167851581275,0.001784071211413493,0.04044400931120806,1.5223668923805524e-09,8.077731608203537e-09,6.7849310346200634e-06,0.0014287170305228955,0.00017802879751274144,0.03322621980428001,4.211109138635916e-12,3.584308657226743e-11,0.004468480813085101,0.30188403487405846,0.01250769596925668,0.008348917568361697,0.005764136007369651,0.25272904258199913,2.053095863750896e-11,0.0007525849450010139,0.023505153002973553,8.21948537914655e-05,0.020285820938435235,3.33277749439055e-09,0.003062415199167116
TGCT,0.06615886690105065,9.948842873737084e-11,1.1637304634874897e-16,8.005536974947249e-18,4.087642898799962e-07,8.34052633229663e-12,4.0727712389875065e-19,1.8571329329044105e-15,0.035482322488185974,3.764858035416624e-14,1.8210156234970845e-11,1.2755062756148613e-09,7.614284982742384e-10,1.427065378460215e-17,6.836295567481965e-12,5.596991923744694e-16,1.4405611680617205e-15,2.357574158502003e-11,2.062985235243964e-15,0.08330604989983814,0.8150523454900584,5.851719247270128e-17,2.61831472428986e-09,1.0432947958859985e-09
THCA,0.06007792846320321,1.1628703168800796e-09,5.762957768618842e-19,3.672949430476982e-12,3.790435526003999e-15,1.8586186432457058e-11,2.38022242674074e-19,0.0028448584078602872,1.532814203208435e-06,0.9301551488363605,3.513205361990044e-15,6.953695291522218e-14,0.006920529559789821,2.6979407723715513e-19,5.292054361093573e-13,8.333433957644706e-13,4.134060295389116e-17,1.312318387592005e-19,1.049977644158866e-18,2.3249559450907666e-16,7.331598062149383e-16,2.814703086432311e-17,1.6195960469185018e-12,2.4723531521436103e-15
UCEC,0.2634109433499448,0.006131261707522205,6.753559004311812e-08,2.999631770335737e-07,4.48452871117062e-09,3.1325299265826746e-09,1.2141472513923504e-12,0.00017110021193244255,0.009073938456053508,1.018121486402673e-06,1.8148678939239112e-06,0.04760266857869931,0.013560442851854362,4.857408964318735e-12,6.479976135007557e-14,0.007300745464746312,6.99680913962894e-05,4.923850532183172e-15,0.6442566146924398,0.00841007462149616,8.924027501373506e-06,7.939417750380833e-12,4.27184371135363e-11,1.0914593920486451e-07
