original_index,sample_id
61,TCGA-06-A5U0-01A
296,TCGA-06-A6S1-01A
151,TCGA-06-A7TK-01A
47,TCGA-06-A7TL-01A
68,TCGA-2G-AAFM-01A
193,TCGA-2G-AAFO-01A
366,TCGA-2G-AAGS-01A
307,TCGA-2G-AAH8-01A
155,TCGA-2G-AAKG-05A
176,TCGA-2K-A9WE-01A
101,TCGA-33-A4WN-01A
201,TCGA-37-A5EM-01A
315,TCGA-3C-AALJ-01A
149,TCGA-3L-AA1B-01A
96,TCGA-3U-A98E-01A
16,TCGA-3U-A98I-01A
54,TCGA-3X-AAVA-01A
73,TCGA-3Z-A93Z-01A
360,TCGA-44-3918-01A
22,TCGA-44-6146-01A
328,TCGA-44-A47F-01A
330,TCGA-49-AARO-01A
268,TCGA-4A-A93X-01A
128,TCGA-4A-A93Y-01A
130,TCGA-4B-A93V-01A
255,TCGA-4C-A93U-01A
356,TCGA-4H-AAAK-01A
129,TCGA-4K-AA1I-01A
269,TCGA-4N-A93T-01A
270,TCGA-4W-AA9S-01A
285,TCGA-63-A5MR-01A
355,TCGA-6D-AA2E-01A
263,TCGA-73-A9RS-01A
359,TCGA-76-6656-01A
273,TCGA-77-A5G6-01A
230,TCGA-81-5910-01A
267,TCGA-85-A4CL-01A
272,TCGA-85-A4CN-01A
112,TCGA-85-A4JB-01A
332,TCGA-85-A4QR-01A
254,TCGA-85-A50M-01A
113,TCGA-85-A512-01A
23,TCGA-86-A4D0-01A
122,TCGA-86-A4P7-01A
338,TCGA-86-A4P8-01A
358,TCGA-91-A4BC-01A
357,TCGA-93-A4JN-01A
120,TCGA-93-A4JO-01A
124,TCGA-93-A4JQ-01A
123,TCGA-98-A53A-01A
17,TCGA-98-A53J-01A
203,TCGA-A2-A0CX-01A
114,TCGA-A2-A0ES-01A
256,TCGA-A2-A0ET-01A
127,TCGA-A2-A0EV-01A
262,TCGA-A2-A0EW-01A
121,TCGA-A2-A0EX-01A
31,TCGA-A2-A0EY-01A
126,TCGA-A2-A0SV-01A
202,TCGA-A2-A0SW-01A
9,TCGA-A2-A0SX-01A
304,TCGA-A2-A0T4-01A
329,TCGA-A2-A0T5-01A
125,TCGA-A2-A0T6-01A
331,TCGA-A2-A0T7-01A
341,TCGA-A2-A0YC-01A
109,TCGA-A2-A0YD-01A
89,TCGA-A2-A0YF-01A
312,TCGA-A2-A0YG-01A
90,TCGA-A2-A0YH-01A
311,TCGA-A2-A0YJ-01A
226,TCGA-A2-A0YK-01A
93,TCGA-A2-A0YL-01A
316,TCGA-A2-A0YT-01A
340,TCGA-A2-A4RX-01A
352,TCGA-A6-A565-01A
339,TCGA-A6-A566-01A
110,TCGA-A6-A567-01A
274,TCGA-A6-A56B-01A
317,TCGA-A7-A0CH-01A
92,TCGA-A7-A0D9-01A
78,TCGA-A7-A13E-01A
108,TCGA-A7-A13F-01A
111,TCGA-A8-A06N-01A
77,TCGA-A8-A08J-01A
13,TCGA-A8-A094-01A
86,TCGA-AA-A00J-01A
76,TCGA-AA-A01P-01A
314,TCGA-AA-A01R-01A
313,TCGA-AA-A01S-01A
28,TCGA-AA-A01X-01A
91,TCGA-AA-A022-01A
88,TCGA-AA-A024-01A
75,TCGA-AD-6889-01A
57,TCGA-AO-A03L-01A
51,TCGA-AO-A03N-01B
156,TCGA-AO-A0J5-01A
190,TCGA-AO-A0J8-01A
185,TCGA-AO-A0JG-01A
65,TCGA-AO-A0JM-01A
79,TCGA-AO-A124-01A
59,TCGA-AO-A12D-01A
26,TCGA-AO-A12F-01A
97,TCGA-AP-A051-01A
186,TCGA-AR-A0TP-01A
62,TCGA-AR-A0TV-01A
58,TCGA-AR-A0U0-01A
189,TCGA-AR-A0U4-01A
66,TCGA-AY-A54L-01A
152,TCGA-AY-A69D-01A
192,TCGA-AY-A71X-01A
64,TCGA-AY-A8YK-01A
56,TCGA-B1-A47N-01A
67,TCGA-B1-A654-01A
191,TCGA-B2-A4SR-01A
146,TCGA-B5-A0JN-01A
55,TCGA-B5-A0JT-01A
105,TCGA-B5-A0K9-01A
85,TCGA-B5-A0KB-01A
184,TCGA-B5-A11Y-01A
95,TCGA-B8-A54E-01A
82,TCGA-B8-A54F-01A
69,TCGA-B8-A54G-01A
154,TCGA-B8-A54H-01A
212,TCGA-B8-A54J-01A
367,TCGA-B8-A54K-01A
227,TCGA-B8-A8YJ-01A
335,TCGA-B9-A44B-01A
336,TCGA-B9-A5W8-01A
333,TCGA-B9-A5W9-01A
252,TCGA-B9-A8YI-01A
229,TCGA-BA-A4IH-01A
334,TCGA-BA-A8YP-01A
259,TCGA-BC-A10T-01A
231,TCGA-BC-A10U-01A
228,TCGA-BC-A10W-01A
347,TCGA-BC-A10X-01A
3,TCGA-BC-A3KF-01A
0,TCGA-BC-A5W4-01A
218,TCGA-BC-A8YO-01A
2,TCGA-BG-A0M8-01A
327,TCGA-BG-A0MH-01A
258,TCGA-BG-A0MK-01A
35,TCGA-BG-A0MS-01A
33,TCGA-BG-A0RY-01A
29,TCGA-BH-A0B1-01A
1,TCGA-BH-A0B5-01A
361,TCGA-BH-A0BA-01A
377,TCGA-BH-A0BZ-01A
379,TCGA-BH-A0C1-01A
376,TCGA-BH-A0DL-01A
380,TCGA-BH-A0DP-01A
378,TCGA-BH-A0DV-01A
375,TCGA-BH-A0E0-01A
248,TCGA-BH-A0EE-01A
238,TCGA-BH-A0HP-01A
240,TCGA-BH-A1EV-01A
245,TCGA-BJ-A0Z0-01A
249,TCGA-BJ-A0Z2-01A
241,TCGA-BJ-A0Z3-01A
362,TCGA-BJ-A0Z5-01A
247,TCGA-BJ-A0ZA-01A
244,TCGA-BJ-A0ZC-01A
374,TCGA-BJ-A192-01A
239,TCGA-BJ-A290-01A
251,TCGA-BJ-A3PU-01A
243,TCGA-BK-A0C9-01A
242,TCGA-BK-A13B-01A
250,TCGA-BL-A13J-01A
282,TCGA-BL-A3JM-01A
353,TCGA-BR-A452-01A
133,TCGA-BR-A4CR-01A
260,TCGA-BR-A4CS-01A
219,TCGA-BR-A4IY-01A
134,TCGA-BR-A4J1-01A
137,TCGA-BR-A4J2-01A
221,TCGA-BR-A4J4-01A
139,TCGA-BR-A4J5-01A
195,TCGA-BR-A4J6-01A
135,TCGA-BR-A4J7-01A
194,TCGA-BR-A4J9-01A
138,TCGA-BR-A4QL-01A
220,TCGA-C8-A12K-01A
222,TCGA-C8-A12M-01A
291,TCGA-C8-A12O-01A
290,TCGA-C8-A12Q-01A
136,TCGA-C8-A12T-01A
24,TCGA-C8-A12U-01A
20,TCGA-C8-A12V-01A
308,TCGA-C8-A12Y-01A
305,TCGA-C8-A130-01A
286,TCGA-C8-A133-01A
21,TCGA-C8-A137-01A
46,TCGA-C8-A8HR-01A
43,TCGA-CC-A123-01A
306,TCGA-CC-A7IF-01A
318,TCGA-CD-A486-01A
45,TCGA-CD-A48C-01A
42,TCGA-CE-A13K-01A
18,TCGA-CF-A1HR-01A
44,TCGA-CF-A3MI-01A
32,TCGA-CJ-5671-01A
309,TCGA-CJ-5677-01A
48,TCGA-CJ-5679-01A
289,TCGA-CN-A49B-01A
40,TCGA-CU-A3YL-01A
294,TCGA-CV-A468-01A
53,TCGA-D3-A8GM-06A
30,TCGA-D3-A8GP-06A
280,TCGA-D6-A6EP-01A
225,TCGA-D7-A4YX-01A
224,TCGA-D7-A6EZ-01A
157,TCGA-D8-A13Z-01A
159,TCGA-D9-A1JW-06A
161,TCGA-D9-A6EA-06A
223,TCGA-D9-A6EC-06A
160,TCGA-DA-A95W-06A
158,TCGA-DA-A95Y-06A
198,TCGA-DB-A75K-01A
164,TCGA-DD-AAC8-01A
165,TCGA-DD-AACB-01A
162,TCGA-DD-AACI-01A
163,TCGA-DD-AACL-01A
25,TCGA-DJ-A13M-01A
102,TCGA-DJ-A13V-01A
81,TCGA-DJ-A13X-01A
350,TCGA-DM-A28G-01A
104,TCGA-DU-5870-02A
70,TCGA-DU-6395-02A
100,TCGA-DU-6407-02B
106,TCGA-DV-A4VX-01A
74,TCGA-E1-A7YI-01A
188,TCGA-EA-A3HS-01A
153,TCGA-EA-A3HT-01A
107,TCGA-EB-A24C-01A
60,TCGA-EB-A3XF-01A
71,TCGA-EB-A5KH-06A
72,TCGA-EB-A5SH-06A
182,TCGA-EJ-7218-01B
284,TCGA-EJ-7318-01B
276,TCGA-EJ-A46B-01A
38,TCGA-EJ-A46D-01A
206,TCGA-EJ-A46E-01A
204,TCGA-EJ-A46F-01A
52,TCGA-EJ-A46G-01A
283,TCGA-EJ-A46H-01A
346,TCGA-EJ-A65B-01A
369,TCGA-EJ-A65F-01A
147,TCGA-EJ-A7NG-01A
301,TCGA-EJ-A7NM-01A
116,TCGA-EJ-A8FN-01A
319,TCGA-EJ-A8FP-01A
211,TCGA-F6-A8O3-01A
175,TCGA-F7-A624-01A
364,TCGA-F9-A7Q0-01A
179,TCGA-F9-A7VF-01A
210,TCGA-F9-A8NY-01A
173,TCGA-FD-A3SR-01A
365,TCGA-FG-A4MU-01B
287,TCGA-FG-A4MY-01A
170,TCGA-G3-AAV0-01A
174,TCGA-GD-A3OQ-01A
177,TCGA-GK-A6C7-01A
246,TCGA-GL-A9DC-01A
41,TCGA-GV-A3JW-01A
49,TCGA-H4-A2HO-01C
37,TCGA-H7-A76A-01A
34,TCGA-HE-A5NH-01A
132,TCGA-HE-A5NI-01A
279,TCGA-HE-A5NJ-01A
39,TCGA-HE-A5NK-01A
302,TCGA-HF-A5NB-01A
36,TCGA-IA-A40U-01A
281,TCGA-IA-A40X-01A
50,TCGA-IC-A6RE-01A
10,TCGA-IG-A3YA-01A
275,TCGA-IG-A4P3-01A
171,TCGA-IG-A4QS-01A
183,TCGA-IG-A51D-01A
83,TCGA-IG-A625-01A
187,TCGA-IG-A7DP-01A
145,TCGA-J1-A4AH-01A
148,TCGA-KC-A4BV-01A
12,TCGA-KU-A66S-01A
84,TCGA-KU-A6H7-06A
80,TCGA-KV-A74V-01A
98,TCGA-L4-A4E6-01A
99,TCGA-L5-A4OE-01A
342,TCGA-L7-A6VZ-01A
94,TCGA-L9-A8F4-01A
300,TCGA-LG-A9QC-01A
299,TCGA-LG-A9QD-01A
278,TCGA-LK-A4NW-01A
295,TCGA-LK-A4NY-01A
297,TCGA-LK-A4O6-01A
266,TCGA-LN-A49O-01A
232,TCGA-LN-A49W-01A
233,TCGA-LN-A4A2-01A
11,TCGA-LN-A4A5-01A
253,TCGA-LN-A4MR-01A
150,TCGA-LN-A7HX-01A
298,TCGA-LN-A8HZ-01A
288,TCGA-LN-A9FQ-01A
197,TCGA-M9-A5M8-01A
363,TCGA-MM-A564-01A
303,TCGA-MP-A4SV-01A
271,TCGA-MP-A4T4-01A
180,TCGA-MP-A4T7-01A
172,TCGA-MP-A4TE-01A
196,TCGA-MP-A4TF-01A
277,TCGA-MQ-A4KX-01A
381,TCGA-NH-A50U-01A
87,TCGA-NH-A50V-01B
19,TCGA-NH-A5IV-01A
178,TCGA-NH-A6GA-01A
234,TCGA-NH-A6GC-01A
217,TCGA-NH-A8F7-01A
