UMAP_1,UMAP_2,Sample_ID,Dominant_Component
2.5704355,2.518661,TCGA-A2-A0T4-01A,Comp_0
2.2445405,2.3271816,TCGA-LN-A49W-01A,Comp_0
2.4804566,2.5964725,TCGA-BH-A0DP-01A,Comp_0
1.3605633,0.21715601,TCGA-93-A4JO-01A,Comp_0
2.3277147,2.727716,TCGA-A2-A0YG-01A,Comp_0
2.3421369,2.513292,TCGA-C8-A8HR-01A,Comp_0
8.926778,7.378322,TCGA-VQ-A94O-01A,Comp_0
1.0958858,0.06304046,TCGA-MP-A4T7-01A,Comp_0
2.7002978,2.3883758,TCGA-BH-A0HP-01A,Comp_0
8.79433,6.849381,TCGA-BR-A4J4-01A,Comp_0
2.062982,2.7146811,TCGA-AO-A12D-01A,Comp_0
14.888834,9.903887,TCGA-CJ-5671-01A,Comp_0
13.131125,6.3326726,TCGA-NH-A6GC-01A,Comp_0
2.1779044,2.56885,TCGA-BH-A0C1-01A,Comp_0
2.4583473,3.1200976,TCGA-AO-A0J5-01A,Comp_0
8.776218,6.828796,TCGA-3X-AAVA-01A,Comp_0
3.5927777,3.481938,TCGA-A2-A0EV-01A,Comp_0
2.0868745,3.1411684,TCGA-A2-A0YT-01A,Comp_0
14.273437,13.124434,TCGA-UZ-A9PV-01A,Comp_1
14.213078,13.154394,TCGA-4A-A93X-01A,Comp_1
14.316755,13.168627,TCGA-P4-A5E6-01A,Comp_1
14.339445,13.084397,TCGA-P4-A5EB-01A,Comp_1
14.210585,13.108304,TCGA-HE-A5NI-01A,Comp_1
14.3302765,12.993701,TCGA-B9-A5W8-01A,Comp_1
14.222559,12.913582,TCGA-B9-A8YI-01A,Comp_1
14.191987,13.020023,TCGA-F9-A7VF-01A,Comp_1
14.290412,12.909491,TCGA-UZ-A9PL-01A,Comp_1
14.26438,12.907655,TCGA-B9-A5W9-01A,Comp_1
14.368571,12.74144,TCGA-HE-A5NJ-01A,Comp_1
14.427483,12.648242,TCGA-HE-A5NK-01A,Comp_1
14.4467125,12.591856,TCGA-KV-A74V-01A,Comp_1
14.585936,12.376007,TCGA-UZ-A9PK-01A,Comp_1
14.536684,12.384143,TCGA-GL-A9DC-01A,Comp_1
14.624395,12.396879,TCGA-UZ-A9PQ-01A,Comp_1
14.610917,12.16418,TCGA-IA-A40X-01A,Comp_1
14.638046,11.972278,TCGA-DV-A4VX-01A,Comp_1
14.690092,11.83218,TCGA-HE-A5NH-01A,Comp_1
14.614406,11.813465,TCGA-IA-A40U-01A,Comp_1
14.66937,11.726998,TCGA-B1-A47N-01A,Comp_1
14.682526,11.695303,TCGA-P4-AAVL-01A,Comp_1
14.577329,12.252701,TCGA-F9-A7Q0-01A,Comp_1
14.700924,11.656035,TCGA-B1-A654-01A,Comp_1
14.714763,11.576748,TCGA-4A-A93Y-01A,Comp_1
14.759548,11.002849,TCGA-B8-A54G-01A,Comp_1
14.744148,11.016958,TCGA-Q2-A5QZ-01A,Comp_1
14.809235,10.6697645,TCGA-UZ-A9PP-01A,Comp_1
14.805651,10.763368,TCGA-UZ-A9PM-01A,Comp_1
14.776955,10.927422,TCGA-B8-A54E-01A,Comp_1
14.859731,10.368036,TCGA-B8-A54J-01A,Comp_1
14.882085,10.335223,TCGA-B8-A54H-01A,Comp_1
14.885013,10.175122,TCGA-3Z-A93Z-01A,Comp_1
14.956028,10.2951145,TCGA-CJ-5679-01A,Comp_1
14.820254,10.211978,TCGA-B2-A4SR-01A,Comp_1
14.982513,10.291688,TCGA-F9-A8NY-01A,Comp_1
