investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9
ACCx,0.008140624587018272,0.002200806367886708,0.0009712505915831041,0.11346792624461496,0.06500391050352201,0.08141211066973675,0.031464215248920326,0.0648013405133667,0.0487493493937248,0.2350331776583652
BLCA,0.2172083868545834,0.0007725020614386881,0.029227572841357234,0.010130651951969495,0.0061823081372232285,0.0096766353750296,0.019868285571177487,0.12025521040535128,0.5169491291197377,0.014897330878810488
BRCA,1.082163893173845,0.0023292715920926856,0.0016783051975462597,0.008624874050821274,0.01112448093048987,0.0137934742628078,0.009428580618504477,0.05337748352599334,0.08142293212497728,0.04659981789205929
CESC,0.02514797563650752,0.005838040181391854,0.004682788406963941,0.0,0.0,0.0,0.00011424401798449756,0.001985031765418729,0.6858738363689486,0.0
CHOL,0.10959678163117645,0.004447229086952805,0.040833830293439295,0.08134944063632155,0.1196760844997293,0.0032609824989721274,0.0030686722037424107,0.03053523950826121,0.1076380461774695,0.017250529042387684
COAD,0.009865509138326919,0.0012575762815775667,0.1430205321401453,0.0032587429513173585,0.00522774077530614,0.0036309235713542676,0.0014941451115915935,0.03318139803860861,0.016004745480412266,0.007086974820140913
ESCA,0.014721181387017909,0.004163633876073767,0.029780414953531786,0.005545071478597874,0.012853918387773952,0.007097946909080501,0.0025941304203963506,0.02000932902164884,0.543890399241557,0.011548046121060428
GBMx,0.0,0.0017670339757356332,0.00015264147375075918,0.001552299612509164,0.019847472318729617,0.29935570410103707,0.0052301314184817265,0.0035494206833034756,0.027319798429097264,0.05276583140673386
HNSC,0.01783856705579982,0.005588513995428016,0.00368768202467679,0.0009604221221838874,0.010948537126566142,0.019054929024422945,0.004247094964362836,0.03436594904319004,0.5115249836280361,0.04508671793057165
KIRC,0.014385619378269427,0.0045918435410422665,0.0004652180369946977,0.04300285219359222,0.4297684104735355,0.009660114141460913,0.008061732699112732,0.02432249811251778,0.002691811221256987,0.017102339205263727
KIRP,0.006084855789737503,0.0008987501504292524,0.001707103081954269,0.01344393678872862,0.6039387215700697,0.005925644561333912,0.009447477902077072,0.004447600789684376,0.0374784903974451,0.01250820222189214
LGGx,0.0,0.00018780240069831696,0.0,0.0,0.004171836035235472,0.34908120928809694,0.0006280239395035943,0.0004285401103908524,0.005507207532941863,0.016403381606282814
LIHC,0.009098425614787804,0.0017567531958684313,0.0038289298946369518,0.45766544858352015,0.007666575100336537,0.002130601066961855,0.00012003331388916388,0.014270549888803177,0.006681693843770117,0.007242709009564507
LUAD,0.21851258525575698,0.005763498495168912,0.025569191541227755,0.017444431834306575,0.004709811105121662,6.5633083708539955e-6,0.13989732707827188,0.016382700878479314,0.1774240397997038,0.002015540286943545
LUSC,0.012060805463965905,0.004912475727564916,0.0015450891709098708,0.002478150078412461,0.0004602946910360901,0.010172894038500852,0.03013165513890982,0.040634522431693236,0.649196242654009,0.014445899513959113
MESO,0.01009559828084756,0.005732314077216886,0.0013880588562302342,0.03196385554561334,0.09859918810329095,0.03295301101990827,0.06475497977681317,0.016666445507162852,0.1323773109049253,0.15377751739245968
PCPG,0.04444225620967855,0.0022743297196284556,0.0034418859183784245,0.02638716490876615,0.016262658208606198,0.18715562241492056,0.01080309064635858,0.13336077217258774,0.018864523607124237,0.0540144777762651
PRAD,0.05479049898873844,0.0009081954948170616,0.0032958033534077305,0.006828707536304991,0.0036164398176236462,0.003917047203065281,0.008780497628048096,1.237307661322467,0.05058209148039817,0.0030054597495542063
SKCM,0.012292129495937349,0.0015309335964269746,0.0,0.004734876047698114,0.004649495381957681,0.012664896277870711,0.0031544060523255885,0.009916840445213479,0.013107810452598612,1.039661258623315
STAD,0.0492114637266803,0.00453265029489527,0.08280533966004366,0.031565295152131086,0.012617412498378736,0.005334353991364594,0.004612629934251043,0.0647890003986543,0.0640028300246664,0.017790799624814706
TGCT,0.004670358636229707,0.010223517584516336,0.0031317356174962677,0.004464896165445316,0.009012497591478562,0.055900824412245406,0.002909335562822489,0.020149895358944663,0.04441022309219655,0.10442439022288068
THCA,0.007798927035183185,0.00038436275775710524,0.00031495573307307637,0.0006779505424216548,0.006080822584710386,0.012562369669725635,0.6574985517257828,0.018912365817582388,0.00589538006831237,0.00464208683019772
UCEC,0.3367683167872897,0.0012491667845259248,0.023580124422774688,0.01350667734290013,0.06900985775920208,0.01898773707836858,0.07049263222528582,0.16061514270702115,0.2042616095583079,0.029605767369851398
