investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10
ACCx,0.00796837945339934,0.021112741742510554,0.0013358001222543421,0.03305094483496952,0.02860832376484418,0.0017269619596614043,0.009073390117996284,0.009308931435469035,0.01967654652190455,0.7374589580755587,0.05424857240559322
BLCA,0.18359222976607914,0.014213711748869115,0.029845060546933005,0.005238328487987408,0.0035493083886642385,0.0032185996793021713,0.013924990586267134,0.07522444674964754,0.37899138504451346,0.0500476477724669,0.02012186928863769
BRCA,0.9012223059817751,0.0513278897938745,0.001716348582218124,0.005168913931156942,0.0068462800983599,0.00908270033882429,0.006431582075108092,0.03588993106366209,0.058067200971866,0.029685220226436944,0.08699180266481205
CESC,0.02131543313906763,0.13877867792829232,0.004754942505991974,0.00012852422795602822,0.0,0.00009778999117059731,0.0,0.0011971731968082528,0.49400336242835363,0.0,0.0
CHOL,0.08983189946051183,0.09658988927755825,0.04173139473783525,0.05609915599875308,0.07691012136486801,0.0023288593272857406,0.0020988681223496086,0.019339418857159056,0.0758637925241807,0.037168189309137005,0.024633210234900595
COAD,0.008228055604733529,0.027189134105978546,0.14538248550178132,0.00229140905405675,0.003248192450049279,0.0021870762312625673,0.0010553271231946342,0.022221352350304424,0.011286729861118137,0.007650860295345836,0.012657911943860909
ESCA,0.0124689926735831,0.09354542183263378,0.030320448789453176,0.003625630595294021,0.008488217767627116,0.0033323286920273996,0.0017641237361519606,0.013296071485523718,0.39629910928225376,0.021984921761839117,0.020093783153559346
GBMx,0.0,0.042812240844151576,0.00020831229452047853,0.0017468599592904074,0.014457743121942571,0.21385753935659596,0.004317175009170871,0.004575050330754068,0.02044225043590818,0.026914772100953086,0.10607277981113915
HNSC,0.01452337532472829,0.1233532234775389,0.0036727688185158908,0.0,0.0063037386907270595,0.008832135875618532,0.0029329151320689976,0.02168552762950508,0.37235937060411867,0.0553460006502862,0.06941322414051221
KIRC,0.010747177978089887,0.10188988559583328,0.0005015505759646399,0.031084481801602334,0.280649785227125,0.007686263965782581,0.0054363538464278355,0.017819155822834436,0.0016768835211742371,0.015858289403625096,0.02959532074184914
KIRP,0.004556602603574165,0.019311915377297897,0.0017339206314513544,0.008887264393857255,0.395345867168885,0.002011086888318682,0.006554424185199584,0.0022398115336183843,0.026858934245611872,0.030480274129276813,0.016499586406098027
LGGx,0.0,0.005506884952662377,0.0001156614996451749,0.00003784885536864124,0.0030600411543354185,0.25476335096343966,0.0006213444446026445,0.002548135009457646,0.0058471032990963364,0.009367025245543613,0.04127113667133754
LIHC,0.008971138904473177,0.03891232680221215,0.003879102354469438,0.32428299972991775,0.00522036086534135,0.001909572965738777,0.0001642900444098873,0.010293230068644417,0.005219400093216107,0.01042962570861571,0.018752313713820534
LUAD,0.18302980596985782,0.1352771552311421,0.025942226627809574,0.012414997421912443,0.002959516172072693,0.0,0.09617351386527596,0.011826738998029997,0.1216801420418454,0.006727623227057413,0.0004121485881729179
LUSC,0.009702517943413477,0.10937288039466599,0.0016036254201931832,0.0018020002737008792,0.00015005782281568689,0.004469153736838115,0.02066819360140399,0.027934772442358455,0.47641329435065005,0.027598567790461354,0.025869504466821677
MESO,0.007690891382990741,0.12174901705036612,0.0013716771299288142,0.014948613608682859,0.061815633480028755,0.009087416682689703,0.0417941810434727,0.009022769506764675,0.08930546789577487,0.1789501398732574,0.201140583387765
PCPG,0.011747677083959556,0.01639966170746645,0.00175637909183621,0.00038786917121670715,0.0014458436915520535,0.014009716390647933,0.0006900904970237889,0.019158234073489624,0.0031307750007307355,0.8737434706315184,0.0003880649326904234
PRAD,0.04441891507764235,0.02208191179741217,0.0033135096731139427,0.004355265375299105,0.002200893501411387,0.0018283683057885784,0.005920020236028514,0.8489348679807699,0.0353336073457265,0.014512419063527435,0.0025311501995537783
SKCM,0.010020771629454613,0.034835284758013424,0.00002367352042711742,0.004217951774536528,0.0034605947094909777,0.008677852283705398,0.0020098561180182353,0.007009818475349524,0.010355835597305248,0.021828236327664938,1.9642321707984247
STAD,0.040332701933150486,0.09887864526782998,0.08427792177201686,0.021889355006691424,0.008038074993481326,0.0025075843036687488,0.002961633764149795,0.04450412626240342,0.044936648011045015,0.027069217156363616,0.027543462837472776
TGCT,0.003101480656556069,0.18681126289432626,0.0026516457754348645,0.00028612537823913004,0.0032621477719444393,0.012125506804195869,0.001160087878142939,0.004491525473932241,0.03445321519311059,0.32109949671602234,0.10932032846249123
THCA,0.006618535777299694,0.008425682103210546,0.0003335171279132218,0.00026640402821868464,0.003835914479563075,0.006091718602951982,0.4611141893323642,0.011155546283562268,0.004214026683003251,0.02090954150050434,0.007949240473267727
UCEC,0.277082302313883,0.02813168187059138,0.023796646047178658,0.009866606057909346,0.04452129002990547,0.01312079118384418,0.04980744085299483,0.11130226865840952,0.14972581462614915,0.015496841415466952,0.05954563939302902
