investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11
ACCx,0.00740234911094163,0.0029838366904560067,0.010643443562736778,0.027723859209037482,0.015351984224669185,0.0012313549455243386,0.0034058288382525486,0.008791489637296153,0.006086442560281995,0.5856875355097881,0.05774573762125687,0.0587108132050351
BLCA,0.13399432544937925,0.005488576784406572,0.04353373128372067,0.0037202813998627863,0.001328537795834437,0.020318216731729583,0.0014836489417359559,0.06636599835468729,0.2946286004615025,0.03740803431155601,0.01999072713530977,0.02459789394768068
BRCA,0.835731107605998,0.01186688566899422,0.005121085884382878,0.004963038602359251,0.004406482526213701,0.0013175970940169967,0.006705515670694589,0.026709414696826677,0.05294280855799034,0.017915698080843475,0.07588387727835609,0.14562520716578478
CESC,0.017263392207167244,0.0,0.02812246076813594,0.0,0.0,0.0038582555252112587,0.00003191420653475628,0.0,0.4270168396861367,0.0,0.0,0.32187468789181295
CHOL,0.0604600874057829,0.004818482942399098,0.045194094576171004,0.05055857762502227,0.046598668657933696,0.029993924910772452,0.0,0.01466909032286542,0.03899387948301429,0.027594166571136957,0.029242032656112176,0.21396922522200673
COAD,0.0092457301293741,0.00247459456273368,0.004096990200539699,0.0022050551810168044,0.0020845872131818825,0.12055119748662833,0.001475993265252569,0.017349880040612786,0.009707525251800948,0.0025389737203305607,0.010948431507108418,0.07714548569228802
ESCA,0.010366981060913306,0.0029209319577603744,0.015390273378337264,0.003624325285618814,0.005333558706816617,0.023748279319900225,0.0009230859622632897,0.010105983653388762,0.3496985916742077,0.009944346191417017,0.01394317662514642,0.2522140581594836
GBMx,0.0,0.3344949732919149,0.004500882587748154,0.0017793049041862773,0.01005366370257452,0.00026409055170990983,0.003739388795251109,0.004125908354491992,0.017458771917246388,0.018474335761489658,0.10563185711260899,0.11154910006612627
HNSC,0.014463528656949677,0.012280141826532538,0.01041707590262755,0.0,0.00389263688117337,0.003230354412448619,0.0040108615337177515,0.015622826932990795,0.33567322962284213,0.029811718747764178,0.0621561101931191,0.3370382961876472
KIRC,0.01319180880533664,0.008371239652214927,0.0034128903024558082,0.02915637255230394,0.18231390908828768,0.0004880109467311582,0.0059173574919002955,0.012566897613804202,0.0011724610424794389,0.00996349919594715,0.02500891618763531,0.2865525241474654
KIRP,0.0015284259290788168,0.0036173455456219427,0.008036117021106143,0.008374454837774296,0.2551080175263964,0.001116815454138023,0.003949551202544756,0.0021303254832883553,0.0160642273113922,0.023711653084789085,0.017395223303026126,0.044053685472980095
LGGx,0.0,0.40052947268159705,0.0010951567966414383,3.29027002880494e-6,0.0020024187093048646,0.00010812190251152892,0.0005923440326676661,0.002231510581208234,0.005055236149745807,0.006073761918815291,0.04304592124001615,0.015120910053669475
LIHC,0.0064796814791009474,0.0028883350872394454,0.004217192949069884,0.3002258826321265,0.0031206587531811235,0.0028209541137032314,0.00030399487440602066,0.008176331878460159,0.00267381587925108,0.0056329688219486865,0.017907912073070437,0.1110950994501726
LUAD,0.04856390667148714,0.0014667391235482356,0.1753473995864893,0.007985545043332794,0.0011556347274710784,0.005836015130970287,0.00952764432699693,0.02158655531687927,0.016989911442326772,0.011844597824603186,0.013087971815146563,0.17530809130527264
LUSC,0.005896632633938648,0.0049934332574968435,0.026848958953140184,0.0009919253516010912,0.0004474288578632027,0.0006321245126278572,0.007117648116376109,0.019395987491766443,0.4278157609056152,0.012113703245453071,0.019450972870457398,0.266985351878279
MESO,0.0,0.011720484864160604,0.0323483331777653,0.012706286575709103,0.03885249492022779,0.0,0.02507209252203208,0.005654438514610977,0.07578680865928773,0.13560152670573636,0.1911309014750535,0.2884511762606161
PCPG,0.013332348214293578,0.02524236879361362,0.0,0.0003997064562166143,0.0007832203213720624,0.0014844588832685025,0.0008548140354080545,0.015765638071679074,0.0032088409247558016,0.6747725348954141,0.0,0.056371024561421706
PRAD,0.039978714070933494,0.00253777487018903,0.00539187064139482,0.0039982689057368025,0.0013749346621227583,0.002323770451483816,0.003889669760693486,0.690464151618352,0.02982524887709278,0.009312487228200255,0.0036081104984582654,0.058852054344120476
SKCM,0.01021813257740111,0.012615635592928998,0.0011547552023053978,0.0038313456723942,0.002223671179912786,0.000015238347196549623,0.002832244579130218,0.0053858396811476295,0.009063953092862034,0.012017844943103343,1.918342472600402,0.11574811584676717
STAD,0.02479672967930596,0.0030946482658612837,0.03879071014266591,0.01890808802657259,0.004329932209534844,0.06504343658638564,0.0005846774754172058,0.03523094251579647,0.020188056044294165,0.014295512503127075,0.029120414439999593,0.23386683436650346
TGCT,0.00513648643015013,0.020858343730129465,0.0,0.0006239119589124572,0.0025397219880042695,0.0034786478058220446,0.004957488777045071,0.0035440836365941072,0.031108208557192613,0.1326104008233235,0.07737235429936312,0.6697190693125619
THCA,0.006497466857941271,0.004049175631841927,0.010155595450387784,0.001853953194789559,0.0021062755936915307,0.00018751024170461102,0.35194748410433,0.012033068826698957,0.0014081527618688779,0.006921153748691881,0.004819775318365383,0.02359847200243017
UCEC,0.22298909552272833,0.022110820032691478,0.03881984330387112,0.008297627203226911,0.02820146874949236,0.015588158441817757,0.024386220529035475,0.09821535093359716,0.10354283370590309,0.007311432723185902,0.058189598376406436,0.06560271765266472
