investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12
ACCx,0.004828277434175073,0.0033244484330023217,0.004334962052175831,0.011449322590198966,0.01297907752974644,0.00006351446281311559,0.0013280520699665245,0.005833796804711047,0.004466827752808528,0.017392021904988494,0.13571419128818818,0.7145991545453313,0.10212748800249201
BLCA,0.11390703527259156,0.006182894182108306,0.05468169951033576,0.0007988896413211891,0.0036080694476521525,0.001664744303056738,0.003208134041550055,0.036672954631252655,0.18806554090982255,0.0060742028892135265,0.012338176199130463,0.03499678566371312,0.1430701116704386
BRCA,0.706026502282832,0.012913611203710162,0.003575487510968931,0.003228086889019117,0.03374092705641301,0.00048168065816031445,0.002975566154844985,0.018631601566511044,0.03433163353747088,0.02164317828845491,0.023626414440201804,0.02177856557443365,0.050269620996590575
CESC,0.008383597274554181,0.0,0.013112246897498904,0.0,0.07386977617727955,0.00021886423005366694,0.0,0.0,0.2751681204819162,0.0,0.0,0.0,0.2448088702729642
CHOL,0.03911425162122638,0.007335341832465175,0.07436438560774553,0.034918572951049484,0.03724902180481625,0.0010372510826329874,0.0003643322054805745,0.00416700359056884,0.0229424931650807,0.008928339344408261,0.2400019071455163,0.02742979379227372,0.220023859893172
COAD,0.007561840841894344,0.001997319526180839,0.02134467446819132,0.0015929318527528927,0.018096996754611284,0.06934286403348604,0.00024674668396340246,0.012695777462189623,0.0065476543940372325,0.0027976454814523256,0.013072611370148528,0.0035891043513109535,0.04563936925288703
ESCA,0.008514426663870022,0.003129263887678623,0.029551476856317562,0.0036097235366534877,0.0569568589903007,0.006984722731793853,0.00041098893478367775,0.007182813854213579,0.2247308455763711,0.0038264184880264754,0.013914274759125132,0.012389025328172272,0.08011612198655473
GBMx,0.0,0.37111212769997,0.0012815802008771743,0.007223763982465066,0.025965332331590176,0.0,0.001798934943216674,0.002929285640090842,0.010464193758890662,0.030564942899733563,0.009002242987472833,0.022288777144002597,0.05792132894878305
HNSC,0.012868232589714153,0.013358723808290266,0.005313389735475452,0.0027340304606933343,0.07844258348252363,0.001526999044083772,0.001782916074953348,0.011410407567953973,0.216974379044006,0.018272945006200768,0.0,0.03583387140509448,0.09503661146111936
KIRC,0.010727284788057883,0.009091923315407367,0.00204156570272228,0.1381515703463031,0.06642806978420375,0.000042436527532900546,0.002783821173265295,0.009548667733753497,0.0004725041816851281,0.007048858018773132,0.1458610924471916,0.01242449528071701,0.03919027840617812
KIRP,0.0011974533340615519,0.003994961592960231,0.002548974157463428,0.19380465055063315,0.01014399911235781,0.00035496518342102354,0.0018935440928785116,0.0014959414960337009,0.010730561028754988,0.005081979177142101,0.040662864978733636,0.028531983843751378,0.06660059217967278
LGGx,0.0,0.44513666932244544,0.00041513323336363244,0.0014747279888043532,0.0031511634903160896,0.0000821633979129496,0.0002394011471645876,0.0012714830956474417,0.0032033466657223108,0.012603897293094395,0.00008623949439097433,0.007693987901437966,0.014834225047260844
