investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
ACCx,0.0035768084942158843,0.01232735188749582,0.003299521103523169,0.014072917135274048,0.004871611283266765,0.00006730210017037703,0.0020510900785575786,0.004148368910996985,0.0045973229327086204,0.0030880410419301414,0.08179351412198418,0.39838092637703576,0.012484256621931844,0.04314859031084663
BLCA,0.09591235355092258,0.002321689316339933,0.040497487425249765,0.0005697850601943324,0.012444454917345176,0.0013291506629288345,0.0069616200597967665,0.024874069784543658,0.15875430155852577,0.005639619161257893,0.00845201750284517,0.01104112684749472,0.020344824262282672,0.014665917024818101
BRCA,0.5765283630934639,0.0025907844325178033,0.0032405396738868176,0.026338921440897826,0.007765702475910382,0.0003393157395119686,0.0017518658469705213,0.013741568070244918,0.02527772154950668,0.004868477930181925,0.013518240632081954,0.011024046279524477,0.04231401816227214,0.061734327854373265
CESC,0.0057741534735462055,0.0,0.0115481916363828,0.06635182168073564,0.001859809256413169,0.000588425908466689,0.004696140959676319,0.0,0.22083945557525864,0.0,0.0,0.0,0.0,0.0
CHOL,0.03117269485133794,0.04650498569244295,0.06194859210004403,0.0229641042122531,0.00938000533378997,0.0008822642963676165,0.008482898928388502,0.002615460232726063,0.01840644537051717,0.0006610813375196635,0.15024288456376117,0.013779529123147605,0.024623913807811974,0.02658747690898656
COAD,0.00604189403905837,0.0017675616346108103,0.018639899968309132,0.009931234550714247,0.005654625437959178,0.05591254282801969,0.001436879116514214,0.009081813590145609,0.0054815253779926165,0.0003917590060345,0.00832360638366738,0.0015166642898304754,0.006361332673576631,0.007391050597468093
ESCA,0.007314479065896147,0.003425657319062617,0.02455715487144435,0.03939737210723389,0.01008636216717012,0.005805626910275515,0.0019263724039544087,0.005062976940437058,0.1843272915693535,0.00046592344926249144,0.008745924510133072,0.00637838381017642,0.012210473081536182,0.01298638865180971
GBMx,0.0,0.006814682147958663,0.0010868657349916043,0.026827792595448954,0.0035806028893501096,0.0,0.0002582903635879091,0.001526076453318399,0.006730147138879219,0.0033586943350766276,0.0044252318004671986,0.012555038461796827,1.3311955190831521,0.08890171508467286
HNSC,0.009322651036928135,0.002995450377146288,0.006110252187626268,0.049428821727068147,0.021514879897065776,0.0009266025303333778,0.0020977893260988264,0.007342130688220406,0.17516651193458582,0.002915380158313345,0.0,0.016055447341988258,0.045049754077664705,0.05685827934926205
KIRC,0.005416652138929556,0.17617453247090537,0.002595319302626596,0.05876824220076013,0.0012745245388267488,0.00005668638148595754,0.0001589336102756309,0.0074797992529424305,0.00019197722436630906,0.004788851013262325,0.0859002408674412,0.009651822143495973,0.028329930975085023,0.019050288987230504
KIRP,0.0008196616131493124,0.26267488158425073,0.0020766910130972337,0.00918712485681068,0.0022752845818703143,0.0001986802303999015,0.0025122669302770234,0.000887640799086156,0.009068724263825528,0.003532836674708101,0.025800800944337565,0.013837632281116308,0.015067256011962737,0.01715889386368565
LGGx,0.0,0.001165378814166903,0.00047042437831533695,0.004753968209034409,0.0009066185097004245,0.00005390846769171476,8.643920404061445e-7,0.0008181141438788081,0.002214107324050297,0.0007211464068016846,0.00028991307493444785,0.003362484037129614,1.616870377401401,0.04153916097420095
LIHC,0.003932380096320434,0.003238216719897244,0.004970922464433709,0.01735386943774749,0.006899805999495453,0.00021152267153309225,0.00122046682367187,0.0031347481180266073,0.0007710198509502418,0.00020033226909722267,0.9223967670087426,0.0018682894744339314,0.010936011950988658,0.015596775740985972
LUAD,0.028227963785731433,0.0010050725660792506,0.012172498373788908,0.02741485328752439,0.009222303732496743,0.0010498914623418487,0.0687384609824196,0.008296988790016497,0.010625209091766907,0.004956070849998108,0.02369171286157995,0.006820151673079591,0.001606491259476193,0.007924134406518719
LUSC,0.003357799704051536,0.00025822524615428397,0.0030994134318082706,0.035884198726969546,0.020349422670144928,0.00003118023175378967,0.010547724114795536,0.00883096698561606,0.2292425146799507,0.004097408560458804,0.0035451379859615245,0.005396059731980656,0.02116977746335853,0.018347108136358127
MESO,0.0,0.030830386679846687,0.0017216514779583442,0.06760034668578349,0.0052205826660053235,0.00008219665275753731,0.00849929941425375,0.004341461839443717,0.033294957593854944,0.021709518006978318,0.034061060982628726,0.09612256026564957,0.030717094219052807,0.13327247430135078
PCPG,0.008082700348860406,0.0011001494744302715,0.00012788630329101883,0.004747806207948665,0.010210085812929152,0.0005558717787025389,0.0004044581051190163,0.008721249810747607,0.0020384528484649225,0.00046202519565056923,0.0014088266685559267,0.45180557066533683,0.11242050972798127,0.0
PRAD,0.02480070532345045,0.0008403981344726735,0.005171463293424682,0.011818767328266682,0.001440882891399995,0.0004075053483375002,0.000944729719405926,0.3600441167196318,0.014289716510454568,0.003365895673496067,0.013374752952475748,0.005471369405796979,0.011352460203318844,0.002430472921535621
SKCM,0.0067982747248467815,0.0008025343643248489,0.0013533840947655821,0.01768833553928369,0.006640330024820033,0.000017492117484601903,0.00015685220294820037,0.002391346082017419,0.004330078981913444,0.001742830750401068,0.010885082016593486,0.007955441325899358,0.04819614401460003,1.8897077212189937
STAD,0.008569290484285204,0.003127191169732772,0.09858771321099838,0.018553548534632248,0.011939007264307326,0.006842809755574745,0.0036080864874257893,0.012150660280729721,0.007822332335622925,0.0012443248591924507,0.04200176516584399,0.006591733939279078,0.016259829387760955,0.024941960997352738
TGCT,0.0027663909596287142,0.004155315300001336,0.0,0.01660036622310448,0.18346779314711226,6.816028039468484e-6,0.00009992770143908452,0.0014600499275748363,0.007685655456308387,0.0028104815402463174,0.0,0.008143931838582958,0.05205759592362147,0.019468495031040516
THCA,0.0040544803717006955,0.0020042492698537596,0.0013695508318611108,0.0034840181685258397,0.002222250645661702,0.00005020096895115184,0.003416615730470355,0.006292958760932642,0.0009646610978705077,0.32680104893547696,0.006439973110034714,0.0032092416601166365,0.01848964818575271,0.004116873063275848
UCEC,0.1510927717420754,0.029851198691101956,0.012690488041562496,0.009799573571487917,0.009089719462231003,0.004462408457857775,0.015267030392399732,0.04703777799998228,0.054069010731760896,0.019805888994407286,0.023636923600718708,0.0030709255944913914,0.0875664243523146,0.039377827259400616
