investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14
ACCx,0.0,0.013413790380382573,0.003437344342589666,0.08956729166357585,0.012395623132945198,0.000016788729554157208,0.0004994796862815512,0.0019805821424554223,0.003718395718461014,0.00171119125871485,0.06655878519556797,0.008954792278645894,0.0261758548008958,0.1633393575688555,0.02163651111275487
BLCA,0.09397756200490075,0.003150498309950925,0.024350466638241555,0.002724401116242371,0.02552664236543825,0.0033515990271402833,0.0007564167875585569,0.015939494066654188,0.16779828955391987,0.0009215330704057556,0.00963969543848674,0.025404290062974927,0.005392982528811412,0.013746838041274587,0.07790674632851426
BRCA,0.4990229345878158,0.0010844947405481734,0.0018720014964915847,0.0019478390718067758,0.03283961846357534,0.00014659639435149474,0.0009979791180090925,0.006612120701005116,0.0069919763679326934,0.0012768730413972734,0.008734562142341152,0.012241681949349392,0.016488593547103733,0.23232121777547007,0.425049732457638
CESC,0.0,0.0,0.00891456962981294,0.0,0.03590318295092464,0.000584914313269374,0.0,0.0,0.2250899082204319,0.0,0.0,0.00627515352029923,0.0,0.6179675336779688,0.0480603087610154
CHOL,0.0055186948460567865,0.0531886467170535,0.023376544444131044,0.0029419661752226696,0.08870888626827848,0.004530353172951897,0.00015304881863087454,0.0016109408081120818,0.017523940073788807,0.0,0.13097902457345562,0.012899643340532113,0.0107360695033138,0.15905560607558353,0.12139991435389638
COAD,0.004180494455092638,0.0014876408725680744,0.002030149380076838,0.0002323071324463455,0.024358437709498915,0.024305721687362083,0.0003339654610016058,0.005169572686600308,0.004815514478292929,0.0004015752185559827,0.004798557715790382,0.010897997800187279,0.003873223350011933,0.07993831497414214,0.03735568478224026
ESCA,0.004649573486268742,0.00422823527933264,0.0068377224575178015,0.0007140627178283751,0.03430656325291215,0.004544809039277221,0.0006308495769857656,0.0028544001191215494,0.19241288320739383,0.000026856089964476595,0.008581134312839193,0.018298182928604394,0.013161169177646719,0.3537892181803814,0.047693060529731685
GBMx,0.0,0.007190666241375706,0.0002678607386084606,0.002338854706016266,0.012628953200724602,0.0,0.05383758804833669,0.0005381410046079335,0.004614701171498671,0.0017429472813388228,0.0032606753807713535,0.007344559955523395,0.05753387733228726,0.2648378281063999,0.040692129390815186
HNSC,0.0018782921582167931,0.002789048005616775,0.004043475061839941,0.003214196136911715,0.05218070945182885,0.0003998103347877894,0.0016598925438086206,0.0022635419879735294,0.17643406103170167,0.0016525496891390467,0.000242253226843247,0.03648663204029961,0.03682728658400165,0.3973493519403182,0.0919715586601488
KIRC,0.0,0.19636442693814948,0.0002342074141147224,0.001443002657534081,0.05742624630301896,0.000030459723344448278,0.0010543280186512622,0.0010092116194846791,0.0006557962687789365,0.0039241418853303775,0.06295740216222766,0.0010444100764452166,0.013992157535520564,0.4038495548519291,0.023918883656497456
KIRP,0.00022483341266225248,0.2876075935611592,0.004330871752540702,0.003008838504858596,0.008265464112356218,0.00013740606861973085,0.000544180397437846,0.0006800044428703995,0.006865533685847345,0.0021390035648243266,0.020998363356385732,0.005667974541326854,0.0105616732736612,0.08514783829443845,0.03228908646658845
LGGx,0.0,0.0012247110732865898,0.000044863856430615974,0.0004649139736420284,0.007850351633060514,5.137968051361534e-6,0.06570615514914799,0.0001876707638295612,0.0022471409808158533,0.0006284616643023123,0.000666948722123031,0.0001905811030236618,0.030562909026931425,0.0507485666309316,0.002695647078133047
