investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15
ACCx,0.00006898773310343603,0.013078920804238652,0.0005331818612240173,0.007251869786122385,0.02420683137449957,0.00034394415331319666,0.0010517770739323805,0.0004701827895429182,0.003415828098748383,0.001626568141744005,0.00508097223077967,0.010468697021178154,0.008351314200659616,1.2378009924862787,0.017590418195095367,0.017327346458433517
BLCA,0.09504829501962915,0.0014444954533808986,0.01484963934270262,0.000701119725215925,0.0020654337236768526,0.0005652316645977287,0.002330087751273081,0.004010625944757941,0.13443244442302923,0.004598936245766783,0.03245557115321633,0.028220935379364775,0.012170639466882177,0.03468467105392342,0.06850067628049997,0.0036744693208343704
BRCA,0.4465853092442698,0.001022339003817904,0.0003773531942047599,0.0010102030672177016,0.031810126214459424,0.0011994476788948242,0.0006341950913113393,0.000906222990388443,0.006073132833863596,0.00123516794106815,0.016141061582570355,0.01395240584354517,0.016446048850814344,0.026165559104912316,0.38766548830773856,0.010741085837404801
CESC,0.0,0.0,0.004199959072694416,0.0,0.0864209230549816,0.001174425510051948,0.0016055074693302135,0.00027766217031620756,0.18763459096054846,0.0,0.0,0.0071992976714122855,0.0,0.0,0.04150370343131174,0.0
CHOL,0.006972428180980625,0.05036106470408748,0.018885248592379035,0.013559329186997654,0.022552316161202644,0.0023746788469851668,0.003614700312466057,0.0012865267964911327,0.008416552040135614,0.0,0.003637563162707781,0.0149491592222813,0.006368269602640314,0.04079719570455729,0.10682398397906359,0.009073518653254987
COAD,0.0024758129331741555,0.001689537882549487,0.006179415499308104,0.000616634483421179,0.010690762823395882,0.0007943106982421906,0.0006746888823728501,0.1901997134762202,0.003725138486318081,0.00019246013590863183,0.011797160664882353,0.011106527999561723,0.003151597230425133,0.002796685930821668,0.0332079622401542,0.0018461439043546382
ESCA,0.004365065659516154,0.003823239646586352,0.008645857250605,0.0007573908911048771,0.04803475664973933,0.001096973617929684,0.0007248525835255155,0.017601175253337865,0.15997921338018395,0.0000895774882889493,0.00705189615648829,0.020647754328322405,0.009603847128679831,0.0097892553434841,0.042102990231279176,0.008298690895595815
GBMx,0.0,0.007174996997527454,0.000034717339278991186,0.0003594822845559701,0.03692716758182388,0.0004930210168170132,0.00010370522823763079,0.0,0.00396917919799375,0.0016308128719913191,0.0014426140314185555,0.007960325294760059,0.8965189922296946,0.032531962292753944,0.037206132026295524,0.03814447464276375
HNSC,0.00015240675390921848,0.0027189028103963616,0.0010738606931727736,0.0001216600482547595,0.052643943718177794,0.0019142579209309332,0.001243046247610695,0.0034193053169532103,0.1506087235137729,0.0013760751439932735,0.005746926572206856,0.03895022208545101,0.02569765940264733,0.04394828613771652,0.08429299261186442,0.024114841112873587
KIRC,0.0,0.1990686822289032,0.0,0.007574036153665675,0.05250908129117863,0.00225377030088959,0.00009761393067961332,0.0003871090892909709,0.0006070603138828496,0.0037204326069325035,0.0026024282177727256,0.0012821510831615298,0.01443095843765783,0.01911003473401717,0.022702017506196437,0.00902758895652462
KIRP,0.00020936936313500494,0.29092382890887253,0.0006493219307775367,0.0023686182083959353,0.01221474038186615,0.00026389125202771037,0.0011044021935941056,0.0006340603204941035,0.0058485594195620645,0.002242498501554773,0.0017119478566814917,0.006117249768288428,0.00920426374708861,0.04215458528711726,0.02918068629846473,0.007138522006667579
LGGx,0.0,0.0012015257683407042,0.0,0.00006676320160536131,0.007042395464051193,0.00029973443975132966,0.00001819194749100895,0.00003022216498557707,0.0019483326668781895,0.0006158341354694172,0.0006273882065678338,0.00016441732356624222,1.0953231368314424,0.006928638736805035,0.0026284936563455296,0.020399469207729955
LIHC,0.0012918561608572133,0.0033110272975062486,0.0013449292751613513,0.08500350631357179,0.023555348397091887,0.0003964371286993188,0.0005519291649764917,0.0011161921489944385,0.00022659582253373474,0.00015155999206686952,0.0024548265823332556,0.01661667401643677,0.0061609613124617366,0.007483215129735612,0.010216486330548127,0.0072311672694558736
LUAD,0.025769764926776195,0.0013679682725691031,0.004158640864467,0.002014022903901665,0.02808018826286225,0.0011197475090083688,0.03654966420764741,0.004073690042059319,0.010103548329168242,0.003560024103311646,0.013544687294324044,0.018923861619597363,0.0007660535839145835,0.01619052062508677,0.01124812652024189,0.003972328292234749
LUSC,0.002578306304073524,0.0004575793647787547,0.0005278845469830721,0.00028029139367227414,0.04252034149984125,0.0008453284549766283,0.005880785212253348,0.0002326389985779433,0.20377906368796234,0.002949903729600447,0.011306192588067346,0.04716591269375197,0.014909482756851548,0.012644162843408012,0.02835832390230541,0.010705790772257437
MESO,0.0000734287576385752,0.02880694361773491,0.0016091408788280516,0.0020428905638208094,0.1140243576990742,0.0002430499055119073,0.004142703980933487,0.0,0.0166287091337198,0.013894604154458387,0.00876487592069681,0.014009159131411108,0.021814274803179556,0.28107988646584403,0.03700385433699287,0.04025927721729217
PCPG,0.005214905413700139,0.0011462485140526849,0.00008364971585829656,0.00013662775751594475,0.0004534187360482518,0.0009250533889550084,0.00018106335882121907,0.0017745584347269505,0.0017088790673482543,0.0010298680218754207,0.007997437764503908,0.018184004904585042,0.07970037269804715,1.3946411976855606,0.0,0.0
PRAD,0.011639904517965054,0.0009791723775725756,0.0014416294610860051,0.0010622964161334238,0.010511286637717498,0.0013869725969798549,0.0003413767328279438,0.00037486409536299726,0.010718004591234172,0.00220689294935906,0.5046282237672692,0.005378955113062425,0.008251500720463935,0.01712789606970416,0.049675254324433836,0.0023879397005875306
SKCM,0.0022772911571370684,0.000571198756255945,0.0,0.0008689345053345369,0.02230479797604224,0.0007808524029080028,0.00011446786151376401,0.00010391707483528448,0.00168416968849979,0.0007200671838354535,0.0012633093769038267,0.013071615777429326,0.03177936018191109,0.015407932133225461,0.04526504021095557,0.8998295081554676
STAD,0.005351196659663196,0.0022222348791932508,0.03252557910079202,0.0037856338551918523,0.02478775444615467,0.00185778618346071,0.0012946502717552568,0.020191704681274056,0.004700399327377591,0.0003949366937081052,0.01329246754312726,0.025007251214376917,0.008205368735366722,0.01722467023050773,0.018758861754847363,0.01105893654266325
TGCT,0.0008569750625215694,0.004156142310226422,0.0,0.0,0.021270278524668538,0.0005585757238763704,0.00007195407825904811,0.00010058546689983963,0.006698588187115131,0.001823421430459722,0.0023806251545770625,0.45974610495917617,0.036420796149490134,0.021762382723166225,0.006889513749641602,0.008018650578318375
THCA,0.00035372386601748674,0.0025140756496099016,0.000011730252649068925,0.0005382274057860474,0.0016535366804265024,0.0004912757299105873,0.001930795416801991,0.0001532397090715316,0.0015268526222615487,0.24672387917908198,0.009356312131130815,0.005057274509801863,0.013099464255757965,0.007101912332572532,0.002763561026657839,0.0019635967478105437
UCEC,0.00686952586287049,0.01868370581295356,0.007636235810039166,0.00261236890021359,0.010589070306586311,0.0008071390917738576,0.0031737470680970764,0.0023676291518147413,0.0065516096157581145,0.006779409230254848,0.039670539882064856,0.015089385024978573,0.009751183565123469,0.027251107392798627,1.020241955136031,0.0
