investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16
ACCx,0.00007201564128238533,0.02489691979822141,0.0015242179745230326,0.05135123277673224,0.0025576231915756305,0.0,0.0009667628942601837,0.007747275837117549,0.002923917644639548,0.0012843705365814789,0.00408276595569373,0.0056129748631113,0.006295170839545831,0.15370160183193013,0.016775317251966,0.013551609525436369,0.016257160712263897
BLCA,0.09141869237540254,0.001951222504757963,0.009014067086557193,0.0014533729630424347,0.00023941372123993107,0.0,0.0017497115083181202,0.012457226243065323,0.12469275644454517,0.003915006646079444,0.027081547168568976,0.015062425520717274,0.009331332254198212,0.012815599222666573,0.42423047934204516,0.0027329657634111624,0.06259454007840713
BRCA,0.4293311371776239,0.003407383560273399,0.0013709570197091114,0.0010850182016853293,0.0001934821609255003,0.0003424643380123927,0.0005888216727196058,0.02751906912969608,0.005712358268648501,0.0009539290728420563,0.013029129564799877,0.007521528652984619,0.012266548585960447,0.19614358967036313,0.008357908077960134,0.008276936201457712,0.37000855169364183
CESC,0.0,0.0,0.0,0.0,0.0,0.0006598159703467989,0.0015635857707932427,0.026931372704431522,0.17632215258995632,0.0,0.0,0.004176821144385136,0.0,0.5316523370337854,0.11314138310972786,0.0,0.037504656211791984
CHOL,0.007353363245708027,0.045664305843204016,0.011231890791755203,0.0017013492463379188,0.009776807402643603,0.0,0.0030848603875842113,0.053918004993110794,0.007061416383054189,0.000023798833430098116,0.0032016698468947504,0.008223493881964094,0.005247947896456179,0.1406217561281212,0.5044745496734117,0.006793307595770839,0.09808505347410781
COAD,0.0022794251039504314,0.0015375080500544915,0.18433185911068464,0.00011697844791247201,0.00022471803448888573,0.03637332240341418,0.00029629756831780373,0.016523273178487927,0.003029487184627934,0.0002450168631358259,0.004422034074461187,0.0053083981084681275,0.0022737534786155013,0.0646582837611508,0.11917348305621484,0.0007894237226704556,0.02711394301807219
ESCA,0.004152227813796852,0.0021473043480935007,0.032595732923328055,0.0004251447887284479,0.0006256547712625816,0.0006380445454605954,0.0005999609323450088,0.024866528968288216,0.15025555375228247,0.00007259023266592077,0.005618888882856545,0.01151715481001582,0.007067116655115622,0.29624002053227716,0.22998070746919247,0.006289211903417292,0.0387067535154089
GBMx,0.0,0.0012489940239768075,0.0,0.001344036940187841,0.0014006244580321218,0.0,0.0000861655469438417,0.011250845806408359,0.0035941030888448277,0.00128693093714177,0.0011490274942012803,0.004173694069947532,0.6752817656734587,0.2320943732415412,0.0010140517054338064,0.02954534778369939,0.035440442271471806
HNSC,0.0005930116933102832,0.00006675465172310397,0.007867873317759679,0.0018382170228910995,0.0004923585082371777,0.00036196258752960517,0.0011334127500291264,0.04347002645661078,0.14211840105864398,0.0010767045963668575,0.0045828598043500994,0.020874512634517506,0.019419833388613094,0.3252387782106147,0.02585936856152471,0.01856287691415775,0.07843511827654119
KIRC,0.0,0.026094165787415878,0.001428061918198451,0.0007901794992546464,0.039268314202638946,0.000028526241635814206,0.00006893663353980602,0.05219855574437583,0.0004943225547003221,0.0029201138125587974,0.0019767525588389664,0.0007398366544900537,0.010611383327830093,0.3222832485423016,0.0,0.0069314319419074445,0.02182013506456252
KIRP,0.00021306371444022648,0.008096616731009044,0.0014953562928236982,0.0017489092619705187,0.05743786798900033,0.00016830063820640154,0.0010291927196370957,0.006041415720198207,0.005400433955832797,0.001740434383805246,0.001280320250008732,0.003251902523535371,0.006937812307077045,0.0753428303876598,0.01850313461534993,0.005545746455141695,0.02736919888629661
LGGx,0.0,0.0002752650004491598,0.0003490117837082044,0.0002880368875218862,0.00023013829186959784,0.0,7.454104513561795e-6,0.0068208305063227805,0.0017372473907852457,0.0004840694027187465,0.00044020162192131277,0.00007052575938671367,0.8255031889593325,0.0446869377975762,0.0,0.015845145515044345,0.0024174410123990863
