investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17
ACCx,0.0,0.002775217884937123,0.00034370932927085823,0.0011069758111206473,0.00014042569071723114,0.00003467837606644088,0.0,0.003382783693296967,0.020575317838172364,0.00024559320388042486,0.6170279776714018,0.0010253091896259506,0.008608362691941011,0.009506420957604738,0.04901704584186093,0.004283403186811724,0.007746455390393734,0.009389777955340666
BLCA,0.08828888738694984,0.0,0.001306152199965907,0.000707322406933457,0.00020924701313709362,0.0006109055099746317,0.022683496773939226,0.012431872179300595,0.004062136250320831,0.0022261347553379717,0.008764031895320153,0.09961464556179198,0.006355963512095786,0.06255176915624482,0.0795344324324086,0.006199927874286044,0.05922386703814072,0.06655461094351445
BRCA,0.4230914139991796,0.004556015910654831,0.0036437675153068423,0.0009611925825533335,0.00007374226258579374,0.0001409666419666659,0.0005085506434346273,0.004805209244853016,0.05753018489738575,0.0006305374620635029,0.008390753467808553,0.004415902678978538,0.009524730272280402,0.031017224434555075,0.14474296391711058,0.004432709066326752,0.015759487947609313,0.39756205464556055
CESC,0.00021341575769793055,0.0,0.0,0.0,0.0,0.00011970029752364568,0.006379835161482887,0.0005493291809363038,0.17222910661391386,0.0,0.0,0.13795407975497542,0.0,0.0,0.13733234560973187,0.0008213177496306202,0.02791323198329389,0.05456582434503659
CHOL,0.006876125907777369,0.016028460368014495,0.00283312494159706,0.01342277083962968,0.00403502594464964,0.00018828334946064255,0.028319253018504614,0.005184184961064674,0.04310714422036964,0.0,0.017143329424589064,0.005808344196297748,0.003498735980832912,0.007183431046931432,0.27747183921510443,0.00424585318829313,0.0837048869229843,0.10604006373684653
COAD,0.0022089610676992275,0.001657076950141489,0.0006268406634591374,0.000597718034022861,0.00013636688860317145,0.029103444672961155,0.009496267169246998,0.003704992349976571,0.02223714454695642,0.00009065514691578384,0.0014573414854877893,0.00277890181015218,0.00177496764548298,0.02317207038536498,0.09630714776873946,0.0009510425419819766,0.016095187962391122,0.03343890618261884
ESCA,0.004336045848531554,0.0031548654455732434,0.002848978220999671,0.0007602235613379399,0.0002731662825098756,0.002671547983100916,0.013335614956267738,0.00570732798307086,0.09685591426956022,0.000022720286308722447,0.004937376406162356,0.11813360390946397,0.005281162750058932,0.013868263841044462,0.1287059112616035,0.0027221822531116892,0.015528478689612386,0.04463173268841954
GBMx,0.0,0.010174163410666967,0.012508193765978401,0.00035421847013697764,0.0005407493934537842,0.0,0.0,0.0037480334226422246,0.05667732747444043,0.0008142552752303379,0.016482868666641955,0.0032435729064266734,0.5007126832354827,0.0030449601012219,0.05074648996400097,0.00751817891228199,0.003857447220093365,0.03752341378140165
HNSC,0.0,0.0,0.007858574564078943,0.00015714200935547688,0.00035048897600738665,0.0005187532481398635,0.0014148865633502334,0.013494624405531199,0.1109213316569782,0.0006733989978717586,0.016997057194778658,0.10949981875646338,0.013051611233626338,0.010816532902051063,0.2228016442834772,0.007023011277991052,0.02621213074496108,0.08513192057455053
KIRC,0.0,0.38848292421556563,0.00273658901400471,0.0023496315801091894,0.0029903870353946583,0.00004056045229103774,0.00042409533588684155,0.0014803885697971112,0.03279393836402473,0.0020514593090506152,0.013002336577538302,0.0011859935229700247,0.005808946521984829,0.007943137030296032,0.06086338360253768,0.0043424757716760244,0.01603351403029212,0.029247189798058872
