investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18
ACCx,0.0,0.0036245638455183076,0.0004235148340081592,0.0011864197671663484,0.000032746210082645874,0.00010577031177738666,0.0,0.0,0.39386585668584595,0.00019951854646443933,0.027617873200179482,0.0007402217729906859,0.006566406340686508,0.006327158197784939,0.018455898597976823,0.0023865527312993493,0.005301870805907449,0.0059521818167318,0.1214054312340583
BLCA,0.08822587377390739,0.0,0.0015521274386309314,0.0005945181548838313,0.00003972626600393538,0.0009400667690459101,0.05714895279684832,0.0,0.005479145668417692,0.0020448169959222736,0.005570735843810601,0.07037541324951643,0.004918263692810213,0.04386621123262925,0.07057879728836541,0.0035940920484345855,0.031983818701794564,0.04426681133122261,0.19127832924959312
BRCA,0.42297864981179245,0.006159003022239557,0.004410419104313587,0.0009952579063612916,0.000016655550889900634,0.00015098783349050906,0.0009110205261967321,0.00045542495933495296,0.005363414500577673,0.00053185475278918,0.07742643484630418,0.003180488382629588,0.007214154724844743,0.021018466578165154,0.026673739491731262,0.002471290394528588,0.010279534995640185,0.27640872386656523,0.3584436654695901
CESC,0.00027868818181587624,0.0,0.0,0.0,0.0,0.0,0.01550424543220663,0.0008861496304462607,0.0,0.0,0.23297901787555853,0.09881813951665734,0.0,0.0,0.003257803690801423,0.0004781804315492708,0.017073427881143813,0.03774652887264336,0.33710503371930944
CHOL,0.0075249491021932265,0.021697823968263124,0.0034569571801687632,0.013819882681096777,0.0009187111006941489,0.0011625958053630904,0.06621955643418852,0.0,0.010941241045225994,0.0,0.05890640252316078,0.003722035430077081,0.0029671975775441414,0.0052795421172676296,0.029830987563373334,0.002447307251840894,0.050852106000999854,0.07111086793612001,0.6770258699881062
COAD,0.0021177124781235207,0.0019163275420498328,0.0004691238223324475,0.0004463773837264233,0.000018009690653385668,0.020715959767680276,0.015802790411400897,0.04440663261838345,0.0009573479163187892,0.00013065912923991048,0.029753986876816255,0.0017281834032756198,0.0013078983063430606,0.007098589664468271,0.01780192892573644,0.0005125185287628701,0.005152645919370943,0.019831914919661776,0.21487383126486903
ESCA,0.004346367368966307,0.004559880745939573,0.0034451072877225717,0.0006602201164412,0.0000485123369167024,0.0036096381882849663,0.03101229488532013,0.0007765691776721556,0.003229981542139842,0.000020632209116821666,0.13157591227609175,0.08465476619768639,0.003941035667283093,0.009304193416559211,0.032558447764840216,0.0015479887218564805,0.008475497604061692,0.030019044623582212,0.31184489543373595
GBMx,0.0,0.01370830128317168,0.015252858661210292,0.00037593033381142296,0.00012589581751520421,0.0,0.0,0.0,0.010527286540634798,0.0006963954361037847,0.0769271282552844,0.002330290290319015,0.3810822547075161,0.00206313175220685,0.020923014311073348,0.0042025525329875205,0.0025061873917474244,0.02603628900372158,0.124203994492015
HNSC,0.0001693155851637978,0.0,0.009484803742660166,0.00006535682887514425,0.00007761543568723187,0.0008833733483415244,0.002870851632175416,0.0004712673866034746,0.010865119275665226,0.0005796689291920087,0.15120718373138653,0.07885657839265313,0.00992317127959897,0.007268226782030433,0.07511373168353125,0.003989634610390073,0.015901976742085593,0.058114069131184935,0.539294179520194
KIRC,0.0,0.5171130872006652,0.0033294487757107986,0.0024184531920629876,0.0006947567193466409,0.00020678861534224787,0.0007980667865222107,0.00009428844699569128,0.008342054172387507,0.0017499785661727143,0.04448848037743446,0.0007816166745548371,0.004379479504394798,0.005156399145432785,0.008193195867234965,0.0024075677176059068,0.009968043270243102,0.02033934281992266,0.14843852390928994
