investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19
ACCx,0.0,0.0024118096649815737,0.0008102104029878142,0.0007504287153636114,0.005691733234375936,0.0,0.010064445995295528,0.0000783994430170084,0.0007677209853857624,0.0001997588818947512,0.3540362039373772,0.0025853107717617543,0.006926773784322075,0.03483778876656682,0.03494699299553332,0.0018695488398461659,0.006930365681160364,0.007857875254564828,0.020024763482001176,0.012697400866688776
BLCA,0.06816013176788102,0.002499982055045892,0.0015028041396236427,0.00032282059535169115,0.0002691150329131143,0.008166193773512234,0.09131861517429231,0.0,0.06523748442638008,0.0016406444596311527,0.0043521910005081405,0.008401907710080262,0.004379824381773161,0.006925593167076719,0.060203610886007265,0.0031937977373487957,0.031969272118807346,0.047063642017570066,0.12261401732612905,0.0
BRCA,0.3324574050247537,0.0009075420058860614,0.0032463038853666887,0.0005696766653361857,0.014184806713540263,0.00012674626703764984,0.014821568220915404,0.0004982810396135445,0.0029917779423520373,0.0003729037147749551,0.0024952506115117827,0.0023860726659927613,0.0050174045527762124,0.09107188640955556,0.11423390804826326,0.0019330957056397946,0.01042655471395515,0.3140268309973845,0.055889201479480594,0.015354320897090918
CESC,0.0010114197693416559,0.0,0.0,0.0,0.010733370214398765,0.001664734297044211,0.004444926315611395,0.0006769116372421849,0.09587766121508096,0.00013731418646079148,0.0,0.0,0.0,0.32833783615200574,0.10274312049506805,0.000400175656466129,0.030959942595775072,0.06865436744786056,0.0,0.0006619160098834976
CHOL,0.004557267310979758,0.060081083620786215,0.002492058851766436,0.008253938595370236,0.013895427896472112,0.00941719324409181,0.10743089389721368,0.0,0.00333100837126304,0.0,0.006112535391754142,0.002484972066564772,0.001972930036657715,0.06943466885511677,0.21564382002201063,0.0016910368347346307,0.04979724710738323,0.07806736568585976,0.014861597973380408,0.059967735351634376
COAD,0.0018014881742087327,0.0013863335438883072,0.0003368505766631822,0.0002667479560214361,0.0022817042403935795,0.0022152038626543713,2.1203479739309423,0.050322277800460204,0.0016156553377506642,0.00011625062928424168,0.0007507332511715763,0.001410268221760985,0.001353567386486249,0.05001118117988282,0.06375895537646309,0.0004057705767505584,0.005957410104827306,0.02152268225953609,0.019835445574192288,0.005842364216227039
ESCA,0.003584084846829277,0.0026836707584251052,0.0022255950426670456,0.000388027696330671,0.01357733497308881,0.004334311128415692,0.36134469516732726,0.000805414135625831,0.07990071514278277,0.00006966994593790561,0.0006330667272238415,0.002070334412154028,0.0034236950016708102,0.18876860976882878,0.09445534074209375,0.0013333152341124875,0.0105754516184882,0.03750064806619476,0.024128479061855376,0.013891429755858402
GBMx,0.0,0.0056040345655079885,0.011979845008058477,0.0002353001643264213,0.0248634674847057,0.0000104986084484033,0.0,0.0,0.0018393795846881457,0.00046898784852627385,0.00528715187178402,0.002424252472926394,0.3301187080408639,0.05913050626023661,0.04095863082575394,0.0032769717752325596,0.004885913063484407,0.026205622855750347,0.005695756213300808,0.041264354621852815
HNSC,0.0,0.003001475938427511,0.005737723600199628,0.00004321341477226891,0.019867691821625677,0.0003272020884421114,0.08491420020378879,0.00036874140984680814,0.07420620387744854,0.00028295040988223397,0.006530369425250547,0.007958445405551113,0.007197662655039908,0.21150526781643045,0.1678367938595474,0.0025138959082308967,0.018013573164427484,0.06631012260011368,0.020694235309845616,0.0
KIRC,0.0,0.04706811696005064,0.0022902412587912616,0.001413970250976066,0.011306171035229268,0.000119425721423096,0.01824727837536697,0.00009564660164340496,0.0007186785232160103,0.0014278568398512059,0.0057993312322009065,0.0005301372512023401,0.0036063606935953932,0.049782023072324336,0.04599102615044404,0.0021137792297419083,0.009405000375701108,0.021705006981560766,0.01475085935944515,1.4241709362958743
