investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20
ACCx,0.0,0.0030510989108811144,0.0008224228413350255,0.0006923213121629045,0.013339859903081848,0.0,0.038297784857924705,0.0000996139342055102,0.0007741727304568834,0.0000321604999292411,0.00499599581422156,0.00038452782997630585,0.005035681451359643,0.8091301204100179,0.03257009728339049,0.0014786555195926774,0.005786801089452935,0.003465837943874942,0.0,0.008569923566441982,0.06575560642882823
BLCA,0.006060056439505075,0.0026850821755222483,0.0016522952044439802,0.0007115675276950746,0.004383154628732222,0.00014739133438309502,0.04332717718277429,0.002348310569979512,0.007432110677283358,0.000039139524151322774,0.014297034220528828,0.0032964504287670074,0.004470241882964814,0.006016244425838544,0.05854936662632979,0.002608534492240374,0.0021017390252855675,0.014083890098339949,2.40343444473939,0.0024719748888564533,0.0029809824045403787
BRCA,0.2905436112273991,0.0014061717845547676,0.002315426205047919,0.0005675149980619945,0.0329132410102405,0.00004796743226363873,0.10820312637621847,0.00040870933305701317,0.0022939821435875355,0.00006676519895775217,0.004723430754791904,0.0022986580871600325,0.0034911352302428272,0.005587504754481223,0.09909568992106124,0.0015989623494300817,0.009340800330413186,0.2049184148564462,0.02599486326639939,0.013109101100342956,0.12345677096049282
CESC,0.0,0.0,0.0,0.0,0.12052931847735057,0.00012897974650187254,0.0,0.00029424784781383485,0.0789342162547451,5.727949986494036e-6,0.0,0.0019110423629871373,0.0,0.0,0.08997919575219912,0.0002533503291107025,0.014741751344348485,0.029241940544156443,0.565996500369212,0.0004707008619650644,0.09767590721195434
CHOL,0.0023291497598678253,0.07282268932888858,0.0017523043667528962,0.007806750003578729,0.024541186711956577,0.003340936557891771,0.027711366315926755,0.0005206398159039087,0.0028074229941281803,0.0,0.004488198008299202,0.0013548292363585353,0.0013668167851931495,0.013381397666082078,0.18953374419011354,0.0014793852311338039,0.042666801224384474,0.049620987131812636,0.08840321721386347,0.03849531962805627,0.1683236398479659
COAD,0.001585651160061586,0.0025366978601649073,0.00044913867405932563,0.00036023627367674413,0.018718306377658252,0.0012092352984270558,0.07507847524043898,0.10047601578323129,0.0017182081266769692,0.000011580968212178034,0.002942233743294818,0.0024053575078240535,0.0009800860616995329,0.0017457105422742183,0.0648921090370427,0.00032068619329495625,0.00857846662846226,0.0051412754561637975,0.022736706798053657,0.00406622112135929,0.022340279951602943
ESCA,0.002692749695831927,0.004852968933713298,0.0013793217527138517,0.00039132445604205137,0.06712275554075728,0.0016275283748020594,0.04869544148640307,0.008432247301714747,0.08037999225873459,0.000021229471514858133,0.003790360178295233,0.0021099730608635184,0.0019230164915704283,0.0014812257160866863,0.08452166186882565,0.0010760384120313896,0.01190185478119009,0.02047800088091553,0.058152659865429626,0.00872695753802071,0.14169153496590484
GBMx,0.0,0.006246691244613321,0.010547776159357179,0.00019609473568075932,0.02300633547949216,0.0,0.010315010048705149,0.0,0.0021747764302113923,0.00007320554107013772,0.004444583462768806,0.0013447944661279477,0.24363517055686973,0.012626420898181164,0.036427903207543584,0.002518380573819613,0.0037549464204608895,0.01503511819622568,0.0,0.03016568087583682,0.2812724171765269
HNSC,0.0,0.0029946818589112515,0.004482530736363937,0.000054095711107477816,0.07538090434572581,0.00015404797484216824,0.04816001389534077,0.001497232657162011,0.07455131530863025,0.00005504660343406588,0.014467599139161739,0.002850257796643978,0.004630772129880715,0.014495563786519802,0.1521920726174604,0.0018926382287958107,0.01725813167310888,0.033474337422781414,0.026680636338046418,0.0,0.23994856235108467
KIRC,0.0,0.05625151699806031,0.0019627016874733984,0.0013435936678636584,0.017977156166661377,0.00004641894454395657,0.022650945669955937,0.00011024013839226191,0.000807513835311315,0.00021961837362133803,0.0010313072986772465,0.0011192351987551635,0.002529712988396339,0.01261423194388929,0.041970433182466585,0.0015872555589304406,0.007654362194448687,0.010707428024911633,0.007153238891404916,0.9248651725381326,0.14072997978006635
