investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21
ACCx,0.0,0.005382299175798917,0.0010801803291314808,0.00040345584545044174,0.0005930931209721086,0.00045511927266462935,0.0008764947199174024,0.0,0.005552523399884657,0.0005318935196477944,0.16912149662329468,0.0004568931473697071,0.004984081207175992,0.0002673303839763908,0.02529345605499983,0.0006916616298696788,0.004288815567484899,0.007091004797755021,0.009263944139376921,0.012257837775359706,0.00846177674438092,0.00711039094686696
BLCA,0.05483107628794538,0.0,0.00874890057774682,0.0006474024496978866,0.013465003566770644,0.00367615466829479,0.004286133774079554,0.024883061004718716,0.00009925266710252584,0.000024161271320775134,0.0019105822043128805,0.03596531277245785,0.0031212595280782677,0.0,0.04029954338661934,0.0011176114993635988,0.016502876539564528,0.002628341636689667,0.07932925691364771,0.03844611779786888,0.00759262985619732,0.06744496435376571
BRCA,0.2597399736435786,0.0036030793842809473,0.0013181861493066754,0.0011430848348198434,0.059871608869860066,0.0004282643735799111,0.0017810506196656373,0.00027390111546364066,0.007778514688125343,0.0011897818568127685,0.0013223642076850375,0.001289294692297076,0.0031974377631558653,0.0017887628487564936,0.07471519397872843,0.0007470266948287635,0.0062900248847830255,0.005057003369883836,0.4168295583688986,0.008887300752158087,0.0036183247630235172,0.039827063995227174
CESC,0.0,0.000815178249715145,0.00009248997610570642,0.0,0.005662673155215287,0.0001642811591913047,0.0,0.004743864197304917,0.008617407163092304,0.004829757683576744,0.0,0.05514258889244515,0.0,0.002103975454493875,0.07323503198343269,6.002710064314565e-6,0.019225085687313355,0.0,0.1866552419907728,0.0,0.0,0.04130750829514872
CHOL,0.00083463464631025,0.020347955526947938,0.011928974474049964,0.0009036035434225188,0.009621784308571342,0.0,0.0004928243385509079,0.027743941223509698,0.012507470417072331,0.0010133873962531088,0.0027952869699000684,0.0016811893222962696,0.00138214005641582,0.0,0.15106507718856735,0.000652073869297998,0.0271887819390913,0.07916572449616334,0.14120667945918178,0.011471000191688598,0.21206434909226063,0.026228751706396825
COAD,0.0017135919591406478,0.0019681812286573303,0.23622264297878381,0.00011582250703794348,0.0023308444818966175,0.00021635959718128598,0.0006127538810517247,0.006603265978912469,0.0017588755415875667,0.0007829601253642928,0.00036980751565053225,0.0008678559602779526,0.0008515753930568515,0.212223633433871,0.04648382384223351,0.00014799807734294546,0.0037154204440199637,0.002583496677471054,0.024226678168230816,0.006074029029069341,0.005052255074475464,0.045072098951257744
ESCA,0.0025960236859142163,0.005437194406810495,0.03914301362701662,0.0009100030028027213,0.004140771134003938,0.00018473468863404175,0.0007050704957755791,0.012899541834030413,0.012648861153509026,0.002938441676746839,0.0003082211732006034,0.04604871061199885,0.0024887643329395645,0.00350191278235556,0.06668483332746643,0.0004934803260479849,0.0067169880636640394,0.003372790546112906,0.07709054465573789,0.009006842356400672,0.009132601377751844,0.04551495506638762
GBMx,0.0,0.015100476419947566,0.0,0.004964629144560546,0.0015604115606055468,0.0010657949322242658,0.00023375243971885776,0.0,0.020958371443408463,0.000842309447404808,0.0024847449948379543,0.0008793683340092436,0.23919105560242782,0.0,0.029097529281517136,0.0011844714905098362,0.0023894107307095725,0.002003434495313575,0.08619965613706224,0.011356640233741586,0.018174680188819715,0.032391799621980105
HNSC,0.0,0.0,0.008178527331856427,0.002421786330841936,0.008030528660595032,0.0007859210810458365,0.0005217186590583817,0.000927952965006199,0.019244250290831415,0.00332294423446936,0.002937852342886146,0.043166784936557095,0.005074728833194871,0.0015561262252170435,0.11830010473324057,0.0008299168945524343,0.01160717322256747,0.00022235829432566535,0.08360522721653194,0.037841262825171265,0.007217286351446233,0.06084803583836581
KIRC,0.0,0.5039035425170755,0.0019466940535173428,0.0008324528364947634,0.0002331161898270146,0.003115340838611484,0.0002787423005236363,0.00026279928646917073,0.011120855306734269,0.0007676247432443307,0.0025432870639113215,0.00039885393068985224,0.0024512606589161476,0.00039421142683632887,0.03351343791480439,0.0006958297778879474,0.005047670131488345,0.012551182322346102,0.07895433416337322,0.0021212077821824837,0.1635467434510975,0.025991530240950057
