investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21,comp_22
ACCx,0.0,0.007801660199450621,0.00024376313966274264,0.0010408286076760745,0.005603482089030897,0.0004498321201929225,0.00040333585789865484,0.0001512354357791594,0.0,0.00002424739465468587,0.0003642912947238346,0.0015023753072497747,0.31390189023783677,0.009661518129808243,0.018789238797394456,0.0045210700507509775,0.0028901708568631335,0.0048207864967187335,0.0007965336200164817,0.0014675933772091984,0.0053969487991632845,0.050519762027888694,0.0
BLCA,0.0034189488208714236,0.005888021221779634,0.005689945434288909,0.0015152403834874204,0.0013475421020862058,0.0004621776214762359,0.0024813919798437113,0.003206303801197322,0.2153175373706368,0.000029192522168616937,0.004031383468137456,0.004230511471582089,0.0017210375350551893,0.006632505468752094,0.0342747916338447,0.000947438955085436,0.0007378110985207631,0.004016891693280181,0.005076216773170851,0.01232716162104972,0.003210263259326519,0.0788833428163552,0.0261885616416563
BRCA,0.22071772777361848,0.005021974461813223,0.000864882619026481,0.001036211400455706,0.003698913612470859,0.0007755289613175077,0.02542652695508298,0.00795210156885004,0.0025685317696361133,0.00003950627383371637,0.0010480087499158477,0.0012979399774243738,0.0026656804019800995,0.03470805422667407,0.05531606156086337,0.008489036770939162,0.004627009831463262,0.003712610419225546,0.007801093874171475,0.007902944914566999,0.003217541170764765,0.08154637754225631,0.005795622295270254
CESC,0.0,0.0,0.00008120147261812166,0.0,0.0,0.0,0.0009807229799383536,0.0,0.04830752056106454,0.0,0.041188641173972834,0.0,0.0,0.08773284894581596,0.05328888016555067,0.02405793503617157,0.007702517517843215,0.0,0.0,0.010449463835889116,0.0,0.0,0.03973476642420662
CHOL,0.0013922637600265535,0.0018481763120907415,0.0011147941950209457,0.0010170775887711778,0.02004077606102768,0.0,0.0059107871700070334,0.00156639350051273,0.008071039098084858,0.0002556366471394728,0.0009999053427434848,0.001243106250866196,0.0047191658116725365,0.030485697237415278,0.11224241303828401,0.00543558691430618,0.0213871225446515,0.060520186899082395,0.008162574664839132,0.008352195254771974,0.13479714901308548,0.026003197481190222,0.5019655887005288
COAD,0.0009336066907670983,0.0013000132035412902,0.25417831009835984,0.00018519254438999265,0.0011673152091535447,0.00011143612601472206,0.000812022296912216,0.0026060542966316333,0.0018242482175033512,0.000018948584332864693,0.0008162807234778442,0.0008336567428828516,0.0005915800732267423,0.028068128295394453,0.03812169816168962,0.002101101019722325,0.004211406178436019,0.0028106727424484987,0.0016789687801802493,0.009207598512752286,0.0046873063424636655,0.04422693771569967,0.180456261082423
ESCA,0.002239745928517131,0.0020018806458224083,0.020592544150712724,0.0008109066623975536,0.007067788211125876,0.00007937720224201922,0.002154895584374183,0.0024691511636162258,0.004808145145893044,0.00001403081000817018,0.0419821964231438,0.0013942731889437206,0.0008325308464935624,0.07150301028041607,0.0501702316202674,0.0121260981780421,0.005529853606177644,0.002774727950349015,0.004463825337049262,0.008798400785005312,0.007728811008260095,0.012853812634258067,0.25439682896386395
GBMx,0.0,0.36303187594819125,0.0,0.0017920574374577687,0.01319597899657959,0.0011714623610302901,0.001338805908674112,0.00007334687937215485,0.0,0.00008816957782856198,0.0006233150713422539,0.0016050391874390037,0.005140294796427219,0.014578653347338686,0.019613595419667878,0.013116054196048173,0.0009064230427528342,0.0016041400196200608,0.0454812083476054,0.005420196956163975,0.014548492954786702,0.007609475121465754,0.0
HNSC,0.0,0.006923284665958817,0.003923721754843377,0.0013122545509576748,0.02026886681263239,0.0008889477212956897,0.004193238512045106,0.003163390762952474,0.0016429499359182512,0.0,0.0386700296737621,0.0052425435384949,0.005043492407061543,0.07236266506827607,0.08753281764794066,0.014335139914294174,0.007418906167257786,0.0,0.02011224050631706,0.012882476597302451,0.0048415731714622386,0.012545231729888915,0.022051913585639325
KIRC,0.0,0.003790807173575372,0.0002803613837168188,0.0009699377591588278,0.011787068812252955,0.003060943027072792,0.0010042671544498534,0.003248367319092343,0.00027295900223992344,0.007222390236325891,0.00032948739861925994,0.0002501706519172263,0.004345491487856333,0.022411489271205287,0.021782066195098704,0.005227212679095715,0.0037196743465332505,0.009638927382122063,0.008297459554608335,0.004726349707628124,0.09992198389385264,0.010913509830420805,0.006111549869348091
KIRP,0.00006790930338102224,0.0030178310582726128,0.0007126639264616719,0.0009760854246836115,0.011559369757105325,0.00137210563137362,0.0007171660745473596,0.0007212418418182186,0.0013124324330968532,0.0008902479775439408,0.0005836453833285475,0.0007226063103976557,0.005324175249576932,0.012787360777398584,0.01060042574225435,0.0032586346118827895,0.004710597814588979,0.008100199979330416,0.0059345987321800095,0.006847663193645817,0.8187715258170907,0.015451704299888925,0.007410790965965775
LGGx,0.0,0.4493015973006439,0.00008583119478008528,0.0015002545980912654,0.0008226218076368285,0.0005886677421664266,0.00028689679150339736,0.0,0.0,0.000025406925962361495,0.00044570302262877373,0.00021317868865427608,0.000635083363017991,0.002209346545728329,0.014637284231459989,0.003005568379809166,0.00034299118500547395,0.0004683514987556176,0.027347485320665152,0.00004539934726111495,0.0020140608116924795,0.005078401395448193,0.0
LIHC,0.0007395257643826775,0.002152522433708445,0.0013266872506061105,0.00018193318477889952,0.0029589287328786757,0.00009714004854449921,0.0002893057967456203,0.0011584092542023625,0.00009580320507155164,0.00006642046490501357,0.00001866756858899435,0.001734979361340744,0.0019312262400286212,0.03184560595665415,0.0161222056402133,0.007299187086877364,0.002403708005457315,0.37959928319640296,0.007600924811770397,0.002966065152152135,0.006888961648381549,0.028946082202975856,0.031493883676558
LUAD,0.009488511906277685,0.0002101209731714537,0.004133464971733896,0.00009109132656416057,0.0051356128456979035,0.00327274545047261,0.0005507308975998413,0.003653056721273186,0.005835670729615203,0.00006457293857025806,0.0019400495415458523,0.0013085313776679851,0.0033591684573644077,0.07512963420869628,0.04551128277133905,0.002966850855371678,0.22735348216331586,0.007573933821574305,0.0015978677045636095,0.01677739703245126,0.0015537232617936012,0.07944068456009692,0.09950544046833495
LUSC,0.0007518486354772051,0.005005305632577509,0.00027357154687100493,0.0007652111579006634,0.0019150338653861295,0.0033984953392736717,0.0010452957319295438,0.0025308579795327558,0.005187236875165228,8.960954226859498e-6,0.0548247009662458,0.0024086520517319853,0.0012289590968439716,0.11888966598984223,0.028510917594328108,0.0066687832049835485,0.036760488140754735,0.0009407059671986623,0.008619568415404965,0.009223758078421303,0.0018584269952094164,0.06266001434069568,0.00651026707224009
