investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21,comp_22,comp_23
ACCx,0.0,0.003035780179723231,0.00025536623182802464,0.0012359556900100434,0.0065211571475048595,0.0005758089531429475,0.0002189288795074428,0.0024471425924920175,0.0,0.0001497093855956264,0.00104205664873419,0.0012541796280452126,0.0004260544323770383,0.0,0.01419575367782144,0.0011493032596248752,0.0018390373668437307,0.004003678063160906,0.004853781885992396,0.001049109099708019,0.8935214619940164,0.004287358188554836,0.012581277087349641,0.06655328744453376
BLCA,0.00746698407123199,0.0022359388180956917,0.006871211793228024,0.0020135273576085697,0.0005006131235409479,0.00046015213559557337,0.003461959608313724,0.0005821608223806749,0.21826059224809216,0.0002415942144197481,0.000900387054327272,0.003170853236567408,0.0037676684940706,0.007511906399442089,0.024219724800692795,0.0002089130405706615,0.0005074961804540419,0.0028789913068815497,0.022192241953199597,0.005996574396889532,0.005323003039438721,0.03616661256517786,0.003584894309124286,0.48657965799516745
BRCA,0.23523831191365285,0.0011496874229309454,0.0009053482161677875,0.0012571910217404375,0.009302112442292676,0.00038583688904921925,0.02355883284700974,0.0012324527864777774,0.0022764952693368067,0.0004227724286508805,0.002279130558484339,0.0009073210315432512,0.001000736867213731,0.0019980022252040473,0.04134791417272734,0.002425205668951657,0.002907792530623216,0.002672342592961893,0.2307970850746007,0.0028281053393660444,0.0072389305257633575,0.019047521172305872,0.009365343278153216,0.23983053984283995
CESC,0.0,0.0,0.0,0.0,0.007504670563578378,0.0,0.002300594377913776,0.0,0.04623193182756297,0.0,0.0,0.0,0.04077735832876502,0.008029480493851396,0.04074193664612363,0.010144891661528292,0.006695187114461515,0.0,0.07989252327390482,0.0,0.0,0.01806942774916448,0.0009359635889815271,0.6494192848165873
CHOL,0.0006791243715720345,0.07192745056181521,0.0017722812532532009,0.0010292439802202698,0.018251120320102683,0.0,0.0037834910251273147,0.00009075606914527277,0.007072183064476432,0.0003655847630271443,0.0005537856313487365,0.001257864076059278,0.001628745546851606,0.15369805920123972,0.0842801521708744,0.0019325719333831738,0.014720423945562024,0.0465630971361667,0.07078169297626635,0.009306034215257731,0.01425843452213266,0.015879406549757568,0.04369025266543376,0.3107448768906352
COAD,0.0016479236685958724,0.0024661165017638154,0.29658909553080287,0.000269603009759567,0.0020193466816989334,0.00015934561711340668,0.0010533770329554033,0.0002951135204148675,0.001962794712998444,0.00006528712844793835,0.0020472641124844523,0.0007529318523767354,0.0008315373409664305,0.05573243439395861,0.029212019677897126,0.0016331079212783437,0.002897068905137273,0.002055282886327208,0.010066618478619747,0.003090207486570374,0.0018853184758544947,0.02504097811231432,0.00398118336680756,0.7303731667693381
ESCA,0.002319463861613414,0.004003287516420243,0.023883540079911367,0.0005296412628102189,0.012615635833478975,0.00007711206008087723,0.0018675898117143995,0.0006553630221097051,0.004456591548493964,0.0002487647034103758,0.001104416423251304,0.0007661748251845588,0.04008324926848319,0.07647529495949289,0.03627551430050576,0.0058783206397515185,0.004095071477911246,0.0019087202402598787,0.04348485861753856,0.006312639474395457,0.0017541966198194006,0.02303025896335351,0.011037740293241291,0.599681533046222
GBMx,0.0,0.002950114550499461,0.0,0.0021603933788574064,0.007163214137255811,0.0008003739395642762,0.00036398914967080375,0.022939063417695995,0.0,0.0010661348115587966,0.0003648757995328431,0.0009471506349391737,0.0,0.0004154204197705126,0.01808013313393862,0.0013400925110986237,0.00007711324259262698,0.0007819946744405666,0.0008088386356459717,0.45449588819914527,0.009019945274076869,0.013749259206802074,0.010779034003970641,0.07332464599619766
HNSC,0.0,0.0022138645179571874,0.004547396544746827,0.0011922272592200854,0.020204783408558455,0.0005969117742998552,0.003081221444238537,0.0004242538449753029,0.002047331673895904,0.0007295457136328022,0.000828157465848797,0.003788714219467406,0.036545710232340954,0.006673749369204741,0.06246681953461711,0.0066519306852700945,0.005792379304354814,0.0003584870367067557,0.04585679113085904,0.015273236609434478,0.014813574487213951,0.029860474750601298,0.0,0.607103960845616
KIRC,0.0,0.05504734926857889,0.00035233177583802604,0.0012417293227606138,0.014678886446658792,0.003256606548299011,9.360365511609376e-6,0.0006161489777156097,0.00013513938322013677,0.00033037045275733116,0.0003449829061380214,0.00033169458843868824,0.00042806217726523883,0.0019422080460767754,0.0193080269936124,0.0015879595138226204,0.0027356275040023026,0.007226294249153329,0.04264794228792233,0.006650196864264732,0.013703043393566027,0.012710490172638552,1.1651014872465355,0.16684234039788498
KIRP,0.0,0.4338985581376495,0.0007663544695255878,0.0011362877313671664,0.010624796392129375,0.0012794186167397136,0.0003736318536334302,0.0010130330035983167,0.0011856210048260042,0.0003267398728515295,0.00022688413958899396,0.0004882716770759965,0.0006333325804953603,0.0019938853826620296,0.008304214008456986,0.0011131356680564282,0.0032284724136318974,0.005920718436424553,0.02695682355747635,0.002897746613260221,0.015862381026286353,0.017100595009043568,0.14191434645324452,0.8677699611774927
LGGx,0.0,0.000357988965532307,0.0,0.0011844999518949594,0.0008584301679169843,0.0003542181494313306,0.0,0.09091503754745521,0.0,0.0006601329794218128,0.0,0.000013422608618457149,0.0,0.0,0.009426164100371451,0.00026660616785559494,0.00026238188412328745,0.0000759537299738981,0.0026078472352136927,0.17870781720230516,0.0013778033551545843,0.0,0.005355365355740567,0.05161107850557567
LIHC,0.0009319907395959913,0.004495451271065383,0.0018604846583343266,0.00028064008908411955,0.0015520707584161621,9.455168508403625e-6,0.00023501063498130984,0.0006150375032719996,0.00021059432473524245,0.00030336443159072977,0.0004059200360262902,0.0014007721430905197,0.00008792916046521516,0.010698536974074148,0.013465003997423473,0.00322813284541837,0.0016197086293968169,0.2881727160111623,0.011833431776594317,0.0024071680740710938,0.00447231975806502,0.010743070392563704,0.024409748875993384,0.24459468597491205
LUAD,0.016875779944236766,0.000944749674333209,0.004985697136481852,0.00010951604318433084,0.006234622011320171,0.003786785899904598,0.0004152064330265407,0.00010521122410279048,0.005884832616950913,0.00014496966239018185,0.002097512625932369,0.0010986186836284305,0.0019969882512518838,0.03115157773871147,0.03717675872297214,0.004388025611611203,0.14257463187948421,0.005527388302983008,0.02312876781882582,0.0018274294985343663,0.010428384713043214,0.04840864623711565,0.010187758492604662,0.5050011602385438
LUSC,0.0013407062820920807,0.0010708015048223845,0.0005344388330464034,0.0008057287907826337,0.0035240856979965166,0.004227998452466852,0.0012053389543212646,0.001668785694663442,0.005773503383455232,0.00034804862039701257,0.0027183304593615854,0.002576540899288594,0.050413407331961396,0.002178829921704154,0.024826087935094568,0.007488321002119422,0.022747626194029542,0.0007781834673524084,0.012571559659625819,0.004610905770184202,0.003182959607965724,0.03463655113980681,0.002792245667432528,0.699563554668044
MESO,0.0013261766986659511,0.004496009012710809,0.00014470758500183096,0.00017878652735381145,0.30071958851482944,0.004228603142863508,0.0006967414487691984,0.0001360397267885898,0.0,0.000010355294697284994,0.0012428740609318864,0.0011167964854072766,0.000840534101303563,0.0013226867431669832,0.013424891453804346,0.001725012332126362,0.017704998551098035,0.0026481613966758987,0.013729569271554384,0.005296767644997691,0.0001332094999085161,0.0030762508586318765,0.0069296273761036645,0.09995538562899
PCPG,0.002699433911974099,0.0017388997517527312,0.001844753883089099,0.14467013770916692,0.0030509858632068463,0.0002477097215978356,0.0,0.0017219036011329085,0.00009386196505159644,0.00015364058436540353,0.0013944831718606522,0.002405080033414438,0.0005226964435377251,0.001914184732960909,0.0267606479315939,0.000014836175735451243,0.0008358015998156925,0.0006358826766813485,0.007163774532010406,0.014564981495090711,0.009701871124714422,0.013322022063797071,0.013537949589862668,0.1203668761914049
PRAD,0.007920947269210896,0.0003719493582401282,0.0014111507722638068,0.0009025495396093726,0.00021455326974483587,0.0010885688735432027,0.00009797943626347433,0.0008949699761639009,0.011004506912038806,0.00004516964056185503,0.08456386338564878,0.000415836937955724,0.0012391549990101417,0.004278198936016568,0.04766866127319154,0.0005621020876988745,0.0010191574282008167,0.001956447896251666,0.14694304029513358,0.0001467925171413325,0.0033772377614923344,0.01970876905660113,0.007439455267184468,0.6408463288222594
SKCM,0.0,0.0007272619261162317,0.00004063480411548098,0.00007236545684791879,0.018623809580519016,0.00009140207110190849,0.0017487578608333958,0.0035666657668413375,0.00006150258660400548,0.04972599728096916,0.00012921437498504987,0.0011244434914534365,0.0002803294114277302,0.0,0.027552627704601797,0.0018768714026698016,0.0005660576772402153,0.0017912278182830208,0.03878995790159385,0.005162721469256336,0.0034623144660489826,0.0,0.009771311212885074,0.3587503565711161
STAD,0.002863796290420962,0.003807672282066087,0.026513741486193867,0.0009303078003067541,0.012619078097524388,0.0004114664169403139,0.0005019403646388477,0.0007393217175272454,0.0026720913673787864,0.0003226328963975283,0.002477932710802126,0.00142066735533869,0.000999803169824073,0.27757251007926464,0.0645224773965864,0.0038747555154209547,0.0053073421798200664,0.010288624587275783,0.02391792968624214,0.0007791819364727671,0.0044679241025266225,0.03598185655642398,0.0019367526172540236,0.35970675413869996
