investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21,comp_22,comp_23,comp_24
ACCx,0.0,0.0026363016747170706,0.0,0.1884604584140515,0.00048292207310130474,0.0003836083597858065,0.0002849085685689573,0.000048715002546636334,0.0037417950441865563,0.0012358299880836426,0.00002901887675318016,0.0006695267761618683,0.00020099535367508104,0.0,0.003094298087744538,0.00022528286287220518,0.0002457202011315197,0.0008731029770563539,0.006566250024653233,0.0055309186236588695,0.03514324185696657,0.0,0.0030009452180306106,0.05334105778424161,0.11860354608689108
BLCA,0.0032880922464128574,0.0016712704615614873,0.002995040557518526,0.001024781279699067,0.0036291903407289043,0.000288163790284065,0.0025762516586770455,0.000474756678905704,0.000932621204981416,0.0010245007175767383,0.0010416071636382333,0.0018602170674282274,0.0023229259837917776,0.0037388041022281444,0.0020608539138091166,0.00007251728529678804,0.0017202276759201562,0.005381075990723303,0.009536628466923526,0.004167236905429429,0.06255786338480557,0.8702848252057389,0.003226995350519536,0.08082676141077351,0.026550318689418612
BRCA,0.22458377067801527,0.0016353126140055034,0.0010780685527466813,0.0015524124927359204,0.0024514545086500882,0.0006878104214033041,0.0017656979036136478,0.0007742190101863191,0.0022427169698404875,0.0009130200278418214,0.003024768243726138,0.000566149038751079,0.0005834164490948547,0.0015134492354825972,0.011755539860092172,0.00034952613769695867,0.000200109035692246,0.056083789266274414,0.006520132184372572,0.0033449867824269374,0.1060053797594011,0.009695400220432795,0.004423630765717899,0.08174616250420903,0.22895003478507717
CESC,0.0,0.0,0.0,0.0,0.02661346714204909,0.0,0.002353592852606482,0.0,0.0,0.0,0.0,0.0,0.02341282004603986,0.0,0.03244462891617374,0.0005186378349464069,0.0,0.0022730861755624002,0.0,0.0,0.1014203183614918,0.18636115688840252,0.0,0.0,0.5894104529888815
CHOL,0.002948073438751063,0.06668440443087417,0.0,0.002772103468418348,0.12778708880499232,0.00007669929526496054,0.0016884429757491573,0.0007440676939658146,0.01121219586735982,0.014875250188892547,0.0007696507420492226,0.0005390809576277109,0.00037699929013181575,0.026605539989757045,0.01062586209822689,0.001323035154214659,0.0006304559238830148,0.012735922865281985,0.007759218864103563,0.0013673228809949552,0.19806387155216482,0.019119046620491215,0.032084097303826366,0.03246068175879142,0.13854768360226927
COAD,0.0008966536049975207,0.0014348471132823667,0.19058749294199198,0.0003973108291079982,0.04894356746269026,0.00013916302383706295,0.0016791436536704814,0.00004634142478880264,0.000498703392901287,0.00048560833586940114,0.00028008758719772685,0.000338983649291434,0.00022608429107094205,0.0036695589622889333,0.00892780403508172,0.0001417527262519719,0.04163483327951967,0.001319553992648738,0.0012870059620458457,0.0010202404482438055,0.06130819226859692,0.006464845035855463,0.002769917971306369,0.03458642629532379,0.052471416490270414
ESCA,0.0024226725611291686,0.0019970424482705154,0.004747939444276554,0.0005119994714004799,0.0909723825752003,0.00023829689175080423,0.002713246145427712,0.0004646525873739257,0.004440545085486792,0.0005990226356668226,0.0009615225830966992,0.0005297493014874137,0.023524330875832666,0.002072907208728295,0.025963849741399356,0.000303850321747998,0.0038563856927290568,0.004841780242187916,0.005410501919492033,0.0014518014121194067,0.09641892710952887,0.01661918367551382,0.001922427464797788,0.020121279135998784,0.29732357520533736
GBMx,0.0,0.007484143814027854,0.0,0.0030919334810510417,0.0,0.0010121333129456485,0.0012820401723306395,0.004539508925939804,0.00869631157780579,0.0004091180388096355,0.000020696836821797078,0.0007169665641427777,0.00039331916517109825,0.0,0.005103842210455612,0.00008615613043549264,0.0,0.002931599293287507,0.011557270166832868,0.25920558141221645,0.037224643270103316,0.0,0.0118309763243967,0.00860887575371425,0.34373571532897595
HNSC,0.0,0.002071655379308445,0.000298321008633121,0.0029359050369298124,0.01588468846339032,0.0007953175723998133,0.0029093623952222802,0.002006573604323298,0.013350609511612046,0.0,0.001137279549267688,0.0022634991874316717,0.022056052907618747,0.0012860946121324608,0.026868407487319015,0.0004070588453525713,0.0012904745561967646,0.009347297555196232,0.008477131097045766,0.004874272925302681,0.16793005430452876,0.0070868055340301194,0.0,0.013898897108907222,0.3385689204066965
KIRC,0.0,0.05140988684093771,0.00019503969401691895,0.0026318385873905182,0.0035671451434892585,0.002668339950261848,0.0010484365277095727,0.0008324767177707721,0.007804125289103871,0.0023472634276293764,0.001104137861845892,0.0001152107994844796,0.00011467062466786543,0.001348830673264892,0.007705930133195985,0.0002547852864303766,0.00013186796937332621,0.0023216217333451557,0.0062979814834846545,0.0025842198752326715,0.0395381642032913,0.0008307642847137708,0.9209463492197827,0.011568566938863998,0.13778942746750836
