investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21,comp_22,comp_23,comp_24,comp_25
ACCx,0.0,0.0023286350148485338,0.0011859703057040913,0.0016530603576174008,0.0,0.000585607521594971,0.0002438198047874525,0.0,0.004133346020451277,0.0009837176359925707,0.00010449673022715989,0.000864522782884443,0.0,0.0,0.007763555910150244,0.03323091783847626,0.000053523172439998786,0.0013444177697853094,0.002762450797208951,0.0005142124608473911,0.0008729522485896598,0.0,0.014525175281676668,0.018036394679567642,0.02003791812498691,0.057771187796029605
BLCA,0.003970585981110134,0.002854567425207094,0.008921903770554088,0.004181425137240978,0.007502092359292133,0.00037714513451768373,0.0032604032809375578,0.0015813281374643586,0.0011793500113237913,0.0006460013632111226,0.00011322086586512078,0.0011281163811414508,0.007477959956812709,0.0012306093867746521,0.012760707125531118,0.00015996636099161084,0.00011784385376279172,0.0008417243439455622,0.007368696940030289,0.0005903501271342977,0.007233327865375817,0.6378918418644858,0.026059930156301703,0.008545420715747643,0.001824446129912088,0.0038392673704914495
BRCA,0.19176541564909816,0.000605163021610824,0.0011546565352221938,0.0012426959641936468,0.0007232466093541072,0.000409381796776124,0.021799048140199253,0.002588134027201131,0.009257994276968216,0.0005033282246841397,0.00013018701183469783,0.0007886244037037985,0.0017893607560854911,0.0003663932646342035,0.020951198231193895,0.00021875719658163487,0.00017793869939551304,0.0008571273718495905,0.12804533195659812,0.0010788390576817522,0.004739263913319537,0.0067045630156725025,0.02603276106820585,0.00767428150449619,0.019480319401173306,0.08128864453891958
CESC,0.0,0.0,0.0,0.0,0.016787274918530323,0.0002546923105759844,0.000954850676818822,0.0007479621733779253,0.025043894992874877,0.00009650643479538934,0.0,0.00037270084174404226,0.0,0.001910500226227223,0.018160456173553188,0.0,0.0,0.00011211933450829841,0.021190496824268434,0.0,0.022145591849166365,0.1073499300918149,0.49729869458551507,0.0,0.0001341178302691101,0.004088049873160107
CHOL,0.0,0.00919408296622089,0.00938475221682819,0.0013754292906062748,0.0010953199810378549,0.0,0.0032007873787976765,0.0,0.007036464298014429,0.00023972966507302822,0.00007238909182461272,0.0007444803118713544,0.1893295785700611,0.0,0.0418931905168868,0.000627970308095249,0.0010997917026805732,0.016592809145587972,0.037160407720815636,0.0009043862735961564,0.004117515944609082,0.018806105249963775,0.04411277572303592,0.36355266570002864,0.0884982489756708,0.08891326405585928
COAD,0.0010038999869183985,0.0019013448835940438,0.2525633803339527,0.0009000709298216307,0.001158203193320587,0.00018160659428434356,0.0007956010423512407,0.0003719441108504209,0.006218945167757708,0.00014439649318190396,0.00005853247169676726,0.00013395307660263135,0.047818705548319074,0.05698352691136709,0.013152015889401398,0.00007306533061154516,0.0000971221526646658,0.00048315843566070946,0.006225305545953435,0.00009275374591257518,0.004606536724438632,0.004329141347248635,0.018388662356277133,0.00985376318234074,0.00856360898893929,0.011641582892570113
ESCA,0.0016905618224415222,0.00425098177676216,0.0395744423012619,0.00204378882699287,0.05846821698776261,0.00020632253727127637,0.0016351302136758418,0.0013874390684453113,0.018410926398358174,0.00034901820539670283,7.118828151791432e-6,0.0006315275387837732,0.0893932344113398,0.0006260607690236877,0.017226950946463843,0.00017899273065793693,0.00008536588168477583,0.00047864677398916166,0.016351432444262126,0.000894549693947714,0.005602048685271154,0.013975989924081576,0.2484582379440824,0.012002097152218146,0.013389553898966166,0.03771506920499689
GBMx,0.0,0.0,0.0,0.0017950550673932744,0.0015650499888545562,0.0011226678529990567,0.0006742364452194114,0.0,0.005629685482712945,0.04905616794564295,0.00001925062300848137,0.0013864823595899987,0.0,0.0,0.007110631180877551,0.0005362418549243027,0.0,0.0003897225753097179,0.017749367381896673,0.005864018822716071,0.0035813844723991406,0.0,0.0445606310939012,0.040123518828804106,0.08219587432620205,0.15234352411897345
HNSC,0.0,0.0,0.008364556741564045,0.006722316675101688,0.04916665277444727,0.0006099686530066485,0.002802174445959301,0.001241627744521402,0.01612101103800651,0.0006932990498826864,0.000020882560037414065,0.0010808229240641697,0.004206886200308967,0.0003851205817614331,0.03231710200678836,0.0006382319414723893,0.00009663227533600084,0.00023922230758853795,0.019298089279919533,0.0025527444509601863,0.008144583524619664,0.005231676278481565,0.2939383735008195,0.026065494985454397,0.0,0.12974439526591924
KIRC,0.00028818709027116746,0.13714804749082324,0.0015881310254215748,0.00032137059907807666,0.0005818776236529005,0.0031209896469552153,0.00007356700952336271,0.0007965690446030741,0.005880217749390512,0.0003918916970383344,0.00002706496636669904,0.0006757067572618788,0.00207498043858747,0.00015392558517081324,0.007776093536323161,0.0004208361547071631,0.00006598159461286962,0.001360050786482697,0.01583088233343874,0.0008766714483463487,0.0036952848506417745,0.0002972543314743214,0.01847324616700494,0.10796127403079726,1.6940428691398184,0.10580119301239857
