investigation,comp_0,comp_1,comp_2
ACCx,0.3499855662412157,0.28661513060413196,0.21409326302502735
BLCA,2.1085776912802414,0.055412610441638276,0.052769317860036725
BRCA,1.976246876697843,0.11026511985410767,0.019643331137331306
CESC,1.8086800586232286,0.12323224582108709,0.05540344705915892
CHOL,1.5433004862268949,0.06702603527443954,0.2917323222387723
COAD,2.524435167532443,0.007025947235375242,0.044169563703328474
ESCA,1.702589926972066,0.13148643112251343,0.0706860257754603
GBMx,0.0,0.4879524270327861,0.01756437923911007
HNSC,1.393807797486421,0.18017010226171928,0.04805500229532649
KIRC,0.200555321521221,0.08838178391380384,0.7357444787471031
KIRP,0.0746996647138532,0.020229831931509415,0.9044072039842006
LGGx,0.0,0.47485473009235474,0.0029323622886477346
LIHC,0.905664463653409,0.08704369093736081,0.3918498122598413
LUAD,1.8921166928120785,0.057075597583931256,0.1651376111673533
LUSC,1.5569990685871231,0.16835415741790521,0.05265863447683895
MESO,0.6054159279071735,0.22246381423786654,0.2694513979089604
PCPG,0.2738135339834509,0.37838887006908956,0.031157951227263187
PRAD,2.1169383982746095,0.09665829559971933,0.006958289290723147
SKCM,0.265975461513629,0.3738433417293263,0.03669815774514184
STAD,2.1181566560496345,0.046242437946248924,0.10388752851895744
TGCT,0.7456469805867808,0.31101174920975594,0.028612255500863253
THCA,0.6373497238932185,0.08817975196578527,0.48120279304517766
UCEC,1.7077661699812916,0.07982571853628354,0.16235460978353175
