investigation,comp_0,comp_1,comp_2,comp_3
ACCx,0.2547355062676626,0.2742980672980114,0.031807959173618436,0.2298222799514205
BLCA,1.1407048858921094,0.06727632118811902,0.27462108278485264,0.03835801816480665
BRCA,2.381931914384017,0.07067944066788623,0.02431556082569043,0.030358458713413642
CESC,0.7000653354377177,0.1629444373142132,0.26312192772106036,0.02475578653296761
CHOL,0.4755492046800683,0.08609931131887033,0.27985564504878957,0.27954473159622034
COAD,0.033953172912436574,0.0144537610568321,0.6421632770608119,0.01131192208945633
ESCA,0.4468221182016074,0.16143212265937323,0.3055623030959277,0.03777796914138885
GBMx,0.0,0.46304583665453625,0.0,0.014291576965192405
HNSC,0.5450469800235559,0.2080740223681836,0.19758394914394303,0.02743214371264156
KIRC,0.13740046415419316,0.08726483645969851,0.027043717349840266,0.793445324004301
KIRP,0.022324235374990842,0.021588564998862626,0.015285130983325039,0.988347176717758
LGGx,0.0,0.44576542698312527,0.0,0.0030020284397456907
LIHC,0.44101595259401877,0.08535485525063734,0.14216299763227921,0.40883948772525625
LUAD,1.0337592108850566,0.07206376917649024,0.24347055378410334,0.1548294509025843
LUSC,0.6457430266500923,0.1970246521326338,0.21427337569595276,0.03633940286650728
MESO,0.32081120085896003,0.22952034970026267,0.06973372825643824,0.2758570631366354
PCPG,0.3038830798221232,0.34925902627951483,0.011955598175396001,0.03818247611303449
PRAD,2.647430707120494,0.02917253961684131,0.03398652529142669,0.02147324022312657
SKCM,0.12624759655010165,0.3675482759725987,0.026518612242021948,0.03103169575523905
STAD,0.3206746302161393,0.06837207015097553,0.45987956407097486,0.06271425546236238
TGCT,0.20044112926237512,0.32087309781695894,0.11561233334703329,0.01951357878800132
THCA,0.9266620192919695,0.04362148425481819,0.004190786899787787,0.5498337785320043
UCEC,1.3093254394896912,0.06343661497133102,0.1576638439095355,0.18480354014477773
