investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5
ACCx,0.16830883511137268,0.036045463890135354,0.011760217360126488,0.1621303841503584,0.13618096384307501,0.044607861726022525
BLCA,0.4828282938030954,0.002701372240781669,0.06434540840084461,0.004271677683986085,0.4432196294305866,0.0339485438657018
BRCA,1.591246199941623,0.005442201142872549,0.0028325146238256604,0.0158931929404669,0.19664263060039958,0.01875234162410125
CESC,0.021731184489932363,0.0007544291058802592,0.009542397463095861,0.004632402960286086,0.8312206002487765,0.0
CHOL,0.242274949493062,0.005040482933608882,0.09263669850886826,0.20131900856372345,0.27298374380407714,0.004068633308010686
COAD,0.036502560483546095,0.0017051633290951532,0.28712782477397536,0.006963453485806119,0.0548444916197155,0.004173765414047621
ESCA,0.05273593351902056,0.0030624822550772315,0.061987103376671696,0.017174985427727992,0.6212648629176417,0.004644565228532353
GBMx,0.0,0.07468693106522302,0.00021955016689552862,0.019392718967667644,0.06616159884377323,0.009028459838835844
HNSC,0.07731609160855955,0.0072539989441751844,0.009142311941740124,0.01323388783381568,0.6780600782175199,0.009006841003231588
KIRC,0.08721571584761774,0.006433714116431098,0.0019257482415510523,0.5755039377934794,0.13747260915005138,0.016393976011813575
KIRP,0.0032369505683636298,0.001821947024788671,0.0023933216374796445,0.7070371940731042,0.052803292330751296,0.023787339724297838
LGGx,0.0,0.08001514134707362,0.0,0.003530130115806138,0.00547460863670327,0.0016413740615362723
LIHC,0.35804408304706203,0.010213037783287502,0.06138984922668588,0.30603559797404106,0.06895052188332908,0.0
LUAD,0.30222111606013624,0.00040195137769094953,0.053641073594697164,0.014710412012861468,0.44144246761232303,0.23646324543152308
LUSC,0.07906823930100602,0.003662329286724632,0.007749675478611596,0.008370564246612564,0.7300774936871999,0.053539982440844555
MESO,0.037978219162242456,0.017857626438623576,0.003204361428554548,0.1585262784771801,0.38332009776694004,0.10110097343339966
PCPG,0.2578729374501974,0.05352404231220502,0.014168999365045778,0.028452034728113258,0.04814130915762682,0.027323617599157194
PRAD,1.8687115727734207,0.0075738779880249445,0.019764702503707432,0.007777740251383633,0.052494131191045325,0.016300228573774927
SKCM,0.04701997902774545,0.04535736924971986,0.005233736995452555,0.028918347021939936,0.2397181541670096,0.006554649421631111
STAD,0.18542382918625727,0.004913712069846078,0.1749974883433012,0.038252196487586,0.229291759012242,0.009079463144047197
TGCT,0.03278468700393198,0.030192137477883345,0.015524101072559165,0.016921179922019483,0.427034126788022,0.005819897538759139
THCA,0.027763716867930166,0.0032461767633733896,0.0004930898060106647,0.008377207307833102,0.016611836227501568,1.087578193515683
UCEC,0.7244106017023532,0.0060271159880443915,0.05202316567207362,0.0807766744882251,0.20771221478332688,0.1290991194473365
