investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6
ACCx,0.07960447216161375,0.024005984748963663,0.0027940740347292647,0.06906123175319191,0.11140648991176495,0.24898722490095826,0.06170268759378697
BLCA,0.42870685583000584,0.0007073230612243233,0.049351937555725284,0.004586387208234227,0.41007333558520165,0.020925231750266365,0.03360560990778334
BRCA,1.3942033181160616,0.0027454658084491348,0.0018494258547379194,0.011452096838152069,0.17522525228266855,0.040907851398500526,0.01786331671684297
CESC,0.020588189066994007,0.0015330477926430116,0.008254136131067569,0.0000592731824561199,0.7672342572588239,0.004418306244501862,0.0
CHOL,0.16325521362405102,0.018009606322600624,0.06288711784713708,0.12875124551645806,0.24047218536288079,0.024541537069411014,0.005771512227492245
COAD,0.033964561204677536,0.0009216451198671349,0.2195130524932956,0.006416708927608374,0.04846484790476312,0.015295098825831799,0.003679086951235124
ESCA,0.04627070815134205,0.002634303273386795,0.04630368232671005,0.012760407721596916,0.5722634704684317,0.021776296140490085,0.0041566400300851675
GBMx,0.0,0.00043727340636639237,0.00030595729715485263,0.021130613660503315,0.0631651768622102,0.5964447676236874,0.008383228142895315
HNSC,0.0695807360179263,0.0015181495756151438,0.0068126945153816,0.012176445248311775,0.6259504175321715,0.05592483924353645,0.007608880455558538
KIRC,0.05931928930259596,0.014203765722562876,0.0010086254201199926,0.46405804212279256,0.11164785405864715,0.045720657109295126,0.016558177343811667
KIRP,0.005661843769073409,0.002890804984232061,0.0026605855809468063,0.6362138481380798,0.05055522931282998,0.015998032868515834,0.016834889272467173
LGGx,0.0,0.0,0.0,0.003876278411037681,0.005446193106722114,0.6448024582471105,0.0012221508186208302
LIHC,0.01682112645487746,0.08507472010867606,0.005802217112934083,0.007706865083914921,0.03671379789081804,0.00601727093537933,0.0011332641722269934
LUAD,0.24952769474232211,0.005912228510147063,0.03809584273990066,0.006579910078917816,0.3927543558077344,0.0015974907297823652,0.24621511281686156
LUSC,0.06315956882134623,0.003276558971092822,0.005104206383994375,0.0005266145620566996,0.6726714730441994,0.026495111025604055,0.0565750568362259
MESO,0.02322861827804812,0.011213480992533264,0.00171555033508018,0.10600102466864438,0.33697391855935666,0.1281651707176672,0.11011089642370615
PCPG,0.2204503566245249,0.0047963796464390775,0.009150079666248014,0.018380223642901553,0.045687285941936634,0.41335501510399203,0.0291552635656341
PRAD,1.6335236134635596,0.0019146977070971932,0.01430298679176171,0.007598820698482008,0.04678023938260115,0.05811999974954855,0.016138699759672106
SKCM,0.03019785963258065,0.006891236029508437,0.0022752844952583376,0.012577781674361318,0.21882378909088024,0.3449902616340959,0.008153526337487881
STAD,0.14321567407688132,0.010289490232859229,0.12813750496161372,0.01456228804889266,0.1975465403501827,0.029544563322405664,0.009344227853391044
TGCT,0.022415344378221666,0.009658633246002586,0.0061836300805446325,0.00960317310109667,0.3819525063248919,0.21618438921142347,0.006200500683254808
THCA,0.023687693909960398,0.00026655813183773877,0.0005064014021678151,0.007414443142908076,0.014743660110414336,0.024816536580926557,1.1348947961144835
UCEC,0.6382431213528992,0.0020206424576816777,0.03941162672184694,0.07576103644182185,0.18730310326458255,0.04789061910893417,0.1258260801811394
