investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7
ACCx,0.01893133870789111,0.01466956184286581,0.002033680087508083,0.052089008682373886,0.07450074721732863,0.20985373365470597,0.049420663919318736,0.06733796010611368
BLCA,0.2791726623206876,0.0004040340793717472,0.04090944222383257,0.0032137391000960263,0.28001694687902623,0.017077550222200522,0.02574887141556393,0.1425576879645562
BRCA,1.3424527174302137,0.0017566005119488079,0.002666619898048364,0.009618274816314694,0.09175393366192135,0.041138906796799095,0.01289322986898865,0.06149474447344179
CESC,0.0305596910527067,0.0009784124433700034,0.006609564712501062,0.00004631354981833479,0.5285748078022584,0.004003095247184106,0.0004884311811189011,0.00296699302990877
CHOL,0.14455451067533634,0.011024860596179511,0.053675097864882615,0.09709742507088008,0.15799696219859047,0.021657372343127628,0.0045105896988339705,0.03794046447308974
COAD,0.01554675723532324,0.0005382740392741223,0.1869150328436904,0.00478789375581476,0.03215412471604926,0.01209709907819084,0.0022742757673693977,0.03722875405792336
ESCA,0.019796400898660853,0.001643596532681983,0.03924374842164924,0.009813001233227477,0.3949170719116974,0.017490250542629766,0.003356914106913694,0.03284181900047614
GBMx,0.0,0.00029021218280475634,0.00035515210983856605,0.0162324907789923,0.04072197718355013,0.5120594325006533,0.006486148780040062,0.0013404507048017686
HNSC,0.0258086038198423,0.0009471129573834453,0.005055512251340649,0.009099001781620018,0.4315169919383753,0.04563488420125795,0.005723562549146535,0.05528035256708973
KIRC,0.030493573406116414,0.008728837961806991,0.0008511172217065295,0.3490144767637527,0.07358780459049238,0.03889232797881435,0.01306363206624647,0.03488692166618315
KIRP,0.009130504473668524,0.0017389909049206516,0.002289066113869261,0.47888708629187327,0.03373863331975885,0.013055785597597465,0.013047312561324896,0.004638503143304084
LGGx,0.0,0.0,0.0,0.0029593845342414872,0.0033281757510498387,0.5516629923791707,0.0010751107554389768,0.0
LIHC,0.006051607089392599,0.052086270056631606,0.004797220564125441,0.005740545482808904,0.0245861707226503,0.004796583092245662,0.0009473738107118083,0.01373266057838049
LUAD,0.27622572950657104,0.0036192380391007768,0.032663663341566555,0.005309328733653701,0.25561613389041243,0.0012450026595583004,0.19325347154899336,0.024194475684757452
LUSC,0.015490566435690975,0.0019611833939827336,0.002759787319305003,0.00041883766194497055,0.46463783397626446,0.017992108880422367,0.04430616822184229,0.07476989205486567
MESO,0.011714765991062387,0.00691736452527182,0.0013327617801424784,0.07981860677744401,0.22789915397955313,0.110328010360311,0.08844038086385295,0.021895327634938202
PCPG,0.05933177467593934,0.002884755513692809,0.006539585330898181,0.014038528941799997,0.03153942357154257,0.345774131673631,0.023544018573882223,0.1592607377025222
PRAD,0.07263332120566712,0.0005951447713454891,0.004557156361518148,0.0035140377391321984,0.04514067335077181,0.007373108419890981,0.011851891180261588,1.416542557170903
SKCM,0.062180879596096264,0.004163551742400883,0.002262940558977217,0.009495823175341152,0.1366153830929921,0.30018092126375717,0.006415759493367645,0.003632488337042628
STAD,0.0699368355445148,0.006291298455874491,0.10886424811406899,0.011114454484310376,0.13456692660893926,0.023721868361384336,0.0075645337406492034,0.07728085806508249
TGCT,0.010834207656034241,0.0058878890812765665,0.004904553377717931,0.007338049107359793,0.2602750043097759,0.18284658317594146,0.004888360562480631,0.03284220662436763
THCA,0.014776526097470774,0.00012168968360550045,0.00048285301289965925,0.005379553993729824,0.009240100836583389,0.018940216624153322,0.8969755786476343,0.019773859557434374
UCEC,0.43321481121424976,0.0011843067423977223,0.03301363902605617,0.05707186267037633,0.12224350059410084,0.03758143985178076,0.09899885184385576,0.19199370469079613
