investigation,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8
ACCx,0.011143339267510072,0.008880595966493876,0.0011497208061321705,0.04531560505948821,0.1474326219886158,0.15442301299634434,0.036813186119052314,0.06265078424710706,0.06273868851273832
BLCA,0.24295431549993357,0.0007984676139593125,0.03446068669667643,0.004668974299140512,0.034632137910803294,0.014697638235466113,0.024753480897097127,0.12823430792460383,0.5825158545861943
BRCA,1.2226163700880253,0.0006682334260025201,0.001999323840972361,0.008269173117868402,0.11416087391011909,0.026068039780975844,0.011520337018516956,0.055748835279316906,0.09550724694798537
CESC,0.02857484425283654,0.0,0.0058032107858848065,0.0,0.26350874493105714,0.0,0.0010567440198891718,0.003467499922391986,0.7746415242210082
CHOL,0.12377095469516435,0.006204111015446459,0.04841281278281294,0.08372952111655663,0.20819582414902013,0.005730836335469653,0.004307603991320158,0.03339693124508278,0.12353431347393273
COAD,0.011538958274646327,0.0002578497741553491,0.16838692206478892,0.003739648245667923,0.05851934990718079,0.005888053261897081,0.0017968808746682556,0.03437668776151818,0.018507019890494233
ESCA,0.016254139136924632,0.00041384454360753785,0.035122475946452875,0.009124945083217277,0.19694210289069208,0.008952468319811842,0.0032286956164349575,0.021085837270217036,0.6115902182448276
GBMx,0.0,0.000057019072399906705,0.00016745758934713582,0.012819962577479126,0.08360639218099412,0.4107070779541373,0.005202643532183652,0.003829756787021422,0.022766136668276173
HNSC,0.01972216587618437,0.00007613836288340508,0.004478519000269547,0.007815867573778534,0.2665766837959189,0.032274014600247446,0.005290275988195817,0.03740457485188914,0.5780237895121694
KIRC,0.0164694874321707,0.0032126640710345338,0.0005946323206927422,0.3018466964001839,0.22065319749076392,0.012306789681680157,0.010073230383218779,0.028992120878705823,0.003115746628031317
KIRP,0.006998160993199256,0.0010395434188410697,0.0020243144637554743,0.423691484762391,0.04396950005052264,0.010266758781006352,0.011488237823264096,0.004803385580603851,0.04266076484606966
LGGx,0.0,0.0,0.0,0.0027026106796170634,0.005424169131607135,0.46299747590775014,0.0007911706259218206,0.0004403085098857226,0.0038065273386570656
LIHC,0.010432515442330733,0.034739920410725225,0.0045086354809820775,0.005434086102448487,0.08226841655226327,0.003709153027215035,0.000292554718515848,0.015207548987794884,0.008000532879793272
LUAD,0.24585720429349178,0.001321973422918233,0.03077212869501924,0.00315655704258984,0.25940288989411703,0.0003627040038131033,0.1753349922588063,0.017785930481966857,0.20333486810025428
LUSC,0.01320177729015792,0.00016932738870176821,0.0020216427963745793,0.0003203998179359681,0.2272372625732515,0.015879400700539233,0.03809791603992365,0.044843697359861705,0.7292660065748535
MESO,0.011365093022238263,0.0025168487271983076,0.001810346414316623,0.06891908552381398,0.3017694988976282,0.06901534000830693,0.08016638545166967,0.01847159493466411,0.1543183139649622
PCPG,0.04190207401569119,0.0017472784541526822,0.0037888019152042107,0.011161882843117511,0.1093839742996649,0.26140951230947507,0.012957909571227885,0.15094609307095297,0.019166372853096775
PRAD,0.062029497335434614,0.0005280313607642401,0.003969077827933964,0.0025925182898070016,0.03861513190274587,0.005829204463590112,0.011068610316039722,1.290327321103141,0.057762331803980035
SKCM,0.045521248011885215,0.0012076257558246235,0.0013495204917328353,0.007869075497531972,0.2616067609788362,0.2071282595918496,0.005309529405236857,0.005736415783080253,0.06140242031907998
STAD,0.05549891500616613,0.0023639927655048575,0.09791687843133155,0.008934872732949751,0.21348176844116337,0.008362341458098662,0.006168538545779335,0.06945461173476725,0.0727588917282101
TGCT,0.004948755820045406,0.00032814376759831676,0.003778961197880225,0.006183833184996132,0.5082905858273419,0.086055283943112,0.0040009646058731885,0.02428216448974691,0.04880495793760713
THCA,0.008511805398954252,0.00005316303407315959,0.00038187063749915506,0.004299981586043644,0.01790867210903601,0.018344561509670152,0.8070241239433702,0.01944077832676792,0.006625070526758322
UCEC,0.38235083152670424,0.001055067704262431,0.027845021113615715,0.04858243071012774,0.05733116693317874,0.03246779519458886,0.08595386860457829,0.16541905016884534,0.23345691685918504
