column,description,data_type,n_unique,n_missing,pct_missing,example_values
patient_id,TCGA patient barcode (12 characters),object,404,0,0.0,"TCGA-06-A5U0, TCGA-06-A6S1, TCGA-06-A7TK, TCGA-06-A7TL, TCGA-2G-AAFM"
case_uuid,,object,404,0,0.0,"603d2b61-b636-4054-ac95-ab66da, e3953994-0299-4e04-9423-6153b1, 41685c5a-a548-483a-8a20-305ad8, 0ca72ebd-ff33-45b8-a97c-3f1435, a123784a-0b6b-4f9a-847f-c5a17c"
cancer_type,TCGA cancer type abbreviation,object,23,0,0.0,"GBM, TGCT, KIRP, LUSC, BRCA"
cancer_type_full,Full cancer type name,object,23,0,0.0,"Glioblastoma Multiforme, Testicular Germ Cell Tumors, Kidney Renal Papillary Cell Ca, Lung Squamous Cell Carcinoma, Breast Invasive Carcinoma"
primary_diagnosis,,object,52,0,0.0,"Glioblastoma, Embryonal carcinoma, NOS, Mixed germ cell tumor, Seminoma, NOS, Not Reported"
morphology_code,,object,52,0,0.0,"9440/3, 9070/3, 9085/3, 9061/3, Not Reported"
tissue_or_organ_of_origin,,object,53,0,0.0,"Not Reported, Frontal lobe, Testis, NOS, Kidney, NOS, Upper lobe, lung"
age_at_diagnosis_years,,float64,377,24,5.9,"22.06160164271047, 53.35797399041752, 64.81587953456537, 31.444216290212182, 31.7782340862423"
gender,Patient gender (male/female),object,2,0,0.0,"female, male"
race,Patient race,object,5,0,0.0,"black or african american, white, not reported, asian, Unknown"
ethnicity,Patient ethnicity (Hispanic/Non-Hispanic),object,4,0,0.0,"not hispanic or latino, not reported, Unknown, hispanic or latino"
ajcc_stage_simple,,object,5,135,33.4,"II, III, I, IV, STAGE 0"
ajcc_pathologic_stage,,object,18,135,33.4,"Stage IIA, Stage IIIB, Stage IIIC, Stage II, Stage IB"
ajcc_pathologic_t,,object,17,99,24.5,"T2, T1, T2b, T2a, T4"
ajcc_pathologic_n,,object,12,101,25.0,"N1, NX, N0, N1a, N2"
ajcc_pathologic_m,,object,6,127,31.4,"M0, MX, M1a, M1, Unknown"
tumor_grade,Tumor histological grade,object,7,296,73.3,"G2, G3, G1, High Grade, Low Grade"
sample_types,,object,4,0,0.0,"Primary Solid Tumor, Additional - New Primary, Metastatic, Recurrent Solid Tumor"
laterality,,object,4,180,44.6,"Right, Left, Bilateral, Midline"
residual_disease,,object,5,246,60.9,"R0, RX, R2, R1, Unknown"
vital_status,Patient vital status (Alive/Dead),object,2,0,0.0,"Alive, Dead"
days_to_death,Days from diagnosis to death (if deceased),float64,95,307,76.0,"78.0, 444.0, 143.0, 860.0, 445.0"
days_to_last_followup,Days from diagnosis to last follow-up,float64,309,59,14.6,"444.0, 503.0, 685.0, 4816.0, 2248.0"
os_time_days,,float64,333,32,7.9,"78.0, 444.0, 503.0, 685.0, 4816.0"
os_time_months,,float64,333,32,7.9,"2.562417871222076, 14.586070959264124, 16.52431011826544, 22.503285151116952, 158.21287779237844"
os_event,,int64,2,0,0.0,"0, 1"
molecular_subtype,Molecular subtype classification,object,57,121,30.0,"IDHwt, IDHmut-non-codel, Non-seminoma, Seminoma, LumB"
subtype_method,Method used for subtype classification,object,14,117,29.0,"IDH/Codel Status, Histological, PAM50, PanCancerAtlas Selected, mRNA Cluster"
receptor_status,,object,4,334,82.7,"HER2+, ER+/HER2- Low Prolif, ER+/HER2- High Prolif, ER-/HER2-"
brca_ic10,,float64,10,334,82.7,"5.0, 4.0, 8.0, 3.0, 7.0"
msi_mantis_score,,float64,0,404,100.0,
msi_sensor_score,,float64,0,404,100.0,
received_surgery,,object,2,14,3.5,"False, True"
received_chemotherapy,,object,2,14,3.5,"False, True"
received_radiation,,object,2,14,3.5,"True, False"
received_hormone_therapy,,object,2,14,3.5,"False, True"
received_immunotherapy,,object,2,14,3.5,"False, True"
treatment_types,,object,78,14,3.5,"Radiation Therapy, NOS; Pharma, Chemotherapy; Radiation, Exter, Surgery, NOS; Chemotherapy; Ra, Surgery, NOS; Chemotherapy; Ra, Surgery, NOS; Chemotherapy; Ra"
treatment_outcomes,,object,21,265,65.6,"Progressive Disease; Treatment, Complete Response, Partial Response, Unknown, Unknown; Partial Response; Sta"
smoking_status,,object,4,285,70.5,"Never, Current, Unknown, Not Reported"
pack_years_smoked,,float64,29,338,83.7,"60.0, 20.0, 15.0, 22.5, 30.0"
alcohol_history,Alcohol consumption history,object,1,396,98.0,Yes
prior_malignancy,,object,3,61,15.1,"no, yes, not reported"
prior_treatment,Prior treatment status,object,4,7,1.7,"Yes, No, Not Reported, Unknown"
batch_numbers,,object,45,0,0.0,"11, 20, 8, 23, 25"
tss_enrichment_mean,,float64,404,0,0.0,"14.980202895, 8.4944205615, 10.52565003, 9.079892496, 8.9114333115"
frip_mean,,float64,404,0,0.0,"0.4335670214, 0.2939224357, 0.33437918935, 0.3402530746, 0.35723988215"
final_reads_mean,,float64,404,0,0.0,"45096192.0, 67452005.0, 56756803.0, 86962439.0, 52268677.0"
subtype_available,,bool,2,0,0.0,"False, True"
subtype_source,Data source for subtype (TCGAbiolinks/PanCancerAtlas/cBioPortal),object,3,117,29.0,"TCGAbiolinks, cBioPortal, PanCancerAtlas"
